Term,Value
suicidal,0.003
hordes,0.002
child,0.004
crisisgrexit,0.002
skynews,0.004
holyrood,0.001
chaos,0.002
asian,0.002
hanging,0.004
john_holtke,0.017
erexit,0.001
saved,0.004
forget,0.002
votes,0.003
poorest,0.005
seriously,0.007
voted,0.005
whatsoever,0.003
bethrigby,0.007
sorry,0.004
765106024957214720,0.005
regrets,0.004
sinking,0.001
void,0.001
rise,0.002
jacob,0.005
bringing,0.003
believed,0.001
school,0.002
supports,0.014
solution,0.003
296,0.002
heading,0.005
kevinpbreslin,0.001
voteleave,0.004
744109418904584192,0.001
leaders,0.002
warns,0.002
withorpe,0.004
271,0.002
second,0.002
street,0.004
chris_meloni,0.004
bbcqt,0.005
even,0.005
brexit,0.009
oldest,0.001
326577,0.001
incompatible,0.002
1vnxyl0,0.002
victoriapeckham,0.003
new,0.004
net,0.002
ever,0.002
mogg,0.004
told,0.006
centric,0.007
meb,0.004
men,0.01
reported,0.001
whatthehellareyoutalkingabout,0.002
path,0.002
olsson,0.015
vikings,0.002
k,0.004
changed,0.001
military,0.001
heatherwheeler,0.002
punishment,0.003
shithappens,0.02
golden,0.001
divide,0.006
campaign,0.002
brought,0.003
pdsutherlandun,0.001
opportunities,0.003
nolahoubear,0.002
total,0.008
forums,0.002
spoke,0.001
theordinaryman2,0.001
army,0.001
achieve,0.004
reemergence,0.002
call,0.002
telegraph,0.003
spike,0.004
rationalism,0.008
tell,0.004
1000,0.005
expat,0.001
supporters,0.002
successful,0.002
brings,0.004
wars,0.002
adrianople,0.001
warn,0.001
mansplains,0.002
teaching,0.001
must,0.006
word,0.002
room,0.005
rights,0.003
plunged,0.002
movies,0.002
era,0.002
ms,0.002
example,0.002
give,0.003
550,0.001
dragons,0.002
want,0.011
christianvoice,0.003
times,0.004
oppressing,0.002
end,0.004
thing,0.004
egyptian,0.002
trsresearch,0.001
machine,0.005
s030544031300023x,0.001
stupidity,0.005
neveragain,0.005
interview,0.002
turk,0.002
ancestor,0.001
michelledewbs,0.001
mess,0.004
assimilated,0.001
earlier,0.001
wrong,0.018
sturdywendy,0.002
lay,0.002
president,0.003
pdf,0.002
types,0.004
thesun,0.004
attempt,0.001
third,0.001
britannia,0.002
revolt,0.005
descends,0.002
1lv7wv,0.002
greek,0.001
ianjarmaine,0.002
sucessor,0.003
bodgit_bendit,0.015
order,0.001
grassrootsout,0.005
wine,0.002
danhannanmep,0.001
tricked,0.002
whizzing,0.001
london,0.005
keyboard,0.004
meteors,0.001
andrea,0.003
belonged,0.002
nyti,0.002
globalpulsemag,0.002
notoeu,0.005
writing,0.001
better,0.005
wales,0.005
weeks,0.002
overcome,0.002
eventually,0.001
lambert,0.004
safe,0.002
jenit,0.003
break,0.001
heaven,0.001
sixteen,0.001
bank,0.004
bread,0.001
germanic,0.001
swancom74,0.002
hadrains,0.002
victory,0.001
mantheaume,0.005
went,0.002
side,0.002
mean,0.005
suzanneevans1,0.004
financial,0.002
skydata,0.001
_thegman,0.004
milan,0.002
tom_watson,0.004
maniacs,0.008
sounds,0.002
richardlander,0.001
rt,0.002
large,0.002
goo,0.001
god,0.002
revolting,0.007
re,0.003
daniel,0.001
got,0.006
foxbusiness,0.005
gov,0.006
independence,0.004
abbott,0.001
turning,0.004
veto,0.002
rustyrockets,0.002
little,0.007
free,0.004
boosting,0.001
wanted,0.006
r4,0.002
refugee,0.005
days,0.004
ati,0.004
isn,0.001
garlic,0.001
onto,0.004
enjoy,0.007
duplicitous,0.005
already,0.015
nigel,0.004
leaveeuofficial,0.001
matteorenzi,0.004
another,0.002
wasn,0.006
allectus,0.003
ten,0.002
service,0.002
top,0.016
historian,0.001
bitcoin,0.005
tot,0.004
hist100b1,0.001
needed,0.002
confirming,0.002
ton,0.005
thoughts,0.003
hollywood,0.002
john,0.001
bitter,0.002
grexit,0.005
calexit,0.006
owensmith_mp,0.002
collapse,0.002
villages,0.021
took,0.004
tabloids,0.004
western,0.003
symptom,0.002
distance,0.002
bloated,0.002
immigrants,0.002
scenes,0.004
nations,0.002
project,0.021
matter,0.012
brexit0rremain,0.004
2ekpbqq,0.001
iron,0.017
thewerelizard,0.001
boudica,0.002
feeling,0.002
bridge,0.004
palace,0.002
modern,0.004
mind,0.004
nicolasturgeon,0.005
migrantcrisis,0.001
raw,0.005
lbc,0.003
seen,0.001
telegraphnews,0.005
tells,0.001
forced,0.001
article50bill,0.001
1960,0.006
isolated,0.004
merichio,0.001
fitting,0.002
academia,0.004
tintagel,0.002
decadence,0.001
hun,0.002
empireand,0.002
sophiewarnes,0.002
cymbeline,0.001
pdpgb,0.002
regular,0.001
germany,0.004
don,0.005
classicist,0.002
professor,0.001
m,0.005
treaty,0.001
leaflet,0.002
diabetesuk,0.002
28j0gwc,0.001
definitely,0.002
tech,0.005
kinglouisxvi,0.009
dos,0.002
voting,0.001
came,0.002
saying,0.002
breitbartnews,0.005
inspire,0.005
pope,0.002
rapture,0.001
queen,0.005
radio,0.002
dopey,0.002
tempted,0.001
thirds,0.005
enjoyed,0.002
lessons,0.022
aje4bn,0.001
busy,0.007
countrywhere,0.004
explain,0.002
rich,0.005
pursuing,0.002
folks,0.006
danielalpert,0.004
allardyce,0.005
5yx9gz,0.002
bahrain,0.004
ujgzgp,0.002
