Term,Value
suicidal,0.002
hordes,0.002
child,0.006
crisisgrexit,0.001
skynews,0.003
holyrood,0.001
chaos,0.001
asian,0.002
hanging,0.004
john_holtke,0.028
oldest,0.001
saved,0.004
forget,0.002
votes,0.004
janimine,0.002
poorest,0.004
inlike,0.001
voted,0.003
whatsoever,0.005
bethrigby,0.003
sorry,0.006
765106024957214720,0.003
regrets,0.007
sinking,0.001
void,0.001
rise,0.001
jacob,0.003
bringing,0.005
believed,0.002
school,0.002
ref,0.001
solution,0.004
296,0.002
shows,0.002
heading,0.005
enjoy,0.005
makinghistory,0.002
leaders,0.002
warns,0.001
goth,0.001
271,0.001
second,0.002
street,0.003
chris_meloni,0.003
cymroalba,0.004
even,0.005
brexit,0.012
erexit,0.001
326577,0.002
incompatible,0.002
1vnxyl0,0.001
reasoning,0.002
nyt,0.001
new,0.003
net,0.001
ever,0.002
mogg,0.005
told,0.005
centric,0.003
meb,0.006
never,0.02
reported,0.002
whatthehellareyoutalkingabout,0.001
fuck,0.002
path,0.003
olsson,0.017
vikings,0.001
k,0.003
changed,0.001
military,0.001
heatherwheeler,0.001
punishment,0.005
shithappens,0.014
golden,0.002
divide,0.004
campaign,0.002
29hdktr,0.002
brought,0.005
pdsutherlandun,0.001
opportunities,0.002
total,0.007
spoke,0.002
theordinaryman2,0.002
army,0.001
voters,0.003
reemergence,0.002
1930s,0.001
call,0.002
telegraph,0.005
spike,0.005
rationalism,0.003
tell,0.003
dumped,0.004
supporters,0.002
successful,0.001
brings,0.004
wars,0.001
adrianople,0.001
warn,0.001
mansplains,0.002
teaching,0.001
must,0.004
word,0.001
room,0.005
rights,0.005
plunged,0.002
ere,0.002
era,0.002
transparency,0.003
example,0.002
give,0.003
550,0.002
dragons,0.001
want,0.016
christianvoice,0.001
keep,0.004
oppressing,0.001
end,0.004
turn,0.006
egyptian,0.001
trsresearch,0.003
machine,0.005
s030544031300023x,0.002
stupidity,0.005
neveragain,0.004
interview,0.003
turk,0.001
ancestor,0.002
michelledewbs,0.002
mess,0.005
assimilated,0.001
earlier,0.002
wrong,0.026
sturdywendy,0.002
lay,0.001
president,0.005
pdf,0.002
disagree,0.004
types,0.004
thesun,0.006
attempt,0.001
third,0.002
britannia,0.002
revolt,0.005
descends,0.001
1lv7wv,0.002
greek,0.001
berlusconi,0.007
sucessor,0.001
bodgit_bendit,0.01
order,0.001
grassrootsout,0.005
wine,0.001
danhannanmep,0.002
tricked,0.002
whizzing,0.001
london,0.005
keyboard,0.006
andrea,0.009
belonged,0.001
nyti,0.002
globalpulsemag,0.001
notoeu,0.004
writing,0.001
destroyed,0.002
wales,0.004
weeks,0.005
overcome,0.001
eventually,0.002
lambert,0.005
safe,0.002
jenit,0.002
break,0.001
heaven,0.002
sixteen,0.002
bank,0.005
bread,0.001
germanic,0.001
swancom74,0.001
hadrains,0.001
victory,0.002
mantheaume,0.004
went,0.002
side,0.002
mean,0.005
suzanneevans1,0.005
financial,0.001
skydata,0.002
_thegman,0.005
milan,0.002
tom_watson,0.004
maniacs,0.019
message,0.006
richardlander,0.001
rt,0.002
large,0.002
goo,0.002
god,0.002
revolting,0.006
re,0.004
daniel,0.001
got,0.004
foxbusiness,0.004
gov,0.005
independence,0.004
abbott,0.001
turning,0.006
written,0.002
rustyrockets,0.002
little,0.028
free,0.005
boosting,0.002
wanted,0.004
r4,0.002
refugee,0.004
days,0.004
ati,0.004
isn,0.003
portal,0.003
onto,0.004
voteleave,0.003
duplicitous,0.005
appeals,0.001
nigel,0.005
leaveeuofficial,0.001
matteorenzi,0.007
another,0.001
wasn,0.004
allectus,0.002
ten,0.001
service,0.002
top,0.027
historian,0.001
bitcoin,0.005
tot,0.004
hist100b1,0.002
needed,0.002
confirming,0.002
ton,0.006
thoughts,0.005
hollywood,0.002
john,0.002
bitter,0.002
grexit,0.005
calexit,0.004
owensmith_mp,0.002
collapse,0.002
villages,0.025
took,0.006
tabloids,0.005
western,0.002
symptom,0.002
spoiler,0.002
bloated,0.002
immigrants,0.001
scenes,0.005
nations,0.001
project,0.016
matter,0.049
brexit0rremain,0.004
2ekpbqq,0.002
iron,0.01
thewerelizard,0.001
boudica,0.001
feeling,0.002
bridge,0.005
interestingthe,0.001
palace,0.001
modern,0.006
mind,0.005
nicolasturgeon,0.003
migrantcrisis,0.001
raw,0.005
lbc,0.002
seen,0.001
telegraphnews,0.004
tells,0.002
forced,0.001
responsible,0.001
1960,0.005
isolated,0.004
merichio,0.002
fitting,0.001
academia,0.004
tintagel,0.002
decadence,0.001
hun,0.001
empireand,0.001
sophiewarnes,0.001
cymbeline,0.002
pdpgb,0.001
fencing,0.004
regular,0.002
germany,0.005
revival,0.002
don,0.004
classicist,0.001
professor,0.001
m,0.004
treaty,0.002
leaflet,0.001
diabetesuk,0.002
28j0gwc,0.001
definitely,0.002
tech,0.004
kinglouisxvi,0.005
dos,0.002
voting,0.002
came,0.002
saying,0.002
breitbartnews,0.005
inspire,0.005
pope,0.001
rapture,0.002
queen,0.003
radio,0.001
dopey,0.001
tempted,0.001
thirds,0.005
enjoyed,0.002
lessons,0.03
aje4bn,0.002
busy,0.005
countrywhere,0.005
delays,0.001
rich,0.003
pursuing,0.001
folks,0.006
danielalpert,0.005
allardyce,0.005
5yx9gz,0.002
bahrain,0.005
ujgzgp,0.001
10,0.002
de,0.005
watch,0.005
altogether,0.011
rodneymarsh10,0.001
15,0.003
dr,0.001
jonesier,0.005
dpca6kuqqn,0.002
earn,0.005
lurches,0.002
a7168761,0.002
countries,0.005
anxiously,0.001
twice,0.002
bad,0.004
410,0.001
reviving,0.002
ruins,0.002
secretary,0.005
1fmwlbk,0.002
decides,0.001
disaster,0.005
fascinating,0.002
sturgeon,0.006
depends,0.005
horrendous,0.004
fail,0.002
ttj2tu,0.002
best,0.001
02,0.001
said,0.003
06,0.004
campaigners,0.001
04,0.005
05,0.002
lots,0.005
08,0.005
09,0.003
wikipedia,0.005
stamps,0.015
unable,0.001
olympics,0.002
hopefully,0.001
tolerance,0.004
letting,0.002
lazy,0.003
men,0.013
terms,0.001
parallels,0.001
omd,0.005
tehnocrati,0.005
jk_rowling,0.001
ignorance,0.007
ws,0.002
wtf,0.004
news,0.001
debt,0.001
overestimated,0.003
climate,0.006
numpty,0.01
cox,0.005
uncertainty,0.001
pitt,0.002
demanded,0.016
bbcradio4,0.001
games,0.003
logic,0.004
com,0.011
healthuever,0.004
presumably,0.004
libdempress,0.005
archaeology_uos,0.001
irresponsible,0.002
2nd,0.002
tony,0.003
false,0.002
100,0.004
hitler,0.001
utm_campaign,0.006
union,0.003
three,0.002
much,0.006
destabilises,0.002
expected,0.002
pro,0.001
plateau,0.002
life,0.007
families,0.005
5k,0.003
eastern,0.001
glomarresponder,0.001
lift,0.001
hoist,0.003
doubts,0.005
worked,0.002
save,0.002
746024042361196544,0.001
presidency,0.004
heartland,0.005
n,0.005
aim,0.002
near,0.002
ain,0.002
suppose,0.001
teachers,0.001
thebhf,0.001
leaves,0.002
mistake,0.002
played,0.002
ditching,0.005
expat,0.001
defeated,0.005
experts,0.005
il,0.004
march,0.001
britscanbedumbtoo,0.001
ie,0.004
id,0.022
steve_sedgwick,0.002
grown,0.002
things,0.004
make,0.005
linked,0.001
complex,0.003
split,0.001
colonies,0.005
european,0.007
independent,0.004
welsh,0.002
hand,0.002
fridays,0.004
garlic,0.002
recent_news_id,0.002
213990,0.004
arab,0.001
kept,0.002
scenario,0.005
homerhickam,0.001
1600,0.002
failing,0.002
brexitenemies,0.002
rome,0.002
mother,0.004
claims,0.005
paradigm,0.002
rio2016,0.002
left,0.004
unified,0.001
just,0.013
philmconstruct,0.001
aside,0.005
thanks,0.004
human,0.005
facts,0.005
yes,0.004
yet,0.003
adding,0.001
ibpmdu,0.001
hal,0.002
tronc,0.005
candidate,0.006
brexitvote,0.004
belongs,0.004
beloved,0.005
east,0.005
humanity,0.003
theeconomist,0.005
gave,0.014
gove,0.001
breaks,0.001
bbcquestiontime,0.002
possible,0.004
syrianrefugees,0.002
cultural,0.004
govt,0.002
apart,0.001
desire,0.001
50,0.002
steps,0.01
overrated,0.004
night,0.005
ntfem,0.003
uniofyork,0.004
www,0.012
right,0.005
old,0.005
plantagenet,0.005
people,0.004
understand,0.002
successfully,0.001
ironically,0.001
dead,0.005
usher,0.001
election,0.004
escape,0.001
1461057270,0.001
darkages,0.002
rhine,0.002
fascistic,0.001
fox,0.005
stoptheeu,0.001
everything,0.001
cnn,0.001
uglyhonest,0.002
christmas,0.005
2etw8rf,0.002
core,0.001
pls,0.004
ww2,0.002
post,0.012
byzantium,0.001
jester,0.003
sadiq,0.004
_brexit_,0.013
poss,0.001
luat,0.004
