Term,Value
suicidal,0.002
hordes,0.002
child,0.004
crisisgrexit,0.001
skynews,0.005
holyrood,0.002
asian,0.002
hanging,0.005
john_holtke,0.012
oldest,0.002
saved,0.005
forget,0.002
votes,0.004
janimine,0.003
poorest,0.004
inlike,0.002
voted,0.004
whatsoever,0.005
bethrigby,0.005
sorry,0.003
765106024957214720,0.005
regrets,0.005
sinking,0.002
void,0.001
rise,0.002
jacob,0.005
bringing,0.004
school,0.002
supports,0.05
solution,0.004
296,0.001
shows,0.002
heading,0.005
kevinpbreslin,0.001
enjoy,0.004
744109418904584192,0.001
leaders,0.001
warns,0.001
withorpe,0.004
271,0.002
second,0.001
street,0.007
chris_meloni,0.005
bbcqt,0.005
even,0.003
brexit,0.023
erexit,0.002
326577,0.002
incompatible,0.002
1vnxyl0,0.002
victoriapeckham,0.001
nyt,0.001
new,0.006
net,0.002
ever,0.004
mogg,0.003
told,0.004
centric,0.005
meb,0.006
never,0.026
reported,0.001
whatthehellareyoutalkingabout,0.002
fuck,0.002
path,0.001
olsson,0.019
vikings,0.001
k,0.006
changed,0.002
military,0.002
heatherwheeler,0.001
punishment,0.005
shithappens,0.012
golden,0.001
divide,0.005
campaign,0.001
brought,0.003
pdsutherlandun,0.001
opportunities,0.001
embarrass,0.004
total,0.005
forums,0.001
spoke,0.001
theordinaryman2,0.002
army,0.002
coins,0.002
chooses,0.001
kneepads,0.002
call,0.001
telegraph,0.002
spike,0.006
rationalism,0.007
tell,0.005
expat,0.001
supporters,0.001
successful,0.001
brings,0.005
wars,0.002
adrianople,0.002
warn,0.001
mansplains,0.001
teaching,0.002
must,0.004
join,0.003
room,0.004
rights,0.005
plunged,0.002
ere,0.002
era,0.002
ms,0.001
example,0.002
give,0.003
550,0.001
dragons,0.002
want,0.028
christianvoice,0.001
keep,0.005
oppressing,0.003
end,0.005
thing,0.006
egyptian,0.001
trsresearch,0.002
machine,0.003
s030544031300023x,0.002
stupidity,0.006
neveragain,0.005
interview,0.001
place,0.006
ancestor,0.002
michelledewbs,0.002
mess,0.004
assimilated,0.002
earlier,0.002
wrong,0.013
sturdywendy,0.001
lay,0.002
president,0.005
pdf,0.002
types,0.005
thesun,0.006
attempt,0.002
third,0.001
revolt,0.003
descends,0.002
1lv7wv,0.002
greek,0.003
berlusconi,0.004
sucessor,0.002
bodgit_bendit,0.014
archaeology,0.003
grassrootsout,0.006
foetal,0.004
danhannanmep,0.002
tricked,0.002
whizzing,0.002
london,0.004
keyboard,0.003
andrea,0.005
nyti,0.001
globalpulsemag,0.002
notoeu,0.005
writing,0.001
better,0.006
wales,0.005
weeks,0.004
overcome,0.001
eventually,0.002
lambert,0.004
safe,0.001
jenit,0.001
break,0.001
heaven,0.002
sixteen,0.002
bank,0.005
bread,0.002
germanic,0.002
govuk,0.003
swancom74,0.002
hadrains,0.002
victory,0.001
mantheaume,0.005
went,0.001
side,0.002
luck,0.005
suzanneevans1,0.006
financial,0.001
skydata,0.002
davidcameron,0.003
milan,0.002
jouster,0.006
maniacs,0.012
sounds,0.002
richardlander,0.002
rt,0.002
goo,0.002
god,0.002
revolting,0.005
re,0.006
daniel,0.002
got,0.004
foxbusiness,0.005
gov,0.005
independence,0.005
abbott,0.003
turning,0.002
veto,0.001
rustyrockets,0.002
little,0.024
free,0.004
boosting,0.002
wanted,0.005
r4,0.002
refugee,0.006
days,0.004
ati,0.005
isn,0.001
uses,0.002
onto,0.006
voteleave,0.004
duplicitous,0.004
already,0.017
nigel,0.005
leaveeuofficial,0.002
matteorenzi,0.004
another,0.002
wasn,0.006
ditch,0.001
ten,0.002
service,0.002
top,0.018
historian,0.001
bitcoin,0.004
tot,0.003
hist100b1,0.001
needed,0.003
confirming,0.002
ton,0.003
thoughts,0.005
hollywood,0.001
john,0.002
bitter,0.001
grexit,0.006
calexit,0.006
owensmith_mp,0.001
collapse,0.002
villages,0.01
took,0.003
tabloids,0.004
western,0.002
symptom,0.002
distance,0.002
bloated,0.002
immigrants,0.001
scenes,0.005
nations,0.001
project,0.018
matter,0.014
brexit0rremain,0.005
2ekpbqq,0.002
iron,0.017
thewerelizard,0.002
boudica,0.001
feeling,0.002
spoiler,0.002
bridge,0.003
palace,0.002
modern,0.006
mind,0.005
nicolasturgeon,0.005
migrantcrisis,0.002
raw,0.005
lbc,0.001
seen,0.001
telegraphnews,0.005
tells,0.002
forced,0.002
responsible,0.001
1960,0.005
isolated,0.004
merichio,0.001
fitting,0.001
rome,0.001
tintagel,0.001
decadence,0.002
hun,0.001
empireand,0.002
blue,0.002
cymbeline,0.002
_brexit_,0.009
pdpgb,0.002
fencing,0.006
regular,0.002
germany,0.003
revival,0.001
don,0.004
classicist,0.001
professor,0.002
m,0.005
treaty,0.001
leaflet,0.002
diabetesuk,0.001
28j0gwc,0.001
definitely,0.001
tech,0.003
kinglouisxvi,0.006
dos,0.001
voting,0.002
came,0.001
saying,0.001
breitbartnews,0.004
inspire,0.005
pope,0.001
rapture,0.002
queen,0.004
radio,0.001
dopey,0.002
tempted,0.001
thirds,0.005
enjoyed,0.001
lessons,0.015
aje4bn,0.001
busy,0.004
countrywhere,0.004
delays,0.002
rich,0.004
pursuing,0.002
folks,0.004
danielalpert,0.003
allardyce,0.003
5yx9gz,0.002
bahrain,0.005
ujgzgp,0.002
de,0.004
watch,0.007
altogether,0.012
rodneymarsh10,0.002
15,0.005
dr,0.002
jonesier,0.004
dpca6kuqqn,0.001
earn,0.007
lurches,0.001
a7168761,0.002
countries,0.005
anxiously,0.002
twice,0.002
the_globe,0.002
410,0.001
emp,0.001
ruins,0.002
secretary,0.004
1fmwlbk,0.002
decides,0.001
disaster,0.004
fascinating,0.002
sturgeon,0.004
depends,0.004
horrendous,0.003
fail,0.001
ttj2tu,0.001
best,0.002
02,0.001
said,0.001
06,0.007
07,0.001
04,0.005
05,0.002
lots,0.004
08,0.005
09,0.008
wikipedia,0.004
stamps,0.015
unable,0.001
olympics,0.002
hopefully,0.002
tolerance,0.005
letting,0.001
lazy,0.004
men,0.01
terms,0.001
parallels,0.002
omd,0.004
tehnocrati,0.004
jk_rowling,0.002
ignorance,0.006
ws,0.002
wtf,0.004
news,0.002
debt,0.001
overestimated,0.004
climate,0.005
numpty,0.015
cox,0.005
uncertainty,0.002
pitt,0.002
demanded,0.009
bbcradio4,0.002
games,0.005
faces,0.003
com,0.022
healthuever,0.008
presumably,0.005
libdempress,0.005
archaeology_uos,0.001
irresponsible,0.002
2nd,0.001
tony,0.001
globalists,0.001
100,0.004
utm_campaign,0.004
union,0.005
takecontrol,0.001
three,0.002
much,0.005
destabilises,0.001
expected,0.001
plateau,0.001
life,0.006
families,0.005
beloved,0.004
eastern,0.002
glomarresponder,0.001
lift,0.001
hoist,0.004
doubts,0.006
worked,0.001
save,0.002
746024042361196544,0.001
presidency,0.005
medievalacademy,0.004
n,0.005
aim,0.001
near,0.001
ain,0.002
suppose,0.002
teachers,0.002
thebhf,0.002
leaves,0.001
mistake,0.002
played,0.001
ditching,0.006
dumped,0.005
defeated,0.005
experts,0.004
il,0.006
march,0.001
britscanbedumbtoo,0.002
ie,0.005
id,0.014
steve_sedgwick,0.001
grown,0.001
things,0.004
make,0.004
complex,0.004
upon,0.008
split,0.001
colonies,0.005
european,0.006
independent,0.004
welsh,0.002
hand,0.002
fridays,0.004
portal,0.005
recent_news_id,0.002
213990,0.006
arab,0.002
kept,0.002
scenario,0.005
homerhickam,0.002
1600,0.002
failing,0.003
brexitenemies,0.002
academia,0.004
mother,0.004
claims,0.004
paradigm,0.002
hotch,0.002
rio2016,0.002
left,0.004
unified,0.002
just,0.014
philmconstruct,0.001
aside,0.004
thanks,0.003
human,0.004
facts,0.005
yes,0.004
yet,0.003
adding,0.002
ibpmdu,0.002
hal,0.001
tronc,0.006
candidate,0.007
brexitvote,0.005
collsped,0.003
belongs,0.005
5k,0.004
east,0.005
humanity,0.005
theeconomist,0.004
gave,0.011
gove,0.001
breaks,0.001
bbcquestiontime,0.001
possible,0.005
syrianrefugees,0.002
cultural,0.006
govt,0.002
apart,0.002
desire,0.001
50,0.001
steps,0.01
overrated,0.004
night,0.007
ntfem,0.006
uniofyork,0.005
www,0.012
right,0.005
old,0.003
plantagenet,0.003
people,0.006
understand,0.002
successfully,0.002
ironically,0.001
dead,0.004
usher,0.001
election,0.005
1461057270,0.002
darkages,0.002
rhine,0.002
fascistic,0.001
fox,0.004
stoptheeu,0.002
everything,0.001
cnn,0.002
uglyhonest,0.001
christmas,0.006
2etw8rf,0.001
core,0.002
pls,0.003
ww2,0.002
byzantium,0.001
jester,0.004
sadiq,0.004
post,0.031
poss,0.002
luat,0.005
attacks,0.005
reviddiver,0.002
barbarians,0.001
