Topic,Term,Value
0,people,0.008
0,u,0.039
0,t,0.015
5,ehm,0.0
0,s,0.014
7,pisition,0.0
2,plastering,0.0
8,forsyth,0.0
1,heroin,0.0
7,committed,0.0
9,churchil,0.0
9,jaqui,0.0
2,polititian,0.0
3,nella,0.0
5,ronniei,0.0
7,writingif,0.0
5,managment,0.0
7,protestants,0.0
1,o2,0.0
1,ganged,0.0
4,midge,0.0
3,5years,0.0
8,blanke,0.0
5,loathes,0.0
4,tarder,0.0
4,gorbachev,0.0
9,trecherous,0.0
3,10153871798018089,0.0
3,relieving,0.0
6,suriname,0.0
9,progammes,0.0
1,blithering,0.0
5,tste100,0.0
8,cactus,0.0
0,will,0.01
6,deng,0.0
3,afghani,0.0
9,holtorf,0.0
7,themes,0.0
6,vunerability,0.0
7,sunnier,0.0
1,shilly,0.0
7,addressing,0.0
0,00bd,0.007
4,powerhungry,0.0
3,renovation,0.0
6,untermensch,0.0
4,hert,0.0
2,europrats,0.0
9,priviledges,0.0
9,zie,0.0
8,caning,0.0
5,tract,0.0
4,vicks,0.0
9,hadland,0.0
8,farnham,0.0
3,mindedness,0.0
6,db,0.0
8,robinshaw,0.0
7,decadesbut,0.0
2,horner,0.0
3,woke,0.0
9,abundance,0.0
0,can,0.006
7,ground,0.0
5,texas,0.0
2,volcanic,0.0
2,bxm,0.0
6,millon,0.0
9,inject,0.0
6,tragic,0.0
8,philips,0.0
0,eu,0.011
2,mouratidis,0.0
3,gpd,0.0
0,ed,0.019
1,welshmen,0.0
1,warred,0.0
4,indyref1,0.0
5,reminders,0.0
6,exploited,0.0
4,simplement,0.0
4,cajole,0.0
0,00a0,0.009
4,objective,0.0
1,mam,0.0
5,handbasket,0.0
8,caveney,0.0
2,solidarity,0.0
6,malka,0.0
8,medically,0.0
6,verstanden,0.0
7,83b9,0.0
1,ramsgate,0.0
2,timthe,0.0
3,condition,0.0
1,avre,0.0
5,sovrin,0.0
2,unelectables,0.0
8,gto,0.0
