Term,Value
strawa,0.004
communitiesuk,0.016
hordes,0.034
leejasper,0.004
beachthistle,0.01
holyrood,0.009
four,0.008
hanging,0.015
diisgrace,0.004
localized,0.014
marching,0.012
dunleavy138,0.005
ukelections2015,0.007
augustine,0.009
ecominimalnick,0.013
stevesurrey1,0.006
cole_davesc66,0.001
lord,0.008
protestants,0.003
regional,0.001
trojan,0.011
pigment,0.007
forties,0.006
bringing,0.011
scholar,0.009
wooden,0.006
commenter,0.028
patrickwintour,0.002
smethwick,0.005
chalupatime,0.01
katiecelf,0.006
hague,0.009
zzzzzz,0.004
charter,0.005
utm_hp_ref,0.01
specially,0.009
bbqt,0.026
bacon,0.009
second,0.011
autonomous_mind,0.011
feck,0.007
theory,0.006
brexit,0.023
jonteinspain,0.009
casumptious,0.009
skynewsbreak,0.001
sheenmate,0.001
chieftans,0.018
fossil,0.004
scottishlabour,0.023
scottishreferendum,0.004
jackcapron,0.007
ohbrokenbritain,0.031
hero,0.01
splinter,0.01
brainwashed,0.009
lgbt,0.009
china,0.012
cult,0.009
affiliated,0.014
shriek,0.006
mickzippy,0.008
realclimatescience,0.002
cyclical,0.009
kids,0.032
kaltesonne,0.002
k,0.01
davidisky,0.003
reports,0.014
transfixed,0.009
military,0.01
bbcone,0.007
cancellation,0.004
criticism,0.005
golden,0.011
divide,0.005
criticise,0.002
loudoun,0.005
norse,0.006
replace,0.003
foodbanks,0.007
classicfail,0.007
unis,0.005
hoping,0.007
dna,0.006
spoke,0.004
aidan_celtic,0.007
music,0.01
telegraph,0.035
passport,0.014
e2,0.014
owen,0.005
holy,0.026
relax,0.015
successful,0.002
brings,0.003
0aqfxwm,0.002
codalmighty,0.006
90,0.005
93,0.01
hold,0.015
sarahhemyukip,0.007
britfirst,0.005
morally,0.011
locked,0.008
pursue,0.01
famed,0.001
plunged,0.03
rkzins_8hfo,0.015
revenues,0.006
example,0.013
richardhilton1,0.002
grumpydenier,0.003
sinking,0.005
household,0.006
dragons,0.012
bbcnew,0.011
want,0.036
absolute,0.013
lobbycomm,0.001
hoc,0.011
worldview,0.012
hehehehehe,0.007
complaining,0.006
travel,0.012
damage,0.013
antiracismday,0.016
machine,0.005
preferable,0.007
salmond,0.006
swine,0.009
statement_on_paris_shooting,0.01
jamesvondoom,0.008
outlawed,0.01
shores,0.013
wrong,0.016
gsdlady2,0.009
shocker38,0.009
types,0.01
ukipscum,0.007
_deanwilson94,0.009
eyers,0.012
occasions,0.005
paullewismoney,0.012
wins,0.015
fictional,0.003
keeps,0.007
p4ljta,0.003
democratic,0.01
wing,0.012
wind,0.012
senators,0.01
angelahaggerty,0.004
welcomed,0.015
govern,0.01
chriscox69,0.008
continentals,0.004
luisbaram,0.004
jackbrosnan_,0.004
eddieizzard,0.015
luke_e_boy,0.008
fit,0.008
screaming,0.008
10153212_233154013546003_3162180114676654568_n,0.005
discourse,0.002
deeneking,0.005
wales,0.024
hidden,0.006
virtually,0.009
lukebozier,0.001
schools,0.011
silver,0.008
xfactor2014,0.008
represents,0.008
diarmidm,0.009
queues,0.002
barton,0.007
arron,0.009
crops,0.001
addicted,0.001
volcano,0.007
ronkabet,0.011
financial,0.012
snakes,0.012
knockout,0.013
allah,0.011
fortnight,0.006
jimtduffy,0.002
2day,0.006
cathedral,0.008
whit,0.007
ring,0.005
whip,0.003
rt,0.017
trending,0.006
23c8my7,0.007
rs,0.005
markbtuk,0.004
richardlion2,0.001
re,0.036
encourage,0.01
adapt,0.003
27115043,0.006
dogwhistle,0.007
foundation,0.009
hillaryclinton,0.01
sellout,0.005
paullarkin74,0.009
threatened,0.009
medieval_things,0.001
farageget,0.003
rspca,0.006
allison00812810,0.002
7ekuqhw7b,0.012
redhair,0.01
ate,0.007
ndls61,0.007
ups,0.002
1970s,0.001
repealed,0.01
rabid,0.005
landlords,0.01
peterthomas410,0.011
nigel,0.035
steroids,0.011
reintroduced,0.011
wasn,0.011
remotely,0.003
sutherland,0.004
jamesmcleary,0.009
cmidgley1988,0.008
blazespage,0.006
xii,0.002
tired,0.008
needed,0.018
boston_rabbit,0.005
xit,0.003
_lilykins,0.011
euro,0.018
bitter,0.009
steven_woolfe,0.015
listen,0.01
danish,0.01
alecoscino,0.009
collapse,0.002
kno,0.004
hell_yes,0.005
wisdom,0.005
chairwoman,0.008
channel4,0.004
darkies,0.005
positively,0.008
195dal,0.009
trek,0.005
peril,0.003
showed,0.016
coward,0.013
tree,0.012
10x,0.002
dtfxzpu,0.006
nations,0.025
project,0.016
endure,0.01
boudica,0.076
charted,0.008
feeling,0.006
1zafmow,0.012
redesigned,0.002
esto,0.001
1fxcbdm,0.007
concrete,0.004
paramedics,0.003
responsible,0.009
causing,0.008
absorbed,0.007
ukipfail,0.003
pander,0.004
witney,0.01
shall,0.009
diminishing,0.008
swiss,0.012
mouth,0.005
letter,0.008
entry,0.006
majo,0.006
episode,0.006
2emuouszi,0.009
fajnyjames,0.008
camp,0.011
twickenham,0.011
independents,0.002
flagellants,0.001
lpg,0.011
camb,0.004
came,0.017
saying,0.013
fuckers,0.002
plagues,0.002
sexist,0.002
morningstaronline,0.014
darmz7,0.003
sexism,0.001
hungary,0.008
tempted,0.007
clock,0.003
lessons,0.015
busy,0.01
scmpsocialnewsfeed,0.005
ment,0.005
cousins,0.009
warmongering,0.014
safadreamer,0.001
rich,0.01
milton,0.003
1qto55c,0.008
kraljski,0.007
lmao,0.001
mrdatch,0.029
lurches,0.012
greens,0.026
nicely,0.01
pigtowngrump,0.003
paedophiles,0.01
patch,0.009
debatingfools,0.014
cull,0.007
traverse,0.001
disaster,0.007
fair,0.016
branding,0.009
result,0.013
fail,0.016
syriapakistanindiamalaysiairaqiran,0.012
resigned,0.009
best,0.018
markfrance62,0.017
patronsaintofca,0.005
campaigners,0.011
scotlibdems,0.006
lots,0.009
wikipedia,0.016
r,0.016
1pqswgm,0.007
romanscharlemagne,0.005
ira,0.007
foi_in_ukip,0.007
migrantnation,0.006
glasgow,0.007
preserve,0.014
men,0.015
parallels,0.012
nationwide,0.007
nature,0.008
rolled,0.006
mei,0.002
jack0byte,0.004
ian_fraser,0.006
extent,0.008
roller,0.008
pity,0.005
outcome,0.007
sacrificing,0.013
fallacious,0.015
drmoragkerr,0.009
demanded,0.015
planned,0.008
normandy,0.008
logic,0.009
wipeout,0.007
argue,0.01
asked,0.006
eradicate,0.006
calibre,0.01
telbo5000,0.008
basque,0.016
blonde,0.014
raith,0.006
source,0.012
union,0.019
fri,0.003
michaelpdeacon,0.005
frm,0.007
advert,0.006
ckuka,0.004
much,0.027
fecking,0.026
jackass,0.001
deportations,0.006
socialflow_twitter,0.002
life,0.012
spit,0.01
eastern,0.007
worker,0.01
places,0.003
sycophants,0.003
southerners,0.006
child,0.009
25s,0.008
worked,0.006
doth,0.009
cunt,0.008
diverted,0.007
isabeloakeshott,0.008
bcalderwood23,0.005
1jar3,0.01
viii,0.0
athanaseus,0.014
flooding,0.006
ladyreynolds34,0.011
ridiculously,0.005
surprises,0.004
nuttalls,0.012
anticipating,0.011
campaigning,0.007
trusted,0.004
things,0.014
rebellion,0.005
split,0.005
babies,0.01
paedo,0.007
european,0.021
plonker,0.005
fairly,0.006
louisemensch,0.009
louenglefield,0.003
pitchforks,0.001
jaimehta,0.0
lydlqv,0.006
reissdjo,0.005
tune,0.019
fabricant,0.007
1rlzdre,0.009
eddiesurfs,0.017
academia,0.002
demindblower,0.002
echoes,0.001
petewishart,0.007
opinions,0.001
its2014,0.002
terrorist,0.008
cumbria,0.006
birmingham,0.012
flaggelant,0.002
gretna,0.005
sandracub,0.007
ham,0.009
holyromanempire,0.008
bnp,0.025
hay,0.011
innocent,0.008
prison,0.005
east,0.033
espoused,0.008
hav,0.006
ukipcastlepoint,0.011
groat,0.001
possible,0.013
possibly,0.006
lachiemor1,0.007
indicative,0.008
mrdavidwhitley,0.01
birth,0.01
shadow,0.02
hamas,0.0
desire,0.01
brought,0.001
kingskroinkie,0.015
sliiting,0.009
remind,0.009
steps,0.008
andrewoathy,0.003
ideaa,0.0
bonkers,0.001
right,0.031
old,0.013
crowd,0.013
people,0.032
czech,0.009
uuponline,0.007
ooooo,0.004
willdefens,0.001
sure,0.017
countytimes,0.005
serialsockthief,0.008
creep,0.001
bringbackhanging,0.014
attendees,0.005
fox,0.021
individuals,0.003
periphery,0.004
mabionglyndwr,0.007
varicose,0.0
nwbrux,0.008
templarinfidel,0.004
lefty,0.016
hmtreasury,0.015
oliverjamesuk,0.0
tribes,0.031
losing,0.013
toryshorty,0.009
exploitiation,0.009
bigpoppatotoro,0.007
benches,0.001
citizens,0.009
o,0.009
despair,0.003
stoked,0.003
ukipdaily,0.007
slightly,0.006
bath,0.004
consulting,0.004
sod,0.016
1531879,0.015
sol,0.008
son,0.014
presenters,0.005
breadandcircuses,0.0
sov,0.008
blueliberal1,0.012
carlachamorros,0.001
poss,0.003
foothold,0.002
support,0.036
constantly,0.002
raped,0.012
joseph,0.012
wordpress,0.011
jeremylefroymp,0.011
thingsscotlandhas,0.006
celtic_scotland,0.006
happy,0.012
journo,0.013
offer,0.013
jakearmistead,0.006
davidsigsworth,0.002
simon_ukip,0.007
congratulations,0.02
dontvotescumshovethevoteupukipsbum,0.007
michaelrosenblog,0.009
medway,0.004
inside,0.011
paulturner2012,0.012
vanguard,0.006
rerum,0.002
smashed,0.016
stopsharia,0.01
passenger,0.006
later,0.027
liberal,0.01
proven,0.012
hethers01,0.002
exist,0.01
marxists,0.009
marty_caine,0.013
flood,0.003
republic,0.006
jseymourukip,0.002
roll,0.009
ramadi,0.009
intend,0.011
geezer,0.011
transported,0.002
muslims,0.018
smelling,0.012
persecution,0.002
jimwaterson,0.006
gillian_mair80,0.008
anthony_g_ukip,0.001
mixtymuxty,0.008
99,0.007
mrjamesob,0.011
beamed,0.007
1156588,0.011
time,0.021
push,0.007
characterising,0.012
chain,0.011
whoever,0.006
eunats,0.005
disrepute,0.008
buddys,0.01
mcghee,0.008
chair,0.006
loons,0.007
quartered,0.002
pratap,0.008
reverting,0.004
vlad,0.005
obssessed,0.008
atavistic,0.001
trog,0.015
choice,0.02
fullest,0.011
exact,0.01
minute,0.006
rlemkin,0.009
tear,0.005
leave,0.033
settle,0.006
subway,0.011
team,0.005
loads,0.007
jamessreality,0.009
globalwarmingisamyth,0.003
prevent,0.016
hindered,0.005
marikanotions,0.009
prediction,0.016
anassarwar,0.009
chopping,0.011
shirts,0.001
5509085,0.012
saoralba,0.008
elton,0.006
deafitit,0.008
celebrated,0.011
current,0.01
ianssmart,0.014
freaks,0.004
boost,0.006
thrust,0.001
honour,0.012
funeral,0.006
walsallinfidel,0.01
paedophile,0.008
contemplate,0.002
address,0.011
alone,0.01
along,0.016
redemption,0.003
trumpton_ukip,0.033
queue,0.007
haitch7,0.008
bp,0.007
funder,0.001
jameeyy,0.004
studies,0.002
reclaim,0.012
prettyh,0.009
demonisation,0.003
somerandomhash,0.004
love,0.015
bloods,0.009
canio,0.008
prefer,0.017
logical,0.006
bloody,0.022
ipp,0.008
fake,0.025
neildance,0.006
forefront,0.011
opposes,0.01
sturdyalex,0.004
working,0.029
positive,0.01
angry,0.006
l06jsl,0.001
druids,0.015
boycotthalal,0.011
opposed,0.011
clydessb,0.007
georgegalloway,0.029
loving,0.006
introducing,0.012
scovers123,0.004
1hi30x2,0.01
leeches,0.002
assimilation,0.002
odious,0.006
fastestfredy,0.011
ukip_rbwm,0.003
everywhere,0.01
eastchesterton,0.003
indiegogo,0.008
paxtonnorth,0.011
involve,0.011
scholey,0.009
trev_forrester,0.016
wanks,0.005
wingers,0.002
moansar,0.011
believes,0.001
values,0.018
believed,0.013
1dq66zx,0.006
ollyneville,0.002
bertrandlapraye,0.004
twittersilence,0.009
vauxhall,0.006
luizap1,0.001
admires,0.009
allowed,0.011
litre,0.003
paulmasonnews,0.005
divided,0.007
kvmcclean,0.004
chaucer,0.001
34604358,0.017
edinburgh,0.011
spot,0.002
yeeeeesss,0.007
thanetwatch,0.006
primordial,0.0
outthink,0.025
barbaricinhumanedisgusting,0.01
naomi_1,0.004
date,0.008
wikileaks,0.01
laboureoin,0.009
spouted,0.002
data,0.009
brainless,0.006
duncanbarkes,0.011
411478,0.008
natural,0.009
conscious,0.002
ss,0.007
sp,0.008
st,0.021
kittycatboyd,0.014
1sy10nm,0.01
sa,0.016
se,0.01
sd,0.005
webpage,0.016
pugwash1000,0.011
djmumin,0.002
unacceptable,0.003
years,0.029
course,0.016
leannewood,0.011
clinton,0.011
grassroots_out,0.003
tendency,0.011
strategyjhp,0.006
theecologist,0.011
bodunfors,0.007
181lwff,0.012
cstross,0.009
councillor,0.014
tory,0.021
petition,0.011
oldfirmfacts1,0.007
recipients,0.014
matches,0.007
indigenous,0.03
drilling,0.001
cutleree,0.004
twilight,0.009
glinner,0.01
didn,0.015
revert,0.01
alexx_mcarthur,0.006
domac2000,0.012
ukipthey,0.002
bowling,0.011
veins,0.009
zeropregi,0.003
quarter,0.01
square,0.003
beloved,0.005
patrickoflynn,0.008
christia_allard,0.006
entering,0.017
regionally,0.017
lesson,0.004
troll,0.006
joker,0.003
canvas,0.006
container,0.008
805881485400174593,0.001
coastguard_sos,0.003
shaun_dunlop,0.006
abide,0.003
seriously,0.014
investigation,0.013
internet,0.002
suggesting,0.012
cultor,0.013
curbs,0.012
million,0.023
incentives,0.006
possibility,0.01
quite,0.027
22one,0.012
besides,0.01
bumpy,0.002
quits,0.004
training,0.002
themuslimissue,0.003
girfuy,0.01
massive,0.013
u58pumlkgjm,0.011
henry,0.005
saving,0.02
spoken,0.005
one,0.045
andymuirhd,0.006
rickyjames94,0.01
p262zd,0.003
spanish,0.025
vote,0.032
open,0.01
flatearthers,0.005
city,0.023
uks,0.011
jackbuckby,0.012
juliusmandrake,0.013
2,0.033
ibtimes,0.011
typer,0.009
bits,0.0
vapours,0.008
timeforukip,0.011
psychopaths,0.002
proving,0.005
ridiculous,0.011
fooled,0.008
markbarry67,0.006
chump,0.005
eurosceptic,0.005
siding,0.001
future,0.01
alanroden,0.007
sophie,0.003
damned,0.004
prospect,0.001
schrodingers,0.008
addressing,0.005
jagtron1,0.014
sam,0.009
turned,0.013
argument,0.016
sad,0.018
woah,0.002
say,0.032
buried,0.001
allen,0.007
saw,0.013
sat,0.008
charlemagnevfarage,0.007
warriors,0.001
downwards,0.006
aside,0.017
note,0.015
intends,0.006
take,0.029
politcal,0.002
atos,0.01
destroy,0.008
bbcpm,0.016
relaxed,0.003
butterfly,0.008
ironically,0.015
axel_yachef,0.002
opposite,0.015
buffer,0.014
knew,0.013
autocorrectfailure,0.002
faragevclegg,0.0
drive,0.007
federal,0.001
butchered,0.011
atlantic,0.012
review,0.014
laws,0.012
sansian1,0.005
walking,0.007
opportunist,0.013
hustings,0.006
doshtosh,0.01
mike_guillaume,0.005
aggressive,0.009
pperrin,0.011
imagined,0.002
line,0.012
slow,0.012
romanian,0.007
nutshell,0.006
tears,0.002
going,0.021
hockey,0.003
90percenters,0.001
outrage,0.009
