Term,Value
suicidal,0.002
hordes,0.001
child,0.007
crisisgrexit,0.002
skynews,0.005
chaos,0.002
asian,0.001
hanging,0.005
john_holtke,0.025
oldest,0.002
saved,0.005
forget,0.002
votes,0.004
poorest,0.005
seriously,0.004
voted,0.005
whatsoever,0.004
bethrigby,0.005
sorry,0.005
765106024957214720,0.006
regrets,0.004
sinking,0.001
void,0.001
rise,0.002
jacob,0.006
bringing,0.005
believed,0.002
school,0.001
supports,0.014
solution,0.005
296,0.002
shows,0.001
heading,0.005
kevinpbreslin,0.001
voteleave,0.006
744109418904584192,0.002
leaders,0.002
warns,0.002
goth,0.002
271,0.001
second,0.002
street,0.004
chris_meloni,0.005
cymroalba,0.003
even,0.004
brexit,0.034
erexit,0.002
326577,0.001
incompatible,0.002
1vnxyl0,0.001
victoriapeckham,0.003
nyt,0.002
new,0.006
net,0.001
ever,0.001
mogg,0.005
told,0.004
centric,0.003
meb,0.005
men,0.016
reported,0.001
whatthehellareyoutalkingabout,0.002
path,0.003
olsson,0.026
vikings,0.002
k,0.004
changed,0.002
military,0.002
heatherwheeler,0.001
punishment,0.005
shithappens,0.009
golden,0.002
divide,0.004
campaign,0.001
29hdktr,0.002
brought,0.005
pdsutherlandun,0.002
opportunities,0.002
embarrass,0.004
total,0.004
forums,0.001
spoke,0.002
theordinaryman2,0.001
army,0.002
coins,0.001
chooses,0.002
1930s,0.002
call,0.001
telegraph,0.003
spike,0.005
rationalism,0.004
tell,0.003
dumped,0.005
supporters,0.002
successful,0.002
brings,0.004
wars,0.001
adrianople,0.001
warn,0.002
defeated,0.006
teaching,0.001
must,0.004
word,0.001
room,0.006
rights,0.005
plunged,0.001
ere,0.002
era,0.002
transparency,0.001
example,0.001
give,0.004
550,0.001
dragons,0.001
want,0.018
christianvoice,0.002
david,0.003
oppressing,0.002
end,0.007
turn,0.004
egyptian,0.001
trsresearch,0.002
machine,0.005
s030544031300023x,0.002
stupidity,0.004
neveragain,0.003
interview,0.002
turk,0.002
ancestor,0.002
michelledewbs,0.001
mess,0.006
assimilated,0.001
earlier,0.002
wrong,0.035
sturdywendy,0.002
lay,0.001
president,0.005
disagree,0.005
types,0.005
thesun,0.003
attempt,0.001
third,0.001
revolt,0.006
descends,0.001
1lv7wv,0.001
greek,0.001
ianjarmaine,0.002
sucessor,0.001
bodgit_bendit,0.015
order,0.001
grassrootsout,0.003
wine,0.002
danhannanmep,0.002
tricked,0.002
whizzing,0.002
london,0.005
keyboard,0.002
belonged,0.002
nyti,0.001
globalpulsemag,0.002
intelligentsia,0.006
writing,0.002
destroyed,0.002
wales,0.004
weeks,0.004
overcome,0.002
eventually,0.002
lambert,0.006
safe,0.002
jenit,0.002
break,0.001
heaven,0.002
sixteen,0.002
bank,0.005
bread,0.002
germanic,0.002
swancom74,0.002
hadrains,0.002
victory,0.001
mantheaume,0.007
went,0.003
side,0.001
