Term,Value
suicidal,0.002
hordes,0.001
child,0.003
crisisgrexit,0.002
skynews,0.005
holyrood,0.002
chaos,0.001
asian,0.002
hanging,0.007
john_holtke,0.041
erexit,0.002
saved,0.006
forget,0.002
votes,0.005
janimine,0.001
poorest,0.003
seriously,0.006
voted,0.005
whatsoever,0.004
bethrigby,0.004
sorry,0.004
765106024957214720,0.003
regrets,0.004
sinking,0.001
void,0.002
rise,0.002
jacob,0.006
bringing,0.006
believed,0.002
school,0.002
supports,0.009
solution,0.005
296,0.002
unifying,0.001
heading,0.004
kevinpbreslin,0.001
voteleave,0.004
makinghistory,0.002
warns,0.002
withorpe,0.004
271,0.001
second,0.001
street,0.004
chris_meloni,0.004
cymroalba,0.003
even,0.004
brexit,0.013
oldest,0.002
326577,0.002
incompatible,0.002
1vnxyl0,0.001
reasoning,0.002
nyt,0.002
new,0.004
net,0.001
ever,0.002
mogg,0.006
told,0.004
million,0.011
meb,0.005
never,0.011
reported,0.002
whatthehellareyoutalkingabout,0.002
path,0.001
olsson,0.015
vikings,0.001
k,0.005
changed,0.002
military,0.002
heatherwheeler,0.002
punishment,0.006
shithappens,0.027
golden,0.002
divide,0.004
campaign,0.002
brought,0.004
pdsutherlandun,0.001
opportunities,0.002
nolahoubear,0.002
total,0.005
forums,0.004
spoke,0.002
theordinaryman2,0.001
army,0.002
coins,0.001
chooses,0.002
1930s,0.002
call,0.002
telegraph,0.005
spike,0.005
rationalism,0.005
tell,0.003
dumped,0.005
supporters,0.001
successful,0.001
brings,0.004
wars,0.001
adrianople,0.001
warn,0.001
mansplains,0.001
teaching,0.001
must,0.004
join,0.001
room,0.005
rights,0.004
plunged,0.002
ere,0.001
era,0.002
ms,0.002
example,0.001
give,0.009
550,0.001
dragons,0.001
want,0.009
christianvoice,0.002
keep,0.005
oppressing,0.002
end,0.005
turn,0.005
egyptian,0.002
trsresearch,0.001
machine,0.005
s030544031300023x,0.001
stupidity,0.005
neveragain,0.004
interview,0.002
place,0.005
ancestor,0.002
michelledewbs,0.002
mess,0.005
assimilated,0.002
earlier,0.002
wrong,0.015
sturdywendy,0.002
lay,0.001
president,0.006
types,0.006
thesun,0.004
attempt,0.002
third,0.002
revolt,0.008
1lv7wv,0.002
greek,0.001
south,0.002
sucessor,0.002
bodgit_bendit,0.014
order,0.002
grassrootsout,0.005
wine,0.001
danhannanmep,0.002
tricked,0.002
whizzing,0.002
london,0.004
keyboard,0.006
andrea,0.005
belonged,0.002
nyti,0.001
globalpulsemag,0.002
notoeu,0.004
writing,0.002
better,0.004
wales,0.004
weeks,0.004
overcome,0.002
eventually,0.001
lambert,0.005
safe,0.002
jenit,0.002
break,0.002
heaven,0.001
sixteen,0.002
bank,0.005
bread,0.002
germanic,0.001
govuk,0.002
swancom74,0.003
hadrains,0.002
victory,0.001
mantheaume,0.003
went,0.002
side,0.002
luck,0.005
