Term,Value
suicidal,0.002
hordes,0.001
doubts,0.003
crisisgrexit,0.002
skynews,0.005
asian,0.002
hanging,0.004
john_holtke,0.017
erexit,0.002
saved,0.004
forget,0.002
votes,0.004
janimine,0.001
poorest,0.005
inlike,0.002
voted,0.005
whatsoever,0.005
bethrigby,0.005
sorry,0.005
765106024957214720,0.004
regrets,0.005
sinking,0.001
void,0.001
rise,0.001
jacob,0.004
bringing,0.004
school,0.001
cause,0.001
solution,0.004
296,0.001
shows,0.001
heading,0.005
kevinpbreslin,0.001
voteleave,0.005
744109418904584192,0.001
leaders,0.001
warns,0.001
withorpe,0.007
271,0.002
second,0.002
street,0.003
chris_meloni,0.005
bbcqt,0.005
even,0.005
brexit,0.017
oldest,0.001
326577,0.002
incompatible,0.002
1vnxyl0,0.002
reasoning,0.002
nyt,0.002
new,0.005
net,0.002
ever,0.002
mogg,0.005
told,0.005
centric,0.004
meb,0.004
men,0.009
reported,0.002
whatthehellareyoutalkingabout,0.001
path,0.001
olsson,0.017
vikings,0.001
bagati,0.005
changed,0.002
military,0.002
heatherwheeler,0.002
punishment,0.005
shithappens,0.018
golden,0.002
divide,0.004
campaign,0.003
brought,0.006
pdsutherlandun,0.001
opportunities,0.001
nolahoubear,0.001
total,0.004
forums,0.002
spoke,0.001
theordinaryman2,0.002
army,0.002
voters,0.003
chooses,0.001
kneepads,0.002
call,0.002
telegraph,0.004
spike,0.006
rationalism,0.004
tell,0.004
1000,0.002
expat,0.002
supporters,0.002
successful,0.002
brings,0.003
wars,0.001
adrianople,0.002
warn,0.002
mansplains,0.002
teaching,0.002
must,0.004
join,0.001
room,0.004
rights,0.004
plunged,0.002
movies,0.002
era,0.002
ms,0.002
example,0.002
give,0.004
550,0.001
dragons,0.002
want,0.02
christianvoice,0.001
times,0.004
oppressing,0.002
end,0.004
turn,0.005
egyptian,0.002
trsresearch,0.001
machine,0.005
stupidity,0.005
neveragain,0.003
interview,0.002
turk,0.001
ancestor,0.002
michelledewbs,0.002
mess,0.004
assimilated,0.001
earlier,0.001
wrong,0.015
sturdywendy,0.003
lay,0.001
president,0.005
disagree,0.004
types,0.005
thesun,0.004
attempt,0.002
third,0.001
revolt,0.006
descends,0.001
1lv7wv,0.001
greek,0.001
berlusconi,0.004
sucessor,0.002
bodgit_bendit,0.014
order,0.001
grassrootsout,0.004
foetal,0.006
danhannanmep,0.001
tricked,0.001
whizzing,0.001
london,0.005
keyboard,0.005
meteors,0.002
andrea,0.005
nyti,0.001
globalpulsemag,0.001
notoeu,0.005
writing,0.001
better,0.003
wales,0.005
weeks,0.005
overcome,0.003
eventually,0.001
lambert,0.004
safe,0.001
jenit,0.001
break,0.001
heaven,0.002
sixteen,0.001
bank,0.004
bread,0.002
germanic,0.002
govuk,0.002
swancom74,0.002
hadrains,0.002
victory,0.001
mantheaume,0.005
went,0.001
side,0.002
luck,0.004
