Term,Value
strawa,0.003
communitiesuk,0.013
hordes,0.037
leejasper,0.003
beachthistle,0.006
holyrood,0.007
four,0.006
hanging,0.012
diisgrace,0.007
localized,0.014
marching,0.011
dunleavy138,0.01
ukelections2015,0.006
augustine,0.009
ecominimalnick,0.015
stevesurrey1,0.004
cole_davesc66,0.0
lord,0.01
sinking,0.005
regional,0.0
trojan,0.008
pigment,0.008
forties,0.007
bringing,0.01
enddate,0.001
scholar,0.009
wooden,0.004
clientele,0.002
commenter,0.03
patrickwintour,0.003
smethwick,0.005
chalupatime,0.012
katiecelf,0.006
hague,0.007
zzzzzz,0.004
charter,0.007
bill,0.009
specially,0.008
bbqt,0.028
bacon,0.008
second,0.011
autonomous_mind,0.007
feck,0.008
bbcqt,0.018
brexit,0.026
jonteinspain,0.007
casumptious,0.008
skynewsbreak,0.001
sheenmate,0.002
chieftans,0.014
fossil,0.002
scottishlabour,0.02
scottishreferendum,0.003
jackcapron,0.011
ohbrokenbritain,0.024
hero,0.01
splinter,0.01
brainwashed,0.007
lgbt,0.015
china,0.012
cult,0.011
affiliated,0.015
shriek,0.005
mickzippy,0.007
cyclical,0.009
kids,0.023
kaltesonne,0.003
k,0.014
davidisky,0.001
reports,0.013
transfixed,0.005
military,0.013
bbcone,0.009
cancellation,0.003
criticism,0.01
golden,0.011
divide,0.008
criticise,0.001
loudoun,0.008
norse,0.007
replace,0.008
foodbanks,0.006
classicfail,0.005
unis,0.006
unit,0.001
mote,0.007
dna,0.005
spoke,0.002
aidan_celtic,0.007
music,0.008
telegraph,0.032
passport,0.015
e2,0.01
owen,0.008
holy,0.028
relax,0.018
successful,0.002
brings,0.003
0aqfxwm,0.0
codalmighty,0.007
90,0.007
93,0.012
hold,0.013
sarahhemyukip,0.006
britfirst,0.005
morally,0.009
locked,0.009
pursue,0.011
famed,0.002
plunged,0.033
rkzins_8hfo,0.015
revenues,0.004
example,0.018
richardhilton1,0.002
grumpydenier,0.005
protestants,0.005
household,0.007
dragons,0.012
currency,0.001
bbcnew,0.009
want,0.041
absolute,0.013
lobbycomm,0.002
hoc,0.011
worldview,0.007
hehehehehe,0.005
complaining,0.006
travel,0.005
damage,0.013
antiracismday,0.01
machine,0.003
preferable,0.005
salmond,0.007
bbcdouglasf,0.006
renounced,0.009
jamesvondoom,0.006
outlawed,0.011
shores,0.013
wrong,0.018
gsdlady2,0.008
shocker38,0.008
types,0.008
ukipscum,0.007
_deanwilson94,0.005
eyers,0.009
occasions,0.004
paullewismoney,0.011
wins,0.017
fictional,0.002
keeps,0.009
p4ljta,0.006
democratic,0.011
wing,0.01
wind,0.01
senators,0.008
angelahaggerty,0.007
welcomed,0.015
govern,0.007
chriscox69,0.009
continentals,0.004
luisbaram,0.005
jackbrosnan_,0.005
eddieizzard,0.013
luke_e_boy,0.008
fit,0.008
screaming,0.008
10153212_233154013546003_3162180114676654568_n,0.006
discourse,0.002
deeneking,0.004
wales,0.022
hidden,0.002
jihadis,0.012
lukebozier,0.001
schools,0.014
silver,0.009
xfactor2014,0.007
represents,0.008
diarmidm,0.007
queues,0.004
barton,0.007
arron,0.01
crops,0.004
addicted,0.002
volcano,0.005
ronkabet,0.01
financial,0.012
snakes,0.012
knockout,0.016
allah,0.014
turnip,0.003
fortnight,0.01
jimtduffy,0.002
2day,0.006
cathedral,0.008
whit,0.009
ring,0.005
whip,0.002
rt,0.023
trending,0.01
23c8my7,0.008
rs,0.004
markbtuk,0.005
richardlion2,0.002
re,0.049
encourage,0.01
adapt,0.003
27115043,0.009
dogwhistle,0.006
foundation,0.007
hillaryclinton,0.008
sellout,0.007
paullarkin74,0.008
threatened,0.007
medieval_things,0.001
farageget,0.004
rspca,0.013
allison00812810,0.001
7ekuqhw7b,0.011
redhair,0.009
ate,0.007
ndls61,0.009
heading,0.003
1970s,0.003
repealed,0.008
rabid,0.004
landlords,0.012
peterthomas410,0.009
nigel,0.037
steroids,0.012
reintroduced,0.011
wasn,0.01
offerings,0.008
remotely,0.003
sutherland,0.007
jamesmcleary,0.006
cmidgley1988,0.007
blazespage,0.009
xii,0.001
tired,0.008
needed,0.018
boston_rabbit,0.003
xit,0.006
_lilykins,0.007
euro,0.018
bitter,0.008
steven_woolfe,0.014
listen,0.013
danish,0.008
alecoscino,0.007
collapse,0.001
