Term,Value
suicidal,0.001
hordes,0.002
doubts,0.005
crisisgrexit,0.002
skynews,0.004
holyrood,0.001
chaos,0.002
asian,0.001
hanging,0.004
john_holtke,0.015
oldest,0.001
saved,0.005
forget,0.002
votes,0.004
janimine,0.002
poorest,0.003
seriously,0.005
voted,0.005
whatsoever,0.003
bethrigby,0.005
sorry,0.005
765106024957214720,0.006
regrets,0.006
sinking,0.001
void,0.001
rise,0.002
jacob,0.003
bringing,0.003
school,0.002
ref,0.001
solution,0.005
296,0.002
shows,0.001
heading,0.003
kevinpbreslin,0.002
enjoy,0.005
makinghistory,0.002
leaders,0.001
warns,0.002
goth,0.002
271,0.002
second,0.001
street,0.004
chris_meloni,0.004
cymroalba,0.004
even,0.004
brexit,0.021
erexit,0.001
326577,0.001
incompatible,0.001
1vnxyl0,0.002
victoriapeckham,0.002
nyt,0.001
new,0.007
net,0.002
ever,0.002
mogg,0.004
told,0.003
centric,0.006
meb,0.004
men,0.013
reported,0.001
whatthehellareyoutalkingabout,0.002
path,0.001
olsson,0.02
vikings,0.002
k,0.004
military,0.001
heatherwheeler,0.002
punishment,0.005
shithappens,0.011
golden,0.001
divide,0.006
campaign,0.001
29hdktr,0.001
brought,0.004
pdsutherlandun,0.002
opportunities,0.002
nolahoubear,0.001
total,0.003
forums,0.001
spoke,0.002
theordinaryman2,0.002
army,0.002
coins,0.002
chooses,0.002
kneepads,0.001
call,0.002
telegraph,0.005
spike,0.004
rationalism,0.009
tell,0.005
dumped,0.005
supporters,0.001
successful,0.002
brings,0.004
wars,0.002
adrianople,0.002
warn,0.002
mansplains,0.001
teaching,0.001
must,0.006
word,0.001
room,0.004
rights,0.005
plunged,0.001
movies,0.002
era,0.001
transparency,0.002
example,0.001
give,0.003
550,0.002
dragons,0.001
want,0.03
christianvoice,0.001
david,0.004
oppressing,0.002
end,0.005
thing,0.004
egyptian,0.001
trsresearch,0.001
machine,0.005
s030544031300023x,0.002
stupidity,0.005
neveragain,0.004
interview,0.001
place,0.006
ancestor,0.001
michelledewbs,0.002
mess,0.005
assimilated,0.002
earlier,0.001
wrong,0.015
sturdywendy,0.002
lay,0.001
president,0.004
types,0.005
thesun,0.005
attempt,0.001
third,0.002
britannia,0.002
revolt,0.004
descends,0.002
1lv7wv,0.002
greek,0.002
ianjarmaine,0.003
sucessor,0.002
bodgit_bendit,0.027
order,0.001
grassrootsout,0.004
wine,0.001
danhannanmep,0.002
tricked,0.001
whizzing,0.002
london,0.005
keyboard,0.01
meteors,0.002
andrea,0.004
belonged,0.001
nyti,0.001
globalpulsemag,0.002
notoeu,0.005
writing,0.002
destroyed,0.002
wales,0.004
weeks,0.004
overcome,0.002
eventually,0.001
lambert,0.005
safe,0.001
jenit,0.002
break,0.001
heaven,0.001
sixteen,0.002
bank,0.008
bread,0.002
germanic,0.002
swancom74,0.002
hadrains,0.002
victory,0.002
mantheaume,0.006
went,0.001
side,0.001
mean,0.004
suzanneevans1,0.005
financial,0.002
skydata,0.002
_thegman,0.004
milan,0.002
tom_watson,0.005
maniacs,0.013
sounds,0.001
richardlander,0.002
rt,0.002
large,0.001
goo,0.002
god,0.001
revolting,0.005
re,0.005
daniel,0.001
got,0.005
foxbusiness,0.005
gov,0.005
independence,0.004
abbott,0.001
turning,0.004
written,0.002
veto,0.002
rustyrockets,0.002
little,0.012
free,0.005
boosting,0.002
wanted,0.006
r4,0.002
refugee,0.005
days,0.005
ati,0.003
isn,0.002
garlic,0.001
onto,0.003
voteleave,0.006
duplicitous,0.005
already,0.022
nigel,0.005
leaveeuofficial,0.002
matteorenzi,0.004
another,0.001
wasn,0.003
allectus,0.001
ten,0.001
revival,0.002
top,0.017
historian,0.002
bitcoin,0.004
tot,0.004
hist100b1,0.002
needed,0.001
confirming,0.003
ton,0.004
213990,0.004
hollywood,0.001
john,0.002
bitter,0.002
grexit,0.004
calexit,0.004
owensmith_mp,0.001
collapse,0.002
villages,0.027
took,0.004
tabloids,0.005
western,0.001
spoiler,0.002
bloated,0.001
immigrants,0.002
scenes,0.004
nations,0.002
project,0.01
matter,0.026
brexit0rremain,0.003
2ekpbqq,0.002
iron,0.016
thewerelizard,0.002
boudica,0.001
feeling,0.001
bridge,0.005
palace,0.002
modern,0.003
mind,0.004
nicolasturgeon,0.005
migrantcrisis,0.001
raw,0.004
lbc,0.002
seen,0.001
telegraphnews,0.005
tells,0.001
forced,0.001
responsible,0.002
1960,0.004
isolated,0.004
merichio,0.002
fitting,0.001
academia,0.005
tintagel,0.002
decadence,0.001
hun,0.001
empireand,0.002
