Term,Value
weavervaleukipremfry,0.009
hordes,0.009
fox,0.019
go,0.007
dreadful,0.006
hunting,0.091
suits,0.009
0,0.002
voted,0.059
maurice97ilf,0.004
hoards,0.014
facebook,0.009
fall,0.021
leader,0.024
saudi,0.012
maggie,0.01
revolution,0.007
597,0.007
hanidani,0.021
will,0.072
celt,0.172
ukip,0.246
poison,0.008
new,0.164
exchange,0.008
muslim,0.044
communism,0.006
let,0.003
ciaranlyng,0.008
no2eu,0.009
gerardbattenmep,0.009
defectors,0.007
changes,0.006
22one,0.007
via,0.032
humour,0.016
suddenly,0.008
tonywilson47,0.007
inflicting,0.0
highly,0.012
moral,0.003
opnimr,0.007
hospital,0.004
saxons,0.054
gk9l9lw7lcs,0.009
next,0.042
telegraph,0.006
survive,0.004
georgegalloway,0.026
holy,0.146
debunkukiplies,0.006
warm,0.019
indiegogo,0.011
pa34,0.013
account,0.007
locked,0.007
salad,0.018
julius,0.193
ride,0.014
can,0.016
believed,0.007
compare,0.007
india,0.007
states,0.007
want,0.024
schoolgirl,0.013
parliamentary,0.009
quitting,0.007
gate,0.008
civilisation,0.009
sin,0.007
p_the_barbarian,0.0
membership,0.007
jumping,0.008
snp,0.027
invasion,0.009
man,0.003
daggers,0.009
charlemagne,0.096
pleasure,0.008
webpage,0.001
move,0.006
aiding,0.007
scots,0.012
london,0.095
converting,0.007
mayor,0.021
islam,0.005
thank,0.003
ll,0.034
writing,0.009
better,0.033
2015,0.003
tory,0.08
ly,0.011
good,0.016
halt,0.006
practice,0.018
blessed,0.002
uklabour,0.008
now,0.058
americans,0.007
monkeydogify,0.008
normans,0.028
ukip_egham,0.025
oaps,0.007
england,0.05
generation,0.004
ed,0.009
hard,0.0
idea,0.05
used,0.007
replay,0.021
augean,0.006
stealing,0.01
eu,0.087
logo,0.006
girl,0.018
sacrifices,0.027
xenoracist,0.012
factory,0.012
re,0.045
trapezer,0.007
curbs,0.012
found,0.028
romans,0.028
york,0.013
conservatives,0.008
knifings,0.018
lobotomised,0.007
british,0.0
thing,0.024
yuk,0.008
shred,0.007
claudius_p,0.014
r_thomas7,0.007
nigel,0.009
render,0.009
feel,0.012
one,0.068
thetford,0.008
vote,0.013
sounds,0.002
story,0.005
beard,0.018
obritainfirsttorylib,0.006
completed,0.007
apologise,0.01
msfreakinrosie,0.001
haven,0.001
11,0.005
sewsamblui,0.006
thrashing,0.012
bed,0.021
tortured,0.008
matter,0.004
sweden,0.012
iron,0.085
boudica,0.232
mohammedfa15al,0.008
feeling,0.004
ages,0.057
indyref,0.018
murder,0.006
halal,0.018
tells,0.04
wilson,0.06
angle,0.005
built,0.004
scotland,0.072
anglo,0.049
labour,0.025
take,0.051
donor,0.015
rides,0.0
200,0.012
normal,0.008
english,0.06
demise,0.006
coin,0.009
ukipcalypso,0.006
don,0.032
classicist,0.012
clear,0.007
m,0.006
indo,0.021
claudius,0.018
breitbartnews,0.007
stunned,0.009
nigel_farage,0.031
resisting,0.008
cried,0.006
northern,0.001
writer,0.001
fans,0.006
finalised,0.001
going,0.001
roughshod,0.001
ukipleadership,0.007
jailed,0.056
isolationist,0.009
get,0.026
stop,0.074
13,0.007
dodgy,0.006
greens,0.024
spokesperson,0.009
h,0.059
cicero,0.018
patch,0.006
naked,0.006
barbaric,0.0
bigots,0.021
immigrants,0.018
national,0.012
see,0.002
carswell,0.053
review,0.111
birds,0.008
3,0.001
viper,0.008
europe,0.148
opening,0.006
attention,0.013
fiddling,0.007
standuptoukip,0.008
news,0.046
rugby,0.009
successes,0.007
country,0.005
migrantcontribu,0.008
roman,0.118
apostrophe,0.005
com,0.069
period,0.019
actually,0.005
hitler,0.007
speak,0.01
turkey,0.009
described,0.007
bbc,0.005
mark,0.019
much,0.023
damn,0.005
veganneil,0.008
kowtowing,0.027
mary,0.019
controlled,0.003
mark_elton,0.021
cruelty,0.005
orange,0.014
bull,0.003
eaters,0.003
bulb,0.009
present,0.009
intriguing,0.003
stacked,0.003
rachael_swindon,0.008
ugly,0.016
celts,0.002
error,0.003
robin,0.004
mistake,0.021
g4rve,0.006
middle,0.072
rafexchief,0.007
glasgowhammy86,0.008
ukip_expats,0.007
s,0.053
party,0.05
boiled,0.008
http,0.026
evil,0.013
indigenous,0.01
grillingkippers,0.007
dark,0.111
celtic,0.0
remahelleirbag,0.007
well,0.003
spent,0.009
eddiesurfs,0.021
mother,0.009
moneysavingexp,0.021
lest,0.007
gates,0.113
just,0.0
thanks,0.052
protecting,0.006
yet,0.007
death,0.057
hint,0.006
opimus007,0.008
countrys,0.008
caesar,0.052
hates,0.003
early,0.006
bit,0.007
thatcher,0.008
d,0.002
barbarian,0.226
like,0.024
sliiting,0.007
t,0.005
night,0.008
served,0.004
www,0.0
people,0.0
tom_celt,0.2
back,0.067
hail,0.0
empire,0.093
peter,0.06
remfry,0.014
robfordmancs,0.009
newark,0.006
shakespeare,0.014
tends,0.006
murdoch,0.006
run,0.002
medieval,0.0
shithouses,0.007
jester,0.007
slaughter,0.076
libdems,0.001
post,0.018
bury,0.009
_,0.039
faith,0.007
central,0.009
getting,0.002
attacks,0.007
barbarians,0.103
ideology,0.036
trinovantes,0.008
ow,0.007
labour_celts,0.073
credible,0.002
selfie,0.002
essex,0.008
lies,0.005
pointless,0.002
intervention,0.002
support,0.037
fight,0.008
flagdon,0.0
simonmundie,0.01
scotref,0.0
north,0.005
invite,0.0
offer,0.0
atop,0.0
differences,0.0
davidlammy,0.0
andym6769,0.008
farage,0.085
his_grace,0.0
trying,0.001
simon_ukip,0.004
inside,0.006
us,0.018
uk,0.019
tjololo7,0.008
toss,0.011
universal,0.012
scumbags,0.008
britain,0.006
au,0.003
periods,0.004
et,0.012
diversity,0.006
tesco,0.004
43,0.007
reality,0.009
nick,0.01
helena857howell,0.007
maxkeiser,0.018
stoke,0.021
wife,0.015
age,0.193
uncovered,0.007
nelson,0.008
backward,0.016
