Term,Value
strawa,0.004
communitiesuk,0.014
hordes,0.034
leejasper,0.003
beachthistle,0.007
holyrood,0.009
four,0.006
hanging,0.011
diisgrace,0.007
localized,0.013
marching,0.008
dunleavy138,0.008
ukelections2015,0.005
augustine,0.008
ecominimalnick,0.015
stevesurrey1,0.005
cole_davesc66,0.001
lord,0.007
protestants,0.004
regional,0.0
bile,0.008
pigment,0.006
forties,0.008
bringing,0.01
enddate,0.002
scholar,0.009
wooden,0.004
clientele,0.0
commenter,0.026
patrickwintour,0.001
smethwick,0.005
chalupatime,0.011
katiecelf,0.005
hague,0.01
zzzzzz,0.005
charter,0.007
bill,0.009
specially,0.01
bbqt,0.033
bacon,0.01
second,0.012
autonomous_mind,0.009
feck,0.007
bbcqt,0.017
brexit,0.028
jonteinspain,0.009
casumptious,0.009
skynewsbreak,0.002
sheenmate,0.002
chieftans,0.016
fossil,0.004
scottishlabour,0.021
scottishreferendum,0.004
jackcapron,0.007
ohbrokenbritain,0.03
hero,0.008
splinter,0.007
brainwashed,0.006
lgbt,0.012
china,0.009
cult,0.01
affiliated,0.013
shriek,0.005
mickzippy,0.009
cyclical,0.007
kids,0.026
kaltesonne,0.003
k,0.014
davidisky,0.002
reports,0.014
transfixed,0.01
military,0.011
bbcone,0.008
cancellation,0.006
criticism,0.003
golden,0.009
divide,0.007
criticise,0.003
loudoun,0.008
norse,0.008
replace,0.009
foodbanks,0.005
classicfail,0.007
unis,0.004
unit,0.002
hoping,0.009
dna,0.006
spoke,0.002
aidan_celtic,0.008
music,0.013
telegraph,0.026
passport,0.015
e2,0.012
owen,0.007
holy,0.05
relax,0.015
successful,0.002
brings,0.002
0aqfxwm,0.001
codalmighty,0.006
90,0.008
93,0.009
hold,0.018
sarahhemyukip,0.007
britfirst,0.005
morally,0.011
locked,0.009
pursue,0.007
famed,0.002
plunged,0.023
rkzins_8hfo,0.012
revenues,0.007
example,0.016
richardhilton1,0.002
grumpydenier,0.002
sinking,0.005
household,0.006
dragons,0.014
currency,0.001
bbcnew,0.012
want,0.033
absolute,0.014
poverty,0.004
hoc,0.01
worldview,0.007
hehehehehe,0.006
complaining,0.009
travel,0.01
damage,0.008
antiracismday,0.009
machine,0.004
preferable,0.005
salmond,0.007
swine,0.011
renounced,0.009
jamesvondoom,0.008
outlawed,0.01
shores,0.01
wrong,0.019
junkscience,0.005
gsdlady2,0.013
shocker38,0.007
types,0.011
typer,0.009
_deanwilson94,0.01
eyers,0.01
occasions,0.005
paullewismoney,0.012
wins,0.014
fictional,0.0
keeps,0.008
p4ljta,0.002
democratic,0.009
wing,0.011
wind,0.013
senators,0.008
angelahaggerty,0.008
welcomed,0.013
govern,0.004
chriscox69,0.007
continentals,0.004
luisbaram,0.005
jackbrosnan_,0.005
eddieizzard,0.014
luke_e_boy,0.01
fit,0.007
screaming,0.008
10153212_233154013546003_3162180114676654568_n,0.005
ogbtssk,0.0
deeneking,0.002
wales,0.018
hidden,0.005
