Term,Value
hordes,0.01
jellytim,0.0
go,0.015
issues,0.007
hunting,0.072
0,0.005
voted,0.049
division,0.005
torture,0.006
hoards,0.002
facebook,0.003
fall,0.022
washing,0.007
saudi,0.016
work,0.005
ten,0.006
bravo,0.008
invaded,0.008
brexit,0.007
celt,0.094
ukip,0.126
prof_phillipson,0.01
reply,0.007
nazis,0.007
body,0.005
guardian,0.006
never,0.132
leaping,0.007
let,0.007
via,0.03
suddenly,0.021
moral,0.02
fake,0.011
1ldaw4b,0.01
saxons,0.099
next,0.067
levellers,0.006
introducing,0.004
holy,0.19
charming,0.007
warm,0.006
must,0.007
britainelects,0.007
julius,0.099
challenge,0.004
daftquestion,0.004
amdwaters,0.012
can,0.011
v,0.009
history,0.004
nursing,0.008
boycott,0.006
want,0.008
libertarian,0.013
times,0.012
uae,0.013
dwp,0.007
watching,0.007
batten,0.011
gate,0.007
caps45,0.007
snp,0.039
monocultura,0.004
lifting,0.009
man,0.009
emperor,0.007
ss,0.007
maybe,0.004
greek,0.007
charlemagne,0.162
gerard,0.011
webpage,0.001
move,0.004
london,0.084
tyrant,0.007
cuts,0.008
itv,0.007
mayor,0.037
islam,0.011
muzzies,0.007
25,0.012
shaunconway1888,0.005
ll,0.021
yorkshire,0.008
better,0.037
steyn,0.008
2015,0.003
2016,0.014
tory,0.046
ly,0.009
good,0.024
1q5nkhi,0.008
uklabour,0.011
now,0.05
day,0.006
rhetoric,0.007
floods,0.007
found,0.03
normans,0.022
ukip_egham,0.016
england,0.061
hard,0.0
idea,0.031
augean,0.007
eu,0.089
sounds,0.011
rt,0.006
2tweetaboutit,0.007
re,0.027
investigation,0.007
intervention,0.002
oooft,0.01
eco,0.005
romans,0.044
york,0.01
conservatives,0.009
wanted,0.003
warsand,0.008
british,0.0
david,0.002
claudius_p,0.007
support,0.043
nigel,0.002
20foreigners,0.008
encouraging,0.007
one,0.092
mcguireonfire,0.008
vote,0.0
message,0.007
story,0.018
leading,0.006
anyone,0.007
drool,0.007
recent,0.007
beard,0.04
nobody,0.005
sarkozy,0.007
misslilysummers,0.008
msfreakinrosie,0.001
haven,0.005
immigrants,0.001
dtfxzpu,0.007
iron,0.091
6th,0.01
boudica,0.273
simonmundie,0.002
schrodingers,0.008
wakes,0.008
ages,0.0
halal,0.013
samesexmarriage,0.004
tells,0.034
wilson,0.024
scotland,0.033
anglo,0.078
fxn,0.007
