Term,Value
suicidal,0.002
hordes,0.001
child,0.004
crisisgrexit,0.002
skynews,0.007
holyrood,0.002
chaos,0.001
asian,0.002
hanging,0.006
john_holtke,0.011
erexit,0.001
saved,0.005
forget,0.002
votes,0.005
janimine,0.001
poorest,0.005
inlike,0.001
voted,0.004
whatsoever,0.005
bethrigby,0.005
sorry,0.004
765106024957214720,0.003
regrets,0.004
sinking,0.002
void,0.003
rise,0.001
jacob,0.005
bringing,0.005
believed,0.001
school,0.002
cause,0.003
solution,0.006
296,0.001
heading,0.004
kevinpbreslin,0.002
voteleave,0.006
744109418904584192,0.002
leaders,0.002
warns,0.002
withorpe,0.009
271,0.001
second,0.001
street,0.004
chris_meloni,0.004
cymroalba,0.003
even,0.004
brexit,0.018
oldest,0.001
incompatible,0.002
1vnxyl0,0.001
reasoning,0.002
nyt,0.001
new,0.004
net,0.001
ever,0.002
mogg,0.005
told,0.003
centric,0.005
meb,0.004
never,0.009
reported,0.001
whatthehellareyoutalkingabout,0.001
path,0.002
olsson,0.015
vikings,0.001
bagati,0.006
changed,0.002
military,0.002
heatherwheeler,0.003
punishment,0.005
shithappens,0.017
golden,0.002
divide,0.005
campaign,0.002
brought,0.005
pdsutherlandun,0.002
opportunities,0.003
embarrass,0.005
total,0.003
forums,0.002
spoke,0.001
theordinaryman2,0.001
army,0.001
achieve,0.004
chooses,0.001
kneepads,0.001
call,0.002
telegraph,0.005
spike,0.005
rationalism,0.003
tell,0.004
1000,0.001
expat,0.001
supporters,0.001
successful,0.002
brings,0.004
wars,0.001
adrianople,0.002
warn,0.002
mansplains,0.001
teaching,0.002
must,0.004
word,0.002
room,0.003
rights,0.005
plunged,0.001
ere,0.002
era,0.002
transparency,0.001
example,0.002
give,0.004
dragons,0.001
want,0.01
christianvoice,0.002
times,0.004
oppressing,0.002
end,0.004
thing,0.005
egyptian,0.002
trsresearch,0.001
machine,0.005
s030544031300023x,0.001
stupidity,0.005
neveragain,0.005
interview,0.001
place,0.006
ancestor,0.002
michelledewbs,0.002
mess,0.005
assimilated,0.002
earlier,0.001
wrong,0.013
sturdywendy,0.001
lay,0.002
president,0.004
pdf,0.002
types,0.005
thesun,0.004
attempt,0.001
third,0.001
revolt,0.004
descends,0.001
1lv7wv,0.002
greek,0.001
ianjarmaine,0.001
sucessor,0.002
bodgit_bendit,0.02
order,0.002
grassrootsout,0.005
wine,0.001
danhannanmep,0.002
tricked,0.002
whizzing,0.001
london,0.005
keyboard,0.005
meteors,0.001
nyti,0.001
globalpulsemag,0.003
brits,0.005
notoeu,0.004
writing,0.001
better,0.004
wales,0.004
weeks,0.004
overcome,0.002
eventually,0.001
lambert,0.007
safe,0.001
jenit,0.002
heaven,0.002
sixteen,0.001
bank,0.005
bread,0.001
germanic,0.002
swancom74,0.002
hadrains,0.001
victory,0.002
mantheaume,0.006
went,0.002
side,0.002
luck,0.005
