Term,Value
suicidal,0.002
hordes,0.002
child,0.003
crisisgrexit,0.002
skynews,0.006
holyrood,0.002
asian,0.002
hanging,0.006
john_holtke,0.022
oldest,0.002
saved,0.003
forget,0.001
votes,0.003
janimine,0.002
poorest,0.004
inlike,0.001
voted,0.004
whatsoever,0.005
bethrigby,0.004
sorry,0.005
765106024957214720,0.003
regrets,0.007
sinking,0.002
void,0.001
rise,0.002
jacob,0.004
bringing,0.008
school,0.001
ref,0.001
solution,0.005
296,0.001
shows,0.002
heading,0.004
kevinpbreslin,0.002
enjoy,0.005
744109418904584192,0.002
leaders,0.002
warns,0.001
goth,0.001
271,0.002
second,0.002
street,0.004
chris_meloni,0.004
cymroalba,0.004
even,0.005
brexit,0.024
erexit,0.002
326577,0.001
incompatible,0.002
1vnxyl0,0.002
victoriapeckham,0.001
nyt,0.002
new,0.007
net,0.001
ever,0.001
mogg,0.004
told,0.004
centric,0.004
meb,0.012
men,0.019
reported,0.001
whatthehellareyoutalkingabout,0.001
fuck,0.002
path,0.002
olsson,0.021
vikings,0.002
k,0.004
changed,0.001
military,0.002
heatherwheeler,0.002
punishment,0.005
shithappens,0.011
golden,0.002
divide,0.003
campaign,0.003
29hdktr,0.001
brought,0.003
pdsutherlandun,0.002
opportunities,0.001
nolahoubear,0.001
total,0.003
forums,0.001
spoke,0.001
theordinaryman2,0.002
army,0.002
coins,0.001
reemergence,0.001
kneepads,0.001
call,0.002
telegraph,0.005
spike,0.004
rationalism,0.004
tell,0.006
1000,0.001
dumped,0.009
supporters,0.001
successful,0.002
brings,0.004
wars,0.002
adrianople,0.003
warn,0.002
mansplains,0.001
teaching,0.001
must,0.005
word,0.002
room,0.004
rights,0.005
plunged,0.002
ere,0.001
era,0.001
ms,0.001
example,0.002
give,0.005
550,0.002
dragons,0.002
want,0.016
christianvoice,0.002
david,0.003
oppressing,0.001
end,0.008
thing,0.005
egyptian,0.001
trsresearch,0.001
machine,0.004
s030544031300023x,0.002
stupidity,0.003
neveragain,0.006
interview,0.003
place,0.006
ancestor,0.001
michelledewbs,0.002
mess,0.004
assimilated,0.002
earlier,0.002
wrong,0.017
sturdywendy,0.002
lay,0.002
president,0.005
disagree,0.004
types,0.004
thesun,0.005
attempt,0.001
third,0.002
revolt,0.006
descends,0.002
1lv7wv,0.002
berlusconi,0.005
sucessor,0.002
bodgit_bendit,0.009
order,0.002
grassrootsout,0.005
foetal,0.004
danhannanmep,0.002
tricked,0.001
whizzing,0.002
london,0.005
keyboard,0.004
andrea,0.005
belonged,0.001
nyti,0.001
globalpulsemag,0.001
intelligentsia,0.003
writing,0.001
destroyed,0.002
wales,0.005
weeks,0.005
overcome,0.001
eventually,0.002
lambert,0.004
safe,0.002
jenit,0.002
break,0.002
heaven,0.001
sixteen,0.002
bank,0.004
bread,0.002
germanic,0.002
govuk,0.002
swancom74,0.003
hadrains,0.001
victory,0.002
mantheaume,0.004
went,0.001
side,0.001
mean,0.004
suzanneevans1,0.006
financial,0.001
skydata,0.001
davidcameron,0.005
milan,0.002
jouster,0.005
maniacs,0.02
sounds,0.002
richardlander,0.001
rt,0.002
reminding,0.003
goo,0.002
god,0.001
revolting,0.004
re,0.007
daniel,0.002
got,0.005
foxbusiness,0.004
gov,0.005
independence,0.005
abbott,0.002
turning,0.004
written,0.002
veto,0.001
rustyrockets,0.001
little,0.015
free,0.005
boosting,0.001
wanted,0.004
r4,0.001
refugee,0.005
days,0.005
ati,0.004
isn,0.002
garlic,0.001
onto,0.006
voteleave,0.004
duplicitous,0.005
appeals,0.001
nigel,0.004
leaveeuofficial,0.001
matteorenzi,0.005
another,0.001
wasn,0.005
allectus,0.002
ten,0.002
hitchens,0.001
top,0.013
historian,0.002
bitcoin,0.005
tot,0.005
hist100b1,0.002
needed,0.001
confirming,0.001
ton,0.005
213990,0.006
hollywood,0.001
john,0.001
bitter,0.002
grexit,0.005
calexit,0.005
owensmith_mp,0.001
collapse,0.002
villages,0.018
took,0.005
tabloids,0.004
western,0.002
symptom,0.002
spoiler,0.002
bloated,0.002
immigrants,0.002
scenes,0.006
nations,0.002
project,0.019
matter,0.01
brexit0rremain,0.005
2ekpbqq,0.001
iron,0.025
thewerelizard,0.001
boudica,0.002
feeling,0.002
bridge,0.004
palace,0.001
modern,0.004
mind,0.005
nicolasturgeon,0.003
migrantcrisis,0.001
raw,0.005
lbc,0.002
seen,0.001
telegraphnews,0.006
tells,0.001
forced,0.001
responsible,0.002
1960,0.005
isolated,0.005
merichio,0.001
fitting,0.001
rome,0.002
tintagel,0.002
decadence,0.002
hun,0.001
empireand,0.002
blue,0.001
cymbeline,0.002
pdpgb,0.001
fencing,0.003
regular,0.001
germany,0.005
don,0.006
classicist,0.001
professor,0.002
m,0.007
treaty,0.002
leaflet,0.002
diabetesuk,0.001
28j0gwc,0.002
definitely,0.002
tech,0.004
kinglouisxvi,0.005
dos,0.002
voting,0.002
came,0.002
saying,0.002
breitbartnews,0.006
inspire,0.005
pope,0.002
rapture,0.002
queen,0.004
radio,0.001
dopey,0.002
tempted,0.001
thirds,0.005
enjoyed,0.002
lessons,0.01
aje4bn,0.001
busy,0.005
countrywhere,0.005
delays,0.001
rich,0.007
pursuing,0.001
folks,0.004
danielalpert,0.005
allardyce,0.004
englishseaside1,0.002
bahrain,0.005
ujgzgp,0.001
10,0.003
de,0.004
watch,0.005
altogether,0.012
rodneymarsh10,0.002
15,0.004
dr,0.001
jonesier,0.004
dpca6kuqqn,0.002
earn,0.007
lurches,0.002
a7168761,0.002
countries,0.004
anxiously,0.002
twice,0.001
bad,0.005
410,0.002
reviving,0.001
ruins,0.001
secretary,0.006
1fmwlbk,0.003
decides,0.001
disaster,0.004
fascinating,0.002
sturgeon,0.004
depends,0.004
horrendous,0.004
fail,0.001
ttj2tu,0.002
best,0.002
02,0.002
said,0.002
06,0.004
campaigners,0.001
04,0.004
lots,0.007
08,0.005
09,0.004
wikipedia,0.005
stamps,0.012
unable,0.001
olympics,0.002
hopefully,0.001
tolerance,0.004
discipline,0.002
lazy,0.005
never,0.013
terms,0.002
parallels,0.001
omd,0.006
tehnocrati,0.003
jk_rowling,0.001
ignorance,0.006
ws,0.001
wtf,0.004
news,0.001
debt,0.001
overestimated,0.005
climate,0.005
erdogan,0.005
cox,0.004
uncertainty,0.002
pitt,0.001
demanded,0.012
bbcradio4,0.002
colloquium,0.004
faces,0.005
com,0.018
healthuever,0.006
presumably,0.004
libdempress,0.005
archaeology_uos,0.001
irresponsible,0.002
2nd,0.002
tony,0.002
globalists,0.001
stw,0.001
100,0.005
hitler,0.001
utm_campaign,0.005
union,0.005
takecontrol,0.001
michaelpdeacon,0.001
much,0.004
destabilises,0.002
expected,0.001
topics,0.002
plateau,0.002
life,0.003
families,0.005
5k,0.005
eastern,0.001
glomarresponder,0.001
nexit,0.006
hoist,0.004
doubts,0.005
worked,0.001
east,0.004
746024042361196544,0.001
presidency,0.005
medievalacademy,0.005
n,0.007
aim,0.001
near,0.001
ain,0.002
suppose,0.001
teachers,0.002
thebhf,0.001
leaves,0.002
mistake,0.002
played,0.002
ditching,0.005
expat,0.003
defeated,0.004
experts,0.005
il,0.002
march,0.002
britscanbedumbtoo,0.001
ie,0.004
id,0.014
steve_sedgwick,0.002
grown,0.001
things,0.004
make,0.005
linked,0.002
complex,0.003
split,0.001
colonies,0.005
european,0.004
independent,0.003
welsh,0.002
hand,0.001
fridays,0.003
portal,0.004
recent_news_id,0.002
thoughts,0.004
syrianrefugees,0.001
kept,0.002
scenario,0.004
homerhickam,0.002
1600,0.002
failing,0.001
brexitenemies,0.002
academia,0.004
mother,0.006
claims,0.003
paradigm,0.002
hotch,0.001
rio2016,0.002
left,0.004
unified,0.002
just,0.021
philmconstruct,0.001
aside,0.005
thanks,0.004
human,0.003
facts,0.005
yes,0.004
yet,0.004
adding,0.001
ibpmdu,0.001
hal,0.002
tronc,0.004
candidate,0.004
brexitvote,0.005
collsped,0.002
belongs,0.005
beloved,0.004
save,0.002
humanity,0.003
theeconomist,0.005
gave,0.041
gove,0.002
breaks,0.002
bbcquestiontime,0.002
possible,0.003
arab,0.002
cultural,0.004
govt,0.002
apart,0.001
desire,0.002
50,0.001
steps,0.011
overrated,0.006
night,0.003
ntfem,0.005
uniofyork,0.004
www,0.011
right,0.003
old,0.003
plantagenet,0.004
people,0.004
understand,0.001
successfully,0.002
ironically,0.002
dead,0.004
usher,0.002
election,0.004
escape,0.002
1461057270,0.001
darkages,0.002
rhine,0.002
fascistic,0.002
fox,0.005
stoptheeu,0.002
everything,0.002
cnn,0.002
uglyhonest,0.001
christmas,0.007
2etw8rf,0.001
core,0.002
pls,0.005
fvdemocratie,0.002
post,0.015
