Term,Value
strawa,0.003
communitiesuk,0.017
hordes,0.038
leejasper,0.004
beachthistle,0.007
holyrood,0.01
four,0.008
hanging,0.01
diisgrace,0.006
localized,0.011
marching,0.009
dunleavy138,0.01
ukelections2015,0.006
pardon,0.012
ecominimalnick,0.013
stevesurrey1,0.005
cole_davesc66,0.002
lord,0.008
sinking,0.003
regional,0.0
amieyoung_x,0.008
pigment,0.01
forties,0.006
bringing,0.011
enddate,0.002
scholar,0.01
wooden,0.004
clientele,0.001
commenter,0.023
patrickwintour,0.002
smethwick,0.003
chalupatime,0.013
katiecelf,0.006
hague,0.008
zzzzzz,0.005
charter,0.007
utm_hp_ref,0.007
specially,0.006
bbqt,0.034
bacon,0.011
second,0.01
autonomous_mind,0.007
feck,0.006
bbcqt,0.017
brexit,0.026
jonteinspain,0.011
casumptious,0.012
skynewsbreak,0.001
sheenmate,0.002
chieftans,0.018
fossil,0.002
scottishlabour,0.017
scottishreferendum,0.002
jackcapron,0.007
ohbrokenbritain,0.028
hero,0.01
splinter,0.008
brainwashed,0.008
lgbt,0.01
china,0.013
cult,0.01
affiliated,0.017
shriek,0.006
mickzippy,0.009
realclimatescience,0.001
cyclical,0.009
kids,0.029
kaltesonne,0.003
k,0.011
davidisky,0.0
reports,0.015
transfixed,0.008
military,0.008
bbcone,0.008
cancellation,0.002
criticism,0.006
golden,0.009
divide,0.005
criticise,0.001
loudoun,0.005
norse,0.009
replace,0.008
foodbanks,0.007
classicfail,0.005
unis,0.004
unit,0.001
mote,0.008
dna,0.005
spoke,0.001
aidan_celtic,0.006
music,0.012
telegraph,0.035
passport,0.017
e2,0.01
owen,0.009
holy,0.035
relax,0.011
successful,0.001
brings,0.003
0aqfxwm,0.003
codalmighty,0.006
90,0.009
93,0.006
hold,0.016
sarahhemyukip,0.009
britfirst,0.003
morally,0.01
locked,0.011
pursue,0.011
plunged,0.033
rkzins_8hfo,0.017
revenues,0.007
example,0.013
richardhilton1,0.002
grumpydenier,0.003
protestants,0.003
household,0.006
dragons,0.01
currency,0.0
bbcnew,0.011
want,0.032
absolute,0.011
lobbycomm,0.001
hoc,0.012
worldview,0.01
hehehehehe,0.006
complaining,0.007
travel,0.011
damage,0.012
antiracismday,0.012
machine,0.006
preferable,0.005
salmond,0.006
bbcdouglasf,0.008
renounced,0.011
jamesvondoom,0.007
outlawed,0.013
shores,0.014
wrong,0.017
junkscience,0.004
gsdlady2,0.008
shocker38,0.006
types,0.011
typer,0.006
_deanwilson94,0.007
eyers,0.011
occasions,0.006
paullewismoney,0.015
wins,0.013
fictional,0.002
keeps,0.006
p4ljta,0.004
democratic,0.009
wing,0.008
wind,0.01
senators,0.011
angelahaggerty,0.008
welcomed,0.015
govern,0.006
chriscox69,0.007
continentals,0.003
luisbaram,0.003
jackbrosnan_,0.004
eddieizzard,0.014
luke_e_boy,0.008
fit,0.009
screaming,0.005
10153212_233154013546003_3162180114676654568_n,0.006
discourse,0.003
deeneking,0.005
wales,0.025
hidden,0.003
virtually,0.008
schools,0.015
silver,0.007
xfactor2014,0.007
represents,0.008
diarmidm,0.006
queues,0.005
barton,0.007
arron,0.009
crops,0.004
addicted,0.001
volcano,0.007
ronkabet,0.009
financial,0.009
snakes,0.014
knockout,0.014
allah,0.012
turnip,0.0
fortnight,0.005
berkshireip,0.001
2day,0.005
cathedral,0.005
whit,0.003
ring,0.009
whip,0.003
rt,0.019
rw,0.007
23c8my7,0.009
rs,0.002
markbtuk,0.006
richardlion2,0.001
re,0.034
encourage,0.009
adapt,0.005
27115043,0.006
dogwhistle,0.007
foundation,0.004
hillaryclinton,0.007
sellout,0.006
paullarkin74,0.006
threatened,0.007
medieval_things,0.002
farageget,0.002
rspca,0.012
allison00812810,0.001
7ekuqhw7b,0.013
redhair,0.006
ate,0.008
ndls61,0.005
heading,0.003
1970s,0.001
repealed,0.012
rabid,0.004
landlords,0.014
peterthomas410,0.013
nigel,0.035
steroids,0.013
reintroduced,0.007
wasn,0.012
remotely,0.003
sutherland,0.008
jamesmcleary,0.006
cmidgley1988,0.005
blazespage,0.006
xii,0.001
tired,0.008
needed,0.015
boston_rabbit,0.004
xit,0.004
_lilykins,0.011
recent,0.018
bitter,0.006
steven_woolfe,0.011
listen,0.009
danish,0.006
alecoscino,0.01
collapse,0.001
kno,0.005
hell_yes,0.004
wisdom,0.007
chairwoman,0.009
channel4,0.003
darkies,0.005
positively,0.007
195dal,0.008
trek,0.005
peril,0.002
