Term,Value
strawa,0.006
communitiesuk,0.012
hordes,0.026
leejasper,0.003
beachthistle,0.008
holyrood,0.012
four,0.01
hanging,0.016
diisgrace,0.006
localized,0.01
marching,0.01
dunleavy138,0.008
ukelections2015,0.008
augustine,0.009
ecominimalnick,0.013
stevesurrey1,0.004
cole_davesc66,0.002
lord,0.011
sinking,0.003
regional,0.002
trojan,0.012
pigment,0.009
forties,0.007
bringing,0.013
enddate,0.001
scholar,0.009
wooden,0.003
clientele,0.001
commenter,0.026
patrickwintour,0.001
smethwick,0.004
chalupatime,0.012
katiecelf,0.004
hague,0.006
zzzzzz,0.006
charter,0.008
utm_hp_ref,0.008
specially,0.008
bbqt,0.028
bacon,0.009
second,0.012
autonomous_mind,0.009
feck,0.008
bbcqt,0.02
brexit,0.026
jonteinspain,0.011
casumptious,0.01
skynewsbreak,0.002
sheenmate,0.001
chieftans,0.015
fossil,0.004
scottishlabour,0.021
scottishreferendum,0.003
jackcapron,0.006
ohbrokenbritain,0.031
hero,0.011
splinter,0.01
brainwashed,0.007
lgbt,0.013
china,0.009
cult,0.009
affiliated,0.01
shriek,0.007
mickzippy,0.008
cyclical,0.008
kids,0.026
kaltesonne,0.003
k,0.015
davidisky,0.002
reports,0.012
transfixed,0.008
military,0.009
bbcone,0.009
cancellation,0.003
criticism,0.009
golden,0.01
divide,0.005
criticise,0.0
loudoun,0.006
norse,0.005
replace,0.006
foodbanks,0.007
classicfail,0.008
unis,0.001
hoping,0.008
dna,0.005
spoke,0.002
aidan_celtic,0.008
music,0.011
telegraph,0.034
passport,0.013
e2,0.011
pstani,0.009
holy,0.042
relax,0.015
brings,0.005
0aqfxwm,0.001
codalmighty,0.006
90,0.008
93,0.01
hold,0.018
sarahhemyukip,0.01
britfirst,0.002
morally,0.011
locked,0.008
pursue,0.008
famed,0.002
plunged,0.031
rkzins_8hfo,0.015
revenues,0.007
example,0.013
richardhilton1,0.001
grumpydenier,0.006
protestants,0.004
household,0.007
dragons,0.009
currency,0.001
bbcnew,0.012
want,0.037
absolute,0.013
hoc,0.01
worldview,0.007
hehehehehe,0.007
complaining,0.005
travel,0.01
damage,0.012
antiracismday,0.012
machine,0.004
preferable,0.005
salmond,0.009
bbcdouglasf,0.007
statement_on_paris_shooting,0.009
jamesvondoom,0.007
outlawed,0.012
shores,0.013
wrong,0.018
junkscience,0.004
gsdlady2,0.012
shocker38,0.008
types,0.013
ukipscum,0.009
_deanwilson94,0.006
eyers,0.009
occasions,0.003
paullewismoney,0.015
wins,0.015
fictional,0.003
keeps,0.007
p4ljta,0.003
democratic,0.01
wing,0.008
wind,0.01
senators,0.01
angelahaggerty,0.006
welcomed,0.017
confederate,0.008
chriscox69,0.009
continentals,0.003
luisbaram,0.004
jackbrosnan_,0.005
eddieizzard,0.014
luke_e_boy,0.007
fit,0.008
screaming,0.006
10153212_233154013546003_3162180114676654568_n,0.004
discourse,0.003
deeneking,0.005
wales,0.022
hidden,0.005
virtually,0.005
lukebozier,0.001
schools,0.014
silver,0.011
xfactor2014,0.005
represents,0.007
diarmidm,0.005
queues,0.004
barton,0.009
arron,0.001
crops,0.005
addicted,0.001
volcano,0.008
ronkabet,0.006
financial,0.012
snakes,0.015
knockout,0.015
allah,0.009
turnip,0.003
fortnight,0.006
jimtduffy,0.003
2day,0.009
cathedral,0.006
whit,0.004
ring,0.008
whip,0.003
rt,0.021
trending,0.005
23c8my7,0.007
rs,0.006
markbtuk,0.005
richardlion2,0.002
re,0.038
encourage,0.007
adapt,0.007
27115043,0.006
dogwhistle,0.006
foundation,0.009
hillaryclinton,0.009
sellout,0.008
paullarkin74,0.006
threatened,0.007
medieval_things,0.004
farageget,0.004
rspca,0.012
allison00812810,0.001
7ekuqhw7b,0.01
redhair,0.01
ate,0.008
ndls61,0.005
heading,0.004
1970s,0.003
repealed,0.007
rabid,0.002
landlords,0.01
peterthomas410,0.013
nigel,0.036
steroids,0.014
reintroduced,0.012
wasn,0.009
remotely,0.004
sutherland,0.008
jamesmcleary,0.005
cmidgley1988,0.01
blazespage,0.009
xii,0.001
tired,0.009
needed,0.018
boston_rabbit,0.004
xit,0.003
_lilykins,0.01
recent,0.017
bitter,0.009
steven_woolfe,0.014
listen,0.011
danish,0.01
alecoscino,0.011
collapse,0.001
kno,0.005
hell_yes,0.004
wisdom,0.007
chairwoman,0.005
channel4,0.005
darkies,0.002
positively,0.006
195dal,0.008
trek,0.004
peril,0.004
showed,0.016
coward,0.013
tree,0.007
10x,0.002
dtfxzpu,0.005
nations,0.027
project,0.016
endure,0.007
boudica,0.092
charted,0.007
feeling,0.007
1zafmow,0.013
redesigned,0.003
esto,0.001
1fxcbdm,0.008
concrete,0.003
paramedics,0.002
responsible,0.01
haste,0.008
causing,0.009
absorbed,0.008
ukipfail,0.007
pander,0.002
witney,0.012
shall,0.012
diminishing,0.007
swiss,0.014
mouth,0.008
letter,0.008
entry,0.002
majo,0.008
episode,0.005
2emuouszi,0.012
fajnyjames,0.01
camp,0.011
twickenham,0.013
independents,0.0
flagellants,0.001
lpg,0.01
camb,0.002
came,0.013
saying,0.016
fuckers,0.0
plagues,0.002
sexist,0.002
morningstaronline,0.015
darmz7,0.005
sexism,0.002
callumringer_,0.01
tempted,0.009
clock,0.003
lessons,0.016
busy,0.013
sandwellleader,0.007
scmpsocialnewsfeed,0.005
ment,0.006
cousins,0.006
warmongering,0.014
safadreamer,0.002
rich,0.011
milton,0.0
1qto55c,0.009
kraljski,0.006
lmao,0.007
mrdatch,0.024
lurches,0.015
greens,0.031
nicely,0.009
pigtowngrump,0.004
paedophiles,0.011
patch,0.009
debatingfools,0.015
cull,0.01
traverse,0.001
disaster,0.005
fair,0.015
branding,0.006
result,0.013
fail,0.016
syriapakistanindiamalaysiairaqiran,0.015
resigned,0.008
best,0.014
patronsaintofca,0.004
campaigners,0.011
scotlibdems,0.007
lots,0.007
wikipedia,0.014
1pqswgm,0.008
romanscharlemagne,0.005
ira,0.007
foi_in_ukip,0.004
migrantnation,0.007
glasgow,0.008
preserve,0.011
men,0.013
parallels,0.008
nationwide,0.009
nature,0.011
rolled,0.006
mei,0.002
jack0byte,0.006
ian_fraser,0.007
extent,0.007
roller,0.007
pity,0.005
outcome,0.007
sacrificing,0.013
fallacious,0.016
drmoragkerr,0.006
demanded,0.015
planned,0.008
normandy,0.01
logic,0.009
wipeout,0.007
argue,0.009
asked,0.007
eradicate,0.007
calibre,0.011
telbo5000,0.011
basque,0.016
blonde,0.009
raith,0.008
shouting,0.005
union,0.022
fri,0.008
michaelpdeacon,0.005
frm,0.008
advert,0.008
ckuka,0.006
much,0.025
fecking,0.026
jackass,0.002
deportations,0.009
socialflow_twitter,0.001
life,0.014
spit,0.01
eastern,0.006
worker,0.011
places,0.002
sycophants,0.003
culling,0.008
child,0.013
25s,0.009
worked,0.008
doth,0.008
cunt,0.007
diverted,0.008
isabeloakeshott,0.006
bcalderwood23,0.007
1jar3,0.011
viii,0.001
athanaseus,0.012
flooding,0.007
ladyreynolds34,0.011
ridiculously,0.004
surprises,0.004
nuttalls,0.012
anticipating,0.008
campaigning,0.006
trusted,0.004
things,0.018
rebellion,0.006
split,0.009
babies,0.01
paedo,0.007
european,0.019
plonker,0.008
fairly,0.007
louisemensch,0.009
louenglefield,0.004
pitchforks,0.001
purpleplotters,0.0
lydlqv,0.007
reissdjo,0.007
tune,0.019
fabricant,0.006
1rlzdre,0.015
eddiesurfs,0.016
academia,0.005
demindblower,0.002
echoes,0.001
petewishart,0.007
meriam,0.011
its2014,0.001
terrorist,0.008
cumbria,0.01
birmingham,0.013
flaggelant,0.002
gretna,0.008
sandracub,0.007
ham,0.006
holyromanempire,0.006
bnp,0.025
hay,0.007
innocent,0.01
prison,0.002
east,0.027
espoused,0.008
hav,0.009
ukipcastlepoint,0.011
groat,0.002
possible,0.012
possibly,0.008
lachiemor1,0.008
indicative,0.005
mrdavidwhitley,0.01
birth,0.008
shadow,0.017
unique,0.002
desire,0.009
brought,0.004
kingskroinkie,0.015
sliiting,0.008
remind,0.009
steps,0.009
andrewoathy,0.001
ideaa,0.001
bonkers,0.004
