Term,Value
logic,0.01
wipeout,0.007
argue,0.008
asked,0.005
eradicate,0.008
calibre,0.007
telbo5000,0.01
basque,0.014
blonde,0.009
raith,0.007
shouting,0.005
union,0.021
fri,0.009
michaelpdeacon,0.003
frm,0.009
advert,0.009
ckuka,0.007
much,0.026
fecking,0.031
jackass,0.002
deportations,0.007
socialflow_twitter,0.001
life,0.014
spit,0.011
eastern,0.007
worker,0.012
places,0.002
sycophants,0.004
culling,0.008
child,0.01
25s,0.007
worked,0.01
doth,0.011
cunt,0.006
diverted,0.006
isabeloakeshott,0.005
bcalderwood23,0.008
1jar3,0.009
viii,0.002
athanaseus,0.011
flooding,0.008
ladyreynolds34,0.009
ridiculously,0.003
surprises,0.006
nuttalls,0.012
anticipating,0.007
campaigning,0.005
trusted,0.006
things,0.014
rebellion,0.008
split,0.008
babies,0.008
paedo,0.009
european,0.018
plonker,0.009
markydeedrop,0.012
louisemensch,0.011
louenglefield,0.004
pitchforks,0.001
purpleplotters,0.002
jaimehta,0.002
lydlqv,0.005
reissdjo,0.007
tune,0.018
fabricant,0.007
matters,0.006
eddiesurfs,0.011
academia,0.004
demindblower,0.004
echoes,0.001
petewishart,0.004
opinions,0.0
its2014,0.001
terrorist,0.006
cumbria,0.006
birmingham,0.013
flaggelant,0.001
gretna,0.008
sandracub,0.008
ham,0.011
holyromanempire,0.006
bnp,0.022
hay,0.012
innocent,0.007
prison,0.003
east,0.028
espoused,0.006
hav,0.005
ukipcastlepoint,0.01
groat,0.002
possible,0.01
possibly,0.006
lachiemor1,0.004
indicative,0.01
mrdavidwhitley,0.004
birth,0.01
shadow,0.018
hamas,0.001
desire,0.011
brought,0.0
kingskroinkie,0.015
sliiting,0.011
remind,0.01
steps,0.009
andrewoathy,0.002
ideaa,0.0
bonkers,0.002
right,0.024
old,0.012
crowd,0.011
people,0.032
czech,0.011
uuponline,0.008
ooooo,0.004
willdefens,0.002
sure,0.015
countytimes,0.003
serialsockthief,0.007
creep,0.001
bringbackhanging,0.011
attendees,0.008
fox,0.017
individuals,0.001
periphery,0.007
mabionglyndwr,0.005
varicose,0.002
nwbrux,0.008
templarinfidel,0.004
lefty,0.016
hmtreasury,0.013
oliverjamesuk,0.002
alexandra,0.004
losing,0.013
toryshorty,0.006
exploitiation,0.012
bigpoppatotoro,0.007
benches,0.003
citizens,0.005
o,0.009
despair,0.002
stoked,0.004
ukipdaily,0.01
slightly,0.005
bath,0.007
consulting,0.004
sod,0.014
1531879,0.013
sol,0.014
son,0.013
presenters,0.008
breadandcircuses,0.002
sov,0.009
blueliberal1,0.017
carlachamorros,0.001
poss,0.002
foothold,0.004
support,0.041
constantly,0.001
raped,0.014
joseph,0.007
wordpress,0.012
jeremylefroymp,0.013
thingsscotlandhas,0.008
celtic_scotland,0.008
_tomflan1888,0.007
journo,0.011
offer,0.012
oil,0.009
jakearmistead,0.005
davidsigsworth,0.002
simon_ukip,0.009
congratulations,0.026
dontvotescumshovethevoteupukipsbum,0.003
michaelrosenblog,0.01
medway,0.003
inside,0.011
paulturner2012,0.012
vanguard,0.006
rerum,0.003
smashed,0.015
stopsharia,0.014
passenger,0.007
later,0.024
