Term,Value
strawa,0.004
communitiesuk,0.015
hordes,0.033
leejasper,0.003
beachthistle,0.007
holyrood,0.007
four,0.006
hanging,0.014
diisgrace,0.008
localized,0.013
marching,0.01
dunleavy138,0.007
ukelections2015,0.007
augustine,0.006
ecominimalnick,0.014
stevesurrey1,0.006
cole_davesc66,0.001
lord,0.01
sinking,0.004
regional,0.001
bile,0.009
pigment,0.008
forties,0.008
bringing,0.01
enddate,0.002
scholar,0.01
wooden,0.001
clientele,0.002
commenter,0.029
patrickwintour,0.001
smethwick,0.004
chalupatime,0.012
katiecelf,0.004
hague,0.007
zzzzzz,0.004
charter,0.007
utm_hp_ref,0.007
specially,0.004
bbqt,0.024
bacon,0.01
second,0.01
autonomous_mind,0.008
feck,0.008
bbcqt,0.017
brexit,0.021
jonteinspain,0.01
casumptious,0.011
skynewsbreak,0.004
sheenmate,0.002
chieftans,0.013
fossil,0.005
scottishlabour,0.018
scottishreferendum,0.002
jackcapron,0.007
ohbrokenbritain,0.03
hero,0.007
splinter,0.009
brainwashed,0.005
lgbt,0.014
china,0.014
cult,0.007
affiliated,0.015
shriek,0.009
mickzippy,0.006
realclimatescience,0.001
cyclical,0.009
kids,0.026
kaltesonne,0.001
k,0.014
davidisky,0.003
reports,0.01
transfixed,0.008
military,0.01
bbcone,0.008
cancellation,0.001
criticism,0.007
golden,0.011
divide,0.006
criticise,0.002
loudoun,0.008
norse,0.009
replace,0.006
foodbanks,0.009
classicfail,0.007
unis,0.003
unit,0.001
mote,0.009
dna,0.007
spoke,0.003
aidan_celtic,0.008
music,0.009
telegraph,0.03
passport,0.014
e2,0.011
owen,0.007
holy,0.038
relax,0.016
successful,0.003
brings,0.006
0aqfxwm,0.003
codalmighty,0.005
90,0.004
93,0.008
hold,0.016
sarahhemyukip,0.006
britfirst,0.006
morally,0.01
locked,0.009
pursue,0.01
famed,0.001
plunged,0.027
rkzins_8hfo,0.017
revenues,0.008
example,0.013
richardhilton1,0.003
grumpydenier,0.005
protestants,0.003
household,0.009
dragons,0.012
currency,0.0
bbcnew,0.01
want,0.04
absolute,0.012
poverty,0.01
hoc,0.01
worldview,0.009
hehehehehe,0.007
complaining,0.007
travel,0.011
damage,0.011
antiracismday,0.012
machine,0.003
preferable,0.003
salmond,0.008
bbcdouglasf,0.008
renounced,0.011
jamesvondoom,0.004
outlawed,0.007
shores,0.013
wrong,0.015
junkscience,0.005
gsdlady2,0.011
shocker38,0.008
types,0.011
typer,0.011
_deanwilson94,0.007
eyers,0.008
occasions,0.003
paullewismoney,0.012
wins,0.015
fictional,0.002
keeps,0.003
p4ljta,0.002
democratic,0.009
wing,0.01
wind,0.008
senators,0.008
angelahaggerty,0.008
welcomed,0.011
govern,0.006
chriscox69,0.007
continentals,0.006
luisbaram,0.004
jackbrosnan_,0.001
eddieizzard,0.011
luke_e_boy,0.008
fit,0.012
screaming,0.007
10153212_233154013546003_3162180114676654568_n,0.004
discourse,0.002
deeneking,0.004
wales,0.023
hidden,0.003
jihadis,0.008
lukebozier,0.001
schools,0.012
silver,0.011
xfactor2014,0.007
represents,0.004
diarmidm,0.008
queues,0.004
barton,0.008
arron,0.002
crops,0.005
addicted,0.002
volcano,0.008
ronkabet,0.007
financial,0.014
snakes,0.013
knockout,0.015
allah,0.011
turnip,0.002
fortnight,0.011
berkshireip,0.001
2day,0.009
cathedral,0.008
whit,0.008
ring,0.009
whip,0.001
rt,0.019
rw,0.005
23c8my7,0.008
rs,0.004
markbtuk,0.005
richardlion2,0.001
re,0.041
encourage,0.011
adapt,0.002
27115043,0.007
dogwhistle,0.006
foundation,0.007
hillaryclinton,0.007
sellout,0.006
paullarkin74,0.005
threatened,0.01
medieval_things,0.002
farageget,0.003
rspca,0.009
allison00812810,0.001
7ekuqhw7b,0.01
redhair,0.008
ate,0.005
ndls61,0.005
heading,0.004
1970s,0.0
repealed,0.011
rabid,0.003
landlords,0.013
peterthomas410,0.012
nigel,0.035
steroids,0.016
reintroduced,0.01
wasn,0.013
remotely,0.003
sutherland,0.008
jamesmcleary,0.009
cmidgley1988,0.006
blazespage,0.005
xii,0.001
tired,0.006
needed,0.015
boston_rabbit,0.003
xit,0.004
_lilykins,0.008
euro,0.022
bitter,0.006
steven_woolfe,0.016
listen,0.006
danish,0.012
alecoscino,0.01
collapse,0.001
kno,0.005
hell_yes,0.005
wisdom,0.007
chairwoman,0.008
channel4,0.005
darkies,0.005
positively,0.007
195dal,0.01
trek,0.003
peril,0.005
showed,0.015
coward,0.013
tree,0.009
10x,0.001
dtfxzpu,0.005
nations,0.03
project,0.014
endure,0.007
boudica,0.067
charted,0.008
feeling,0.008
1zafmow,0.011
redesigned,0.0
esto,0.001
1fxcbdm,0.006
concrete,0.004
responsible,0.011
causing,0.009
absorbed,0.003
ukipfail,0.001
pander,0.001
witney,0.011
shall,0.008
diminishing,0.008
swiss,0.016
mouth,0.008
letter,0.005
entry,0.002
majo,0.006
episode,0.009
2emuouszi,0.012
fajnyjames,0.008
camp,0.007
twickenham,0.012
independents,0.001
flagellants,0.001
lpg,0.014
camb,0.002
came,0.013
saying,0.016
fuckers,0.002
plagues,0.0
sexist,0.004
morningstaronline,0.014
darmz7,0.005
sexism,0.002
callumringer_,0.011
tempted,0.008
clock,0.001
lessons,0.014
busy,0.011
scmpsocialnewsfeed,0.007
ment,0.009
cousins,0.007
warmongering,0.014
safadreamer,0.002
rich,0.009
milton,0.003
1qto55c,0.006
kraljski,0.007
lmao,0.006
mrdatch,0.023
lurches,0.017
greens,0.026
nicely,0.005
pigtowngrump,0.006
paedophiles,0.008
patch,0.008
debatingfools,0.013
cull,0.011
traverse,0.002
disaster,0.008
fair,0.013
branding,0.007
result,0.015
fail,0.017
syriapakistanindiamalaysiairaqiran,0.011
resigned,0.005
best,0.017
markfrance62,0.014
patronsaintofca,0.007
campaigners,0.01
scotlibdems,0.003
lots,0.01
wikipedia,0.015
1pqswgm,0.009
romanscharlemagne,0.005
ira,0.007
foi_in_ukip,0.008
migrantnation,0.006
glasgow,0.004
preserve,0.016
men,0.011
parallels,0.011
nationwide,0.005
nature,0.011
rolled,0.006
mei,0.002
jack0byte,0.004
ian_fraser,0.007
extent,0.01
roller,0.009
pity,0.005
outcome,0.006
sacrificing,0.015
fallacious,0.015
drmoragkerr,0.006
strange,0.014
demanded,0.014
planned,0.008
normandy,0.005
logic,0.013
wipeout,0.009
argue,0.008
asked,0.006
eradicate,0.008
calibre,0.007
telbo5000,0.009
basque,0.015
blonde,0.012
raith,0.008
shouting,0.007
union,0.02
fri,0.008
michaelpdeacon,0.004
frm,0.008
advert,0.01
ckuka,0.007
much,0.022
