Term,Value
gu,0.011
weavervaleukipremfry,0.019
hordes,0.009
fox,0.007
edl,0.008
go,0.023
issues,0.016
vikings,0.014
sharethis,0.009
tw,0.005
0,0.003
voted,0.061
sent,0.02
jasemarkrutter,0.01
far,0.005
hoards,0.016
vegas,0.006
facebook,0.012
mps,0.008
fall,0.012
vote4,0.009
leave,0.015
saudi,0.009
nigelfarage,0.011
5509085,0.004
even,0.008
3x,0.007
celt,0.139
ukip,0.095
prof_phillipson,0.008
new,0.22
body,0.009
simultaneously,0.009
nhaparty,0.012
guardian,0.011
radya,0.007
muslim,0.03
let,0.008
mindset,0.02
hunting,0.058
trumpton_ukip,0.013
inspired,0.008
salutant,0.008
reclaim,0.01
via,0.052
bloods,0.01
suddenly,0.021
bloody,0.012
moral,0.012
crisis,0.003
saxons,0.102
next,0.07
georgegalloway,0.033
clever,0.008
holy,0.134
warm,0.011
julius,0.16
mh,0.007
mk,0.012
can,0.016
ukpoliticssuck,0.006
claim,0.01
admires,0.007
predict,0.009
boycott,0.006
want,0.034
story,0.013
information,0.009
thecornishrep,0.003
travel,0.006
thomaswjones86,0.009
civilisation,0.021
vlad,0.006
snp,0.029
mankini,0.009
monocultura,0.016
typer,0.006
411478,0.009
chapman,0.009
charlemagne,0.099
gerard,0.021
favourites,0.003
counted,0.006
refund,0.006
webpage,0.001
years,0.012
london,0.119
mayor,0.018
islam,0.005
22,0.01
blackbirds,0.007
ll,0.062
181lwff,0.006
better,0.031
reuters,0.004
2015,0.003
wales,0.008
ddim,0.005
tory,0.058
conquest,0.007
elites,0.007
dad,0.019
wouldn,0.004
good,0.044
nod,0.009
indigenous,0.012
uklabour,0.036
front,0.015
now,0.044
rlemkin,0.009
arron,0.014
found,0.03
normans,0.086
ukip_egham,0.033
england,0.093
snakes,0.006
hard,0.0
idea,0.04
eu,0.08
http,0.026
er,0.007
rt,0.011
trumpton_wi,0.002
re,0.056
encourage,0.007
trump2016,0.021
trapezer,0.005
eco,0.009
guess,0.013
romans,0.072
york,0.017
conservatives,0.018
scary,0.132
success,0.009
british,0.007
thackeray,0.009
claudius_p,0.045
isolatedbrit,0.006
think,0.006
first,0.01
nigel,0.005
one,0.057
electedsupporting,0.005
vote,0.007
sounds,0.003
little,0.005
district,0.0
least,0.006
2,0.005
man,0.002
beard,0.012
udp,0.009
northwestukip,0.007
wisdom,0.007
msfreakinrosie,0.001
haven,0.001
11,0.005
dtn,0.004
gotten,0.007
immigrants,0.03
iron,0.089
boudica,0.483
no2eu,0.006
2014,0.006
martel,0.012
ages,0.0
conspiracy,0.009
halal,0.011
border,0.007
tells,0.055
sell,0.016
lie,0.009
wilson,0.025
scotland,0.045
anglo,0.085
caesar,0.09
take,0.027
donor,0.0
invasions,0.0
english,0.06
germany,0.006
rupertmyers,0.006
class,0.006
don,0.034
classicist,0.0
professor,0.007
m,0.005
claudius,0.057
gold,0.01
nigel_farage,0.025
charles,0.012
defended,0.006
drscottthinks,0.016
jane_samuels,0.01
giant,0.006
northern,0.001
writer,0.001
finalised,0.001
going,0.001
roughshod,0.001
al_7aleem,0.006
jailed,0.055
get,0.071
batten,0.021
stop,0.073
arron_banks,0.007
spokesperson,0.029
h,0.039
sacrifices,0.029
barbaric,0.025
hercules,0.006
europe,0.083
sturgeon,0.002
see,0.01
carswell,0.023
expert,0.013
trendolizer,0.009
movie,0.006
review,0.067
colours,0.009
3,0.001
knowing,0.009
intimidated,0.007
news,0.041
rugby,0.023
country,0.005
roman,0.099
com,0.109
co,0.021
period,0.011
bahab2012,0.007
anti,0.011
narcissistic,0.007
dracul,0.012
barry,0.006
political,0.006
mark,0.032
damn,0.01
kowtowing,0.038
mary,0.012
website,0.013
jpsargeant78,0.007
controlled,0.003
bull,0.003
eaters,0.003
intriguing,0.003
stacked,0.003
will,0.046
healthy,0.009
celts,0.108
error,0.003
scum,0.015
investigating,0.01
rename,0.006
century,0.008
middle,0.0
nikolaiwiskoski,0.009
perhaps,0.006
s,0.006
split,0.005
party,0.042
terrorism,0.011
powell,0.009
opensfor,0.0
welsh,0.009
robustly,0.004
evil,0.002
running,0.005
celtic,0.0
mother,0.009
gates,0.078
spastic,0.01
just,0.0
civilized,0.018
mistakes,0.009
thanks,0.063
vigilant,0.006
yes,0.018
death,0.057
bnp,0.006
plunderers,0.003
hates,0.003
viking,0.012
complaint,0.004
dark,0.0
know,0.004
foreigners,0.012
world,0.003
bit,0.0
d,0.023
barbarian,0.326
like,0.029
britishvalues,0.021
55,0.004
trevorchaplin,0.009
t,0.013
www,0.0
right,0.006
people,0.009
tom_celt,0.126
back,0.028
hail,0.006
anglorist,0.006
ysabellestewart,0.006
brits,0.006
empire,0.064
peter,0.025
gareth0108,0.006
robfordmancs,0.022
boadica,0.007
shakespeare,0.006
prog,0.01
leader,0.016
run,0.002
medieval,0.0
slaughter,0.038
refused,0.009
libdems,0.014
post,0.003
exploitiation,0.016
_,0.019
getting,0.007
againsthunting,0.016
barbarians,0.121
ideology,0.047
trinovantes,0.01
afternoon,0.003
labour_celts,0.105
credible,0.002
selfie,0.002
garb,0.006
blessed,0.002
lies,0.007
hotline,0.002
france,0.005
pointless,0.002
delusional,0.003
intervention,0.002
support,0.009
long,0.004
lost,0.005
indoctrinated,0.007
flagdon,0.0
simonmundie,0.002
scotref,0.0
north,0.005
invite,0.0
offer,0.0
atop,0.0
differences,0.0
davidlammy,0.0
referendums,0.009
farage,0.093
his_grace,0.0
trying,0.001
survation,0.007
j,0.01
us,0.01
convince,0.006
uk,0.018
disgrace,0.01
hanseatic,0.012
flush,0.006
scumbags,0.013
britain,0.021
au,0.003
importing,0.017
dannythefink,0.006
islamicstate,0.006
maxkeiser,0.033
paddy,0.016
muslims,0.006
hackney,0.006
mrjamesob,0.016
age,0.062
youtube,0.02
nelson,0.0
time,0.007
