Term,Value
strawa,0.005
communitiesuk,0.016
hordes,0.03
leejasper,0.005
beachthistle,0.006
holyrood,0.005
four,0.005
hanging,0.014
diisgrace,0.01
localized,0.011
marching,0.009
dunleavy138,0.01
ukelections2015,0.008
augustine,0.009
ecominimalnick,0.015
stevesurrey1,0.006
cole_davesc66,0.001
lord,0.011
sinking,0.005
regional,0.0
amieyoung_x,0.007
pigment,0.009
forties,0.008
bringing,0.012
enddate,0.001
scholar,0.008
wooden,0.004
clientele,0.003
commenter,0.029
patrickwintour,0.001
smethwick,0.005
chalupatime,0.014
katiecelf,0.009
hague,0.005
zzzzzz,0.005
charter,0.004
bill,0.012
specially,0.009
bbqt,0.025
bacon,0.009
second,0.008
autonomous_mind,0.011
feck,0.005
bbcqt,0.014
brexit,0.026
jonteinspain,0.011
casumptious,0.014
skynewsbreak,0.002
sheenmate,0.002
chieftans,0.015
fossil,0.004
scottishlabour,0.026
scottishreferendum,0.004
jackcapron,0.008
ohbrokenbritain,0.03
hero,0.012
splinter,0.009
brainwashed,0.008
lgbt,0.011
china,0.012
cult,0.012
affiliated,0.012
shriek,0.006
mickzippy,0.009
realclimatescience,0.002
cyclical,0.007
kids,0.024
kaltesonne,0.002
k,0.013
davidisky,0.003
reports,0.011
transfixed,0.008
military,0.009
bbcone,0.009
cancellation,0.004
criticism,0.007
golden,0.009
divide,0.007
criticise,0.001
loudoun,0.006
norse,0.007
replace,0.008
foodbanks,0.009
classicfail,0.01
unis,0.006
unit,0.001
hoping,0.006
dna,0.005
spoke,0.002
aidan_celtic,0.005
music,0.011
telegraph,0.03
passport,0.015
e2,0.012
owen,0.006
holy,0.036
relax,0.015
successful,0.002
brings,0.005
0aqfxwm,0.002
codalmighty,0.008
90,0.007
93,0.008
hold,0.015
sarahhemyukip,0.007
britfirst,0.004
morally,0.011
locked,0.008
pursue,0.008
famed,0.0
plunged,0.03
rkzins_8hfo,0.013
revenues,0.005
example,0.014
richardhilton1,0.002
grumpydenier,0.003
protestants,0.004
household,0.008
dragons,0.016
currency,0.002
bbcnew,0.008
want,0.032
absolute,0.013
lobbycomm,0.002
hoc,0.008
worldview,0.01
hehehehehe,0.007
complaining,0.005
travel,0.012
damage,0.01
antiracismday,0.012
machine,0.004
preferable,0.004
salmond,0.008
bbcdouglasf,0.007
statement_on_paris_shooting,0.011
