Term,Value
strawa,0.004
communitiesuk,0.014
hordes,0.031
leejasper,0.005
beachthistle,0.006
holyrood,0.008
four,0.01
hanging,0.014
diisgrace,0.006
localized,0.011
marching,0.009
dunleavy138,0.007
ukelections2015,0.008
augustine,0.01
ecominimalnick,0.017
stevesurrey1,0.006
cole_davesc66,0.002
lord,0.009
protestants,0.004
regional,0.001
trojan,0.013
pigment,0.007
forties,0.01
bringing,0.013
enddate,0.002
scholar,0.012
wooden,0.004
clientele,0.001
commenter,0.028
patrickwintour,0.001
smethwick,0.002
chalupatime,0.014
katiecelf,0.01
hague,0.007
zzzzzz,0.004
charter,0.007
utm_hp_ref,0.008
specially,0.007
bbqt,0.024
bacon,0.011
second,0.011
autonomous_mind,0.006
feck,0.007
theory,0.006
brexit,0.026
jonteinspain,0.01
casumptious,0.014
skynewsbreak,0.003
sheenmate,0.001
chieftans,0.014
fossil,0.004
scottishlabour,0.017
scottishreferendum,0.004
jackcapron,0.008
ohbrokenbritain,0.024
hero,0.011
splinter,0.01
brainwashed,0.007
lgbt,0.011
china,0.012
cult,0.009
affiliated,0.012
shriek,0.007
mickzippy,0.009
cyclical,0.008
kids,0.026
kaltesonne,0.001
k,0.013
davidisky,0.002
reports,0.013
transfixed,0.011
military,0.01
bbcone,0.009
cancellation,0.003
criticism,0.005
golden,0.01
divide,0.008
criticise,0.002
loudoun,0.005
norse,0.008
replace,0.007
foodbanks,0.008
classicfail,0.008
unis,0.003
unit,0.001
hoping,0.009
dna,0.007
spoke,0.003
aidan_celtic,0.006
music,0.011
telegraph,0.029
passport,0.013
e2,0.013
pstani,0.008
holy,0.046
relax,0.014
successful,0.003
brings,0.004
0aqfxwm,0.002
99,0.009
90,0.009
93,0.01
hold,0.017
sarahhemyukip,0.008
britfirst,0.005
morally,0.008
locked,0.006
pursue,0.008
famed,0.002
plunged,0.03
rkzins_8hfo,0.012
revenues,0.008
example,0.013
richardhilton1,0.004
grumpydenier,0.003
sinking,0.002
household,0.006
dragons,0.013
currency,0.001
bbcnew,0.01
want,0.034
absolute,0.011
hoc,0.011
worldview,0.008
hehehehehe,0.006
complaining,0.006
travel,0.008
damage,0.009
antiracismday,0.014
machine,0.005
preferable,0.004
salmond,0.01
swine,0.011
statement_on_paris_shooting,0.01
jamesvondoom,0.009
outlawed,0.01
shores,0.012
wrong,0.017
junkscience,0.005
gsdlady2,0.01
shocker38,0.007
types,0.011
ukipscum,0.007
_deanwilson94,0.007
eyers,0.008
occasions,0.002
paullewismoney,0.012
wins,0.016
fictional,0.002
keeps,0.008
p4ljta,0.003
democratic,0.006
wing,0.012
wind,0.012
senators,0.01
angelahaggerty,0.006
welcomed,0.016
govern,0.008
chriscox69,0.01
continentals,0.001
luisbaram,0.004
jackbrosnan_,0.007
luke_e_boy,0.008
fit,0.01
screaming,0.009
10153212_233154013546003_3162180114676654568_n,0.004
discourse,0.003
deeneking,0.006
wales,0.025
hidden,0.003
jihadis,0.011
