Term,Value
suicidal,0.001
hordes,0.002
child,0.005
crisisgrexit,0.001
skynews,0.004
holyrood,0.003
chaos,0.002
asian,0.002
hanging,0.004
john_holtke,0.013
erexit,0.002
saved,0.004
forget,0.001
votes,0.005
poorest,0.006
inlike,0.002
voted,0.005
whatsoever,0.004
bethrigby,0.005
sorry,0.006
765106024957214720,0.005
regrets,0.005
sinking,0.001
void,0.003
rise,0.001
jacob,0.004
bringing,0.004
school,0.001
supports,0.021
solution,0.004
296,0.001
shows,0.001
heading,0.005
kevinpbreslin,0.002
voteleave,0.005
744109418904584192,0.002
leaders,0.001
warns,0.002
goth,0.002
271,0.002
second,0.002
street,0.004
chris_meloni,0.005
bbcqt,0.004
even,0.006
brexit,0.011
oldest,0.002
326577,0.002
incompatible,0.001
1vnxyl0,0.002
reasoning,0.002
nyt,0.002
new,0.004
net,0.001
ever,0.001
mogg,0.005
told,0.005
centric,0.004
meb,0.005
men,0.016
reported,0.001
whatthehellareyoutalkingabout,0.002
path,0.002
olsson,0.012
vikings,0.001
k,0.005
changed,0.001
military,0.005
heatherwheeler,0.001
punishment,0.005
shithappens,0.011
golden,0.002
divide,0.006
campaign,0.002
brought,0.004
pdsutherlandun,0.002
opportunities,0.002
embarrass,0.004
total,0.006
forums,0.001
spoke,0.002
theordinaryman2,0.002
voters,0.004
reemergence,0.002
1930s,0.002
call,0.001
telegraph,0.004
spike,0.005
rationalism,0.004
tell,0.007
dumped,0.005
supporters,0.001
successful,0.001
brings,0.005
wars,0.002
adrianople,0.001
warn,0.002
mansplains,0.001
teaching,0.002
must,0.004
word,0.002
room,0.004
rights,0.004
plunged,0.002
ere,0.001
era,0.002
ms,0.002
example,0.002
give,0.005
550,0.002
dragons,0.001
want,0.01
christianvoice,0.001
times,0.005
oppressing,0.002
end,0.004
turn,0.005
egyptian,0.002
trsresearch,0.001
machine,0.003
s030544031300023x,0.001
stupidity,0.004
neveragain,0.005
interview,0.002
place,0.003
ancestor,0.001
michelledewbs,0.002
funny,0.001
mess,0.004
assimilated,0.001
earlier,0.002
wrong,0.02
sturdywendy,0.001
lay,0.002
president,0.004
types,0.005
thesun,0.005
attempt,0.002
third,0.001
revolt,0.004
descends,0.002
1lv7wv,0.002
greek,0.002
south,0.003
sucessor,0.001
bodgit_bendit,0.014
archaeology,0.002
grassrootsout,0.007
wine,0.001
danhannanmep,0.001
tricked,0.001
whizzing,0.001
london,0.005
keyboard,0.004
andrea,0.004
belonged,0.001
nyti,0.002
globalpulsemag,0.001
notoeu,0.005
writing,0.002
better,0.004
wales,0.004
weeks,0.005
overcome,0.001
eventually,0.002
lambert,0.005
safe,0.002
jenit,0.001
break,0.001
heaven,0.002
sixteen,0.001
bank,0.005
bread,0.001
germanic,0.001
swancom74,0.002
hadrains,0.001
victory,0.002
mantheaume,0.007
went,0.001
side,0.002
luck,0.005
suzanneevans1,0.006
financial,0.002
skydata,0.001
_thegman,0.005
milan,0.002
jouster,0.003
maniacs,0.03
message,0.005
richardlander,0.001
rt,0.001
large,0.001
goo,0.001
god,0.001
revolting,0.004
re,0.004
daniel,0.001
got,0.005
foxbusiness,0.003
gov,0.004
independence,0.004
abbott,0.002
turning,0.005
written,0.002
veto,0.002
rustyrockets,0.001
little,0.019
free,0.007
boosting,0.001
wanted,0.005
r4,0.002
refugee,0.004
days,0.004
ati,0.005
isn,0.001
arrived,0.004
onto,0.005
enjoy,0.003
duplicitous,0.004
already,0.017
nigel,0.003
leaveeuofficial,0.001
matteorenzi,0.004
nhs,0.002
wasn,0.003
allectus,0.002
ten,0.001
service,0.002
top,0.013
historian,0.001
bitcoin,0.005
tot,0.005
hist100b1,0.001
needed,0.001
confirming,0.002
ton,0.004
213990,0.005
hollywood,0.001
john,0.001
bitter,0.001
grexit,0.004
calexit,0.004
owensmith_mp,0.001
collapse,0.001
geemo88,0.003
villages,0.023
took,0.005
tabloids,0.005
western,0.001
symptom,0.001
distance,0.002
bloated,0.001
immigrants,0.003
scenes,0.005
nations,0.001
project,0.013
matter,0.02
brexit0rremain,0.004
speaking,0.004
iron,0.013
thewerelizard,0.002
boudica,0.001
feeling,0.002
bridge,0.005
interestingthe,0.002
palace,0.002
modern,0.004
mind,0.006
nicolasturgeon,0.003
migrantcrisis,0.002
raw,0.004
lbc,0.002
seen,0.002
telegraphnews,0.004
tells,0.002
forced,0.001
responsible,0.002
1960,0.005
isolated,0.007
merichio,0.002
fitting,0.002
rome,0.002
tintagel,0.002
decadence,0.002
hun,0.001
empireand,0.001
blue,0.002
cymbeline,0.002
