Term,Value
suicidal,0.002
hordes,0.002
doubts,0.004
crisisgrexit,0.002
skynews,0.003
holyrood,0.001
chaos,0.001
asian,0.001
hanging,0.004
john_holtke,0.021
erexit,0.002
saved,0.005
forget,0.002
votes,0.003
poorest,0.003
seriously,0.004
voted,0.005
whatsoever,0.003
bethrigby,0.005
sorry,0.004
765106024957214720,0.004
regrets,0.005
sinking,0.002
void,0.002
rise,0.002
jacob,0.005
bringing,0.004
school,0.002
supports,0.014
solution,0.003
296,0.001
unifying,0.001
heading,0.005
kevinpbreslin,0.002
enjoy,0.005
744109418904584192,0.001
leaders,0.001
warns,0.001
goth,0.001
271,0.002
second,0.001
street,0.005
chris_meloni,0.003
bbcqt,0.009
even,0.004
brexit,0.03
oldest,0.002
326577,0.001
incompatible,0.001
1vnxyl0,0.001
victoriapeckham,0.001
nyt,0.002
new,0.004
net,0.002
ever,0.001
mogg,0.005
told,0.006
centric,0.005
meb,0.007
men,0.017
reported,0.002
whatthehellareyoutalkingabout,0.002
path,0.002
olsson,0.016
vikings,0.002
k,0.004
changed,0.001
military,0.001
heatherwheeler,0.002
punishment,0.005
shithappens,0.01
golden,0.001
divide,0.006
campaign,0.002
29hdktr,0.001
brought,0.003
pdsutherlandun,0.002
opportunities,0.001
embarrass,0.005
total,0.005
forums,0.002
spoke,0.002
theordinaryman2,0.001
army,0.001
coins,0.001
chooses,0.002
1930s,0.002
call,0.002
telegraph,0.004
spike,0.003
rationalism,0.004
tell,0.005
expat,0.002
supporters,0.002
successful,0.001
brings,0.005
wars,0.001
adrianople,0.001
warn,0.001
defeated,0.003
teaching,0.002
must,0.005
word,0.002
room,0.003
rights,0.003
plunged,0.002
ere,0.001
era,0.002
ms,0.002
example,0.002
give,0.004
550,0.001
dragons,0.001
want,0.015
christianvoice,0.001
david,0.006
oppressing,0.002
end,0.003
turn,0.005
egyptian,0.002
trsresearch,0.002
machine,0.006
s030544031300023x,0.001
stupidity,0.007
neveragain,0.004
interview,0.002
turk,0.002
ancestor,0.002
michelledewbs,0.001
funny,0.002
mess,0.003
assimilated,0.002
earlier,0.002
wrong,0.019
sturdywendy,0.001
lay,0.001
president,0.005
types,0.004
thesun,0.005
attempt,0.002
third,0.001
britannia,0.002
revolt,0.004
descends,0.001
1lv7wv,0.002
greek,0.001
berlusconi,0.003
sucessor,0.001
bodgit_bendit,0.013
order,0.002
grassrootsout,0.006
foetal,0.004
danhannanmep,0.002
tricked,0.001
whizzing,0.002
london,0.006
keyboard,0.004
andrea,0.003
belonged,0.002
nyti,0.002
globalpulsemag,0.003
brits,0.004
intelligentsia,0.004
better,0.003
wales,0.004
weeks,0.003
overcome,0.002
eventually,0.001
lambert,0.004
safe,0.002
jenit,0.001
break,0.002
heaven,0.002
sixteen,0.002
bank,0.005
bread,0.002
germanic,0.002
swancom74,0.002
hadrains,0.002
victory,0.002
mantheaume,0.006
went,0.001
side,0.001
luck,0.005
suzanneevans1,0.004
financial,0.002
skydata,0.002
_thegman,0.005
milan,0.002
jouster,0.006
maniacs,0.015
message,0.007
richardlander,0.002
rt,0.002
reminding,0.001
goo,0.002
god,0.002
revolting,0.004
re,0.005
daniel,0.002
got,0.004
foxbusiness,0.004
gov,0.004
independence,0.003
abbott,0.001
turning,0.004
written,0.001
veto,0.001
rustyrockets,0.002
little,0.021
free,0.004
boosting,0.002
wanted,0.003
r4,0.002
refugee,0.003
days,0.004
ati,0.004
isn,0.002
arrived,0.003
onto,0.004
voteleave,0.005
duplicitous,0.005
already,0.025
nigel,0.004
leaveeuofficial,0.002
matteorenzi,0.003
nhs,0.002
wasn,0.007
ditch,0.002
ten,0.002
hitchens,0.001
top,0.01
historian,0.001
bitcoin,0.005
tot,0.006
hist100b1,0.002
needed,0.002
confirming,0.002
ton,0.005
213990,0.005
hollywood,0.002
john,0.001
bitter,0.001
grexit,0.005
calexit,0.004
owensmith_mp,0.001
collapse,0.003
geemo88,0.002
villages,0.026
took,0.003
tabloids,0.004
western,0.001
symptom,0.001
distance,0.001
bloated,0.002
immigrants,0.002
scenes,0.004
nations,0.002
project,0.02
matter,0.021
brexit0rremain,0.004
2ekpbqq,0.002
iron,0.012
thewerelizard,0.001
boudica,0.002
feeling,0.003
bridge,0.004
modern,0.005
mind,0.007
nicolasturgeon,0.005
migrantcrisis,0.001
raw,0.003
lbc,0.002
seen,0.001
telegraphnews,0.004
tells,0.001
forced,0.003
article50bill,0.002
1960,0.004
isolated,0.004
merichio,0.002
fitting,0.002
academia,0.003
tintagel,0.002
decadence,0.001
hun,0.001
empireand,0.001
blue,0.002
cymbeline,0.002
pdpgb,0.002
fencing,0.005
regular,0.001
germany,0.005
don,0.003
classicist,0.002
calculated,0.001
m,0.005
treaty,0.002
leaflet,0.002
diabetesuk,0.001
28j0gwc,0.002
definitely,0.002
tech,0.005
kinglouisxvi,0.005
dos,0.001
voting,0.001
came,0.002
saying,0.001
breitbartnews,0.006
inspire,0.004
pope,0.001
rapture,0.002
queen,0.004
radio,0.002
dopey,0.001
tempted,0.001
thirds,0.003
enjoyed,0.001
lessons,0.017
aje4bn,0.002
busy,0.003
countrywhere,0.006
explain,0.002
rich,0.004
pursuing,0.002
folks,0.004
danielalpert,0.006
allardyce,0.004
englishseaside1,0.002
bahrain,0.006
ujgzgp,0.002
de,0.004
stop,0.006
altogether,0.011
rodneymarsh10,0.001
15,0.005
dr,0.001
jonesier,0.005
dpca6kuqqn,0.002
earn,0.005
lurches,0.001
a7168761,0.001
countries,0.003
anxiously,0.002
twice,0.001
the_globe,0.002
410,0.002
emp,0.002
ruins,0.002
secretary,0.007
1fmwlbk,0.002
decides,0.003
disaster,0.004
fascinating,0.001
sturgeon,0.007
depends,0.003
horrendous,0.003
fail,0.002
ttj2tu,0.001
best,0.001
02,0.001
said,0.001
06,0.006
campaigners,0.002
04,0.005
05,0.002
lots,0.006
08,0.005
09,0.004
wikipedia,0.004
stamps,0.012
unable,0.001
olympics,0.001
hopefully,0.001
tolerance,0.004
letting,0.001
lazy,0.004
never,0.011
terms,0.002
parallels,0.002
omd,0.005
tehnocrati,0.004
ignorance,0.004
ws,0.001
wtf,0.003
news,0.002
debt,0.002
overestimated,0.004
climate,0.005
erdogan,0.003
cox,0.007
uncertainty,0.001
pitt,0.002
demanded,0.012
bbcradio4,0.002
games,0.004
faces,0.005
com,0.014
healthuever,0.004
presumably,0.004
libdempress,0.005
archaeology_uos,0.002
irresponsible,0.002
2nd,0.001
tony,0.001
globalists,0.001
100,0.003
hitler,0.002
utm_campaign,0.004
union,0.006
michaelpdeacon,0.002
much,0.005
destabilises,0.001
expected,0.002
topics,0.001
plateau,0.001
life,0.004
families,0.005
beloved,0.003
attacked,0.002
glomarresponder,0.001
nexit,0.004
hoist,0.005
child,0.004
worked,0.001
save,0.002
746024042361196544,0.001
presidency,0.003
medievalacademy,0.006
n,0.005
aim,0.002
near,0.001
ain,0.001
suppose,0.002
teachers,0.001
thebhf,0.001
leaves,0.002
mistake,0.001
played,0.001
ditching,0.005
dumped,0.005
mansplains,0.002
experts,0.005
il,0.004
march,0.001
britscanbedumbtoo,0.001
ie,0.005
id,0.012
steve_sedgwick,0.001
grown,0.001
things,0.005
make,0.004
linked,0.002
complex,0.005
upon,0.004
split,0.002
colonies,0.009
european,0.005
independent,0.006
welsh,0.002
hand,0.001
fridays,0.004
portal,0.005
recent_news_id,0.001
thoughts,0.005
arab,0.002
kept,0.002
scenario,0.004
homerhickam,0.002
1600,0.002
failing,0.002
brexitenemies,0.002
rome,0.002
mother,0.003
claims,0.003
paradigm,0.002
hotch,0.001
rio2016,0.001
left,0.004
unified,0.001
just,0.018
philmconstruct,0.002
ideas,0.005
thanks,0.005
human,0.006
facts,0.004
yes,0.005
yet,0.004
adding,0.001
ibpmdu,0.001
hal,0.003
tronc,0.004
candidate,0.003
brexitvote,0.006
collsped,0.001
belongs,0.005
5k,0.005
east,0.005
humanity,0.004
theeconomist,0.004
gave,0.012
gove,0.001
breaks,0.002
bbcquestiontime,0.003
possible,0.003
syrianrefugees,0.002
cultural,0.004
govt,0.002
apart,0.002
desire,0.002
50,0.001
steps,0.014
overrated,0.005
night,0.004
ntfem,0.004
uniofyork,0.004
www,0.01
right,0.004
old,0.005
plantagenet,0.005
people,0.004
understand,0.002
successfully,0.001
begin,0.002
dead,0.005
usher,0.002
election,0.006
escape,0.002
1461057270,0.002
darkages,0.001
rhine,0.002
fascistic,0.002
fox,0.005
stoptheeu,0.002
everything,0.002
cnn,0.001
uglyhonest,0.001
christmas,0.004
2etw8rf,0.001
core,0.001
pls,0.002
fvdemocratie,0.002
post,0.015
byzantium,0.002
jester,0.004
sadiq,0.005
_brexit_,0.021
poss,0.001
