Term,Value
suicidal,0.002
hordes,0.001
child,0.005
crisisgrexit,0.001
skynews,0.005
holyrood,0.002
chaos,0.003
asian,0.002
hanging,0.005
john_holtke,0.042
erexit,0.001
saved,0.004
forget,0.002
votes,0.005
janimine,0.002
poorest,0.005
inlike,0.002
voted,0.004
whatsoever,0.004
bethrigby,0.007
sorry,0.004
765106024957214720,0.005
regrets,0.006
sinking,0.002
void,0.002
rise,0.002
jacob,0.005
bringing,0.004
believed,0.002
school,0.002
cause,0.001
solution,0.003
296,0.002
shows,0.002
heading,0.004
kevinpbreslin,0.001
enjoy,0.005
744109418904584192,0.002
leaders,0.002
warns,0.001
goth,0.002
271,0.001
second,0.001
street,0.007
chris_meloni,0.005
cymroalba,0.005
even,0.005
brexit,0.015
oldest,0.002
326577,0.002
incompatible,0.002
1vnxyl0,0.002
victoriapeckham,0.001
nyt,0.002
new,0.003
net,0.001
ever,0.002
mogg,0.004
told,0.005
million,0.008
meb,0.004
never,0.012
reported,0.001
whatthehellareyoutalkingabout,0.001
path,0.001
olsson,0.014
vikings,0.001
k,0.004
changed,0.001
military,0.001
heatherwheeler,0.001
punishment,0.005
shithappens,0.013
golden,0.001
divide,0.004
campaign,0.002
brought,0.006
pdsutherlandun,0.002
opportunities,0.002
embarrass,0.004
total,0.005
forums,0.002
spoke,0.002
theordinaryman2,0.001
army,0.001
century,0.004
chooses,0.002
1930s,0.002
call,0.001
telegraph,0.006
spike,0.004
rationalism,0.006
tell,0.004
dumped,0.004
supporters,0.001
successful,0.001
brings,0.003
wars,0.002
adrianople,0.001
warn,0.002
mansplains,0.001
teaching,0.002
must,0.005
join,0.001
room,0.007
rights,0.004
plunged,0.001
movies,0.001
era,0.002
ms,0.002
example,0.001
give,0.005
550,0.001
dragons,0.002
want,0.017
christianvoice,0.001
david,0.004
oppressing,0.001
end,0.005
thing,0.005
egyptian,0.001
trsresearch,0.002
machine,0.005
s030544031300023x,0.002
stupidity,0.006
neveragain,0.004
interview,0.001
turk,0.001
ancestor,0.002
michelledewbs,0.001
mess,0.004
assimilated,0.001
earlier,0.002
wrong,0.012
sturdywendy,0.002
lay,0.001
president,0.004
disagree,0.005
types,0.005
thesun,0.005
attempt,0.003
third,0.002
revolt,0.005
descends,0.002
1lv7wv,0.001
greek,0.002
ianjarmaine,0.002
sucessor,0.002
bodgit_bendit,0.011
order,0.002
grassrootsout,0.004
foetal,0.003
danhannanmep,0.001
tricked,0.001
whizzing,0.002
london,0.003
keyboard,0.004
meteors,0.002
nyti,0.001
globalpulsemag,0.002
brits,0.004
intelligentsia,0.004
writing,0.001
better,0.004
wales,0.005
weeks,0.005
overcome,0.001
eventually,0.001
lambert,0.004
safe,0.002
jenit,0.002
break,0.002
heaven,0.002
sixteen,0.001
bank,0.005
bread,0.002
germanic,0.002
swancom74,0.001
hadrains,0.002
victory,0.002
mantheaume,0.003
went,0.001
