Term,Value
strawa,0.007
communitiesuk,0.016
hordes,0.038
leejasper,0.007
beachthistle,0.007
holyrood,0.009
four,0.005
hanging,0.011
diisgrace,0.009
localized,0.012
marching,0.009
dunleavy138,0.008
ukelections2015,0.007
augustine,0.009
ecominimalnick,0.016
stevesurrey1,0.003
cole_davesc66,0.002
lord,0.011
protestants,0.006
regional,0.0
trojan,0.011
pigment,0.009
forties,0.008
bringing,0.009
enddate,0.002
scholar,0.012
wooden,0.002
clientele,0.001
commenter,0.028
patrickwintour,0.002
smethwick,0.005
chalupatime,0.011
katiecelf,0.006
hague,0.006
zzzzzz,0.005
charter,0.007
bill,0.011
specially,0.009
bbqt,0.027
bacon,0.01
second,0.013
autonomous_mind,0.007
feck,0.006
bbcqt,0.018
brexit,0.023
jonteinspain,0.01
casumptious,0.012
skynewsbreak,0.002
sheenmate,0.003
chieftans,0.016
fossil,0.003
scottishlabour,0.021
scottishreferendum,0.004
jackcapron,0.009
ohbrokenbritain,0.032
hero,0.01
splinter,0.013
brainwashed,0.005
lgbt,0.01
china,0.011
cult,0.007
affiliated,0.014
shriek,0.006
mickzippy,0.005
realclimatescience,0.003
cyclical,0.009
kids,0.028
kaltesonne,0.002
k,0.012
davidisky,0.003
reports,0.012
transfixed,0.008
military,0.012
bbcone,0.009
cancellation,0.003
criticism,0.009
golden,0.006
divide,0.009
criticise,0.001
loudoun,0.009
norse,0.009
replace,0.007
foodbanks,0.007
classicfail,0.007
unis,0.004
unit,0.001
mote,0.006
dna,0.005
spoke,0.002
aidan_celtic,0.008
music,0.016
telegraph,0.029
passport,0.016
e2,0.009
pstani,0.011
holy,0.05
relax,0.014
successful,0.003
brings,0.005
99,0.004
90,0.011
93,0.01
hold,0.015
sarahhemyukip,0.007
britfirst,0.004
morally,0.008
locked,0.011
pursue,0.012
famed,0.001
plunged,0.023
rkzins_8hfo,0.015
revenues,0.007
example,0.012
richardhilton1,0.002
grumpydenier,0.002
sinking,0.004
household,0.006
dragons,0.012
bbcnew,0.01
want,0.033
absolute,0.012
lobbycomm,0.003
hoc,0.011
worldview,0.011
hehehehehe,0.006
complaining,0.005
travel,0.009
damage,0.01
antiracismday,0.012
machine,0.003
preferable,0.006
salmond,0.008
bbcdouglasf,0.005
statement_on_paris_shooting,0.013
jamesvondoom,0.005
outlawed,0.009
shores,0.009
wrong,0.018
junkscience,0.005
gsdlady2,0.009
shocker38,0.007
types,0.009
ukipscum,0.008
_deanwilson94,0.006
eyers,0.003
occasions,0.005
paullewismoney,0.015
wins,0.017
fictional,0.001
keeps,0.008
p4ljta,0.004
democratic,0.01
wing,0.008
wind,0.01
senators,0.01
angelahaggerty,0.006
welcomed,0.013
govern,0.008
chriscox69,0.011
continentals,0.004
luisbaram,0.005
jackbrosnan_,0.003
eddieizzard,0.015
luke_e_boy,0.008
fit,0.009
screaming,0.006
10153212_233154013546003_3162180114676654568_n,0.003
discourse,0.004
deeneking,0.004
wales,0.022
hidden,0.003
virtually,0.006
lukebozier,0.0
schools,0.014
silver,0.013
xfactor2014,0.006
represents,0.008
diarmidm,0.008
queues,0.005
barton,0.01
arron,0.002
crops,0.005
addicted,0.0
volcano,0.008
ronkabet,0.008
financial,0.012
snakes,0.01
knockout,0.013
allah,0.011
turnip,0.003
fortnight,0.007
jimtduffy,0.001
2day,0.008
cathedral,0.005
whit,0.006
ring,0.008
whip,0.002
rt,0.017
rw,0.008
23c8my7,0.006
rs,0.004
markbtuk,0.005
richardlion2,0.001
re,0.038
encourage,0.011
adapt,0.006
27115043,0.009
dogwhistle,0.004
foundation,0.009
hillaryclinton,0.008
sellout,0.007
paullarkin74,0.005
threatened,0.008
medieval_things,0.002
farageget,0.005
rspca,0.008
allison00812810,0.002
7ekuqhw7b,0.01
redhair,0.007
ate,0.005
ndls61,0.005
ups,0.004
1970s,0.002
repealed,0.011
rabid,0.004
landlords,0.013
peterthomas410,0.014
nigel,0.036
steroids,0.015
reintroduced,0.007
wasn,0.011
remotely,0.001
sutherland,0.005
jamesmcleary,0.006
cmidgley1988,0.009
