Term,Value
strawa,0.004
communitiesuk,0.016
hordes,0.027
leejasper,0.002
beachthistle,0.006
holyrood,0.009
four,0.008
hanging,0.013
diisgrace,0.008
localized,0.009
marching,0.01
dunleavy138,0.006
ukelections2015,0.008
augustine,0.008
ecominimalnick,0.012
stevesurrey1,0.005
cole_davesc66,0.0
lord,0.009
protestants,0.004
regional,0.0
bile,0.007
pigment,0.009
forties,0.007
bringing,0.01
enddate,0.002
scholar,0.009
wooden,0.003
clientele,0.001
commenter,0.03
patrickwintour,0.002
smethwick,0.004
chalupatime,0.012
katiecelf,0.009
hague,0.009
zzzzzz,0.007
charter,0.007
bill,0.011
specially,0.01
bbqt,0.032
bacon,0.011
second,0.013
autonomous_mind,0.011
feck,0.009
bbcqt,0.016
brexit,0.025
jonteinspain,0.01
casumptious,0.008
skynewsbreak,0.001
sheenmate,0.001
chieftans,0.014
fossil,0.005
scottishlabour,0.023
scottishreferendum,0.006
jackcapron,0.008
ohbrokenbritain,0.027
hero,0.008
splinter,0.011
brainwashed,0.005
lgbt,0.012
china,0.014
cult,0.01
affiliated,0.016
shriek,0.007
mickzippy,0.007
realclimatescience,0.001
cyclical,0.008
kids,0.026
kaltesonne,0.002
k,0.01
davidisky,0.003
reports,0.009
transfixed,0.008
military,0.007
bbcone,0.008
cancellation,0.002
criticism,0.006
golden,0.01
divide,0.008
criticise,0.001
loudoun,0.007
norse,0.009
replace,0.01
foodbanks,0.005
classicfail,0.005
unis,0.005
unit,0.0
hoping,0.008
dna,0.009
spoke,0.002
aidan_celtic,0.006
music,0.013
telegraph,0.028
passport,0.013
e2,0.01
owen,0.008
holy,0.039
relax,0.014
brings,0.003
99,0.008
90,0.007
93,0.01
hold,0.016
sarahhemyukip,0.003
britfirst,0.005
morally,0.009
locked,0.01
pursue,0.011
famed,0.002
plunged,0.027
rkzins_8hfo,0.013
revenues,0.008
example,0.015
richardhilton1,0.004
grumpydenier,0.003
sinking,0.002
household,0.009
dragons,0.011
currency,0.001
bbcnew,0.009
want,0.035
absolute,0.014
lobbycomm,0.002
hoc,0.01
worldview,0.009
hehehehehe,0.007
complaining,0.005
travel,0.009
damage,0.009
antiracismday,0.009
machine,0.004
preferable,0.006
salmond,0.005
swine,0.012
renounced,0.008
jamesvondoom,0.006
outlawed,0.01
shores,0.01
wrong,0.017
junkscience,0.006
gsdlady2,0.009
shocker38,0.01
types,0.007
ukipscum,0.006
_deanwilson94,0.007
eyers,0.007
occasions,0.002
paullewismoney,0.011
wins,0.016
fictional,0.002
keeps,0.006
p4ljta,0.005
democratic,0.01
wing,0.012
wind,0.009
senators,0.009
angelahaggerty,0.006
welcomed,0.015
govern,0.006
chriscox69,0.01
continentals,0.005
luisbaram,0.004
jackbrosnan_,0.003
eddieizzard,0.012
luke_e_boy,0.006
fit,0.007
screaming,0.008
10153212_233154013546003_3162180114676654568_n,0.005
ogbtssk,0.003
deeneking,0.004
wales,0.022
hidden,0.003
jihadis,0.01
lukebozier,0.001
schools,0.012
silver,0.011
xfactor2014,0.008
represents,0.007
diarmidm,0.008
queues,0.007
barton,0.008
arron,0.001
crops,0.004
addicted,0.002
volcano,0.007
ronkabet,0.013
financial,0.014
snakes,0.01
knockout,0.016
allah,0.01
turnip,0.002
fortnight,0.008
berkshireip,0.0
2day,0.009
cathedral,0.01
whit,0.008
ring,0.006
whip,0.002
rt,0.021
rw,0.004
23c8my7,0.009
rs,0.006
markbtuk,0.005
richardlion2,0.001
re,0.037
encourage,0.013
adapt,0.004
27115043,0.009
dogwhistle,0.007
foundation,0.009
hillaryclinton,0.009
sellout,0.009
paullarkin74,0.006
threatened,0.006
medieval_things,0.0
farageget,0.002
rspca,0.012
allison00812810,0.002
7ekuqhw7b,0.01
redhair,0.007
ate,0.004
ndls61,0.008
ups,0.002
1970s,0.003
repealed,0.01
rabid,0.002
landlords,0.012
peterthomas410,0.012
nigel,0.033
steroids,0.012
reintroduced,0.01
wasn,0.014
offerings,0.006
remotely,0.003
sutherland,0.006
jamesmcleary,0.009
cmidgley1988,0.007
blazespage,0.006
xii,0.001
tired,0.008
needed,0.014
boston_rabbit,0.006
xit,0.004
_lilykins,0.01
euro,0.018
bitter,0.007
steven_woolfe,0.013
listen,0.006
danish,0.007
alecoscino,0.009
collapse,0.001
kno,0.005
hell_yes,0.004
wisdom,0.007
chairwoman,0.008
channel4,0.006
darkies,0.003
positively,0.01
195dal,0.011
trek,0.005
peril,0.006
showed,0.018
coward,0.012
tree,0.009
10x,0.001
dtfxzpu,0.005
nations,0.033
project,0.015
endure,0.007
boudica,0.055
charted,0.005
feeling,0.008
1zafmow,0.013
redesigned,0.003
esto,0.0
1fxcbdm,0.008
concrete,0.001
paramedics,0.003
responsible,0.008
causing,0.01
absorbed,0.006
ukipfail,0.005
pander,0.001
witney,0.011
shall,0.011
diminishing,0.006
swiss,0.016
mouth,0.005
letter,0.008
entry,0.002
majo,0.009
episode,0.003
2emuouszi,0.011
fajnyjames,0.014
camp,0.011
twickenham,0.012
independents,0.001
flagellants,0.004
lpg,0.008
camb,0.002
came,0.016
saying,0.013
fuckers,0.003
plagues,0.002
sexist,0.005
morningstaronline,0.015
darmz7,0.004
sexism,0.002
callumringer_,0.01
tempted,0.007
clock,0.001
lessons,0.016
busy,0.01
sandwellleader,0.008
scmpsocialnewsfeed,0.004
ment,0.006
cousins,0.007
warmongering,0.011
safadreamer,0.002
rich,0.004
milton,0.002
1qto55c,0.01
kraljski,0.006
lmao,0.005
mrdatch,0.021
lurches,0.014
greens,0.028
nicely,0.009
pigtowngrump,0.005
paedophiles,0.008
patch,0.008
debatingfools,0.02
cull,0.01
traverse,0.002
disaster,0.008
fair,0.014
branding,0.006
result,0.013
fail,0.015
syriapakistanindiamalaysiairaqiran,0.011
resigned,0.006
best,0.017
markfrance62,0.015
patronsaintofca,0.008
campaigners,0.01
scotlibdems,0.005
lots,0.006
wikipedia,0.013
1pqswgm,0.01
romanscharlemagne,0.008
ira,0.007
foi_in_ukip,0.009
migrantnation,0.008
glasgow,0.009
preserve,0.014
men,0.008
parallels,0.009
nationwide,0.008
nature,0.01
rolled,0.007
mei,0.003
jack0byte,0.003
ian_fraser,0.005
extent,0.01
roller,0.01
pity,0.004
outcome,0.006
sacrificing,0.014
country,0.037
drmoragkerr,0.006
strange,0.011
demanded,0.018
planned,0.004
normandy,0.007
logic,0.011
wipeout,0.008
argue,0.008
asked,0.008
eradicate,0.005
calibre,0.01
telbo5000,0.011
basque,0.016
blonde,0.011
raith,0.007
shouting,0.008
union,0.021
fri,0.005
michaelpdeacon,0.007
frm,0.009
bothers,0.007
ckuka,0.004
much,0.023
privilege,0.01
jackass,0.001
deportations,0.006
socialflow_twitter,0.001
life,0.016
spit,0.01
eastern,0.008
worker,0.008
places,0.001
sycophants,0.003
culling,0.012
child,0.012
25s,0.008
worked,0.006
doth,0.011
cunt,0.009
diverted,0.007
isabeloakeshott,0.007
bcalderwood23,0.006
1jar3,0.009
viii,0.002
athanaseus,0.013
flooding,0.008
ladyreynolds34,0.013
ridiculously,0.003
surprises,0.004
nuttalls,0.013
anticipating,0.008
campaigning,0.009
trusted,0.004
things,0.016
rebellion,0.005
split,0.006
babies,0.006
paedo,0.006
european,0.021
plonker,0.007
fairly,0.007
louisemensch,0.013
louenglefield,0.005
pitchforks,0.002
purpleplotters,0.001
jaimehta,0.001
lydlqv,0.007
reissdjo,0.008
tune,0.017
fabricant,0.006
matters,0.009
eddiesurfs,0.015
academia,0.004
demindblower,0.003
echoes,0.001
petewishart,0.007
opinions,0.002
its2014,0.001
terrorist,0.008
cumbria,0.007
birmingham,0.014
flaggelant,0.001
gretna,0.006
sandracub,0.01
ham,0.013
holyromanempire,0.008
bnp,0.021
hay,0.01
innocent,0.014
prison,0.003
east,0.032
espoused,0.004
hav,0.007
ukipcastlepoint,0.014
groat,0.001
possible,0.009
possibly,0.006
lachiemor1,0.003
indicative,0.006
mrdavidwhitley,0.011
birth,0.009
shadow,0.016
hamas,0.004
desire,0.011
brought,0.003
kingskroinkie,0.016
sliiting,0.007
remind,0.011
steps,0.008
andrewoathy,0.003
ideaa,0.001
bonkers,0.003
right,0.023
old,0.016
crowd,0.013
people,0.037
czech,0.009
uuponline,0.008
ooooo,0.005
willdefens,0.003
sure,0.017
countytimes,0.004
serialsockthief,0.006
creep,0.001
bringbackhanging,0.01
attendees,0.009
fox,0.027
individuals,0.002
periphery,0.005
mabionglyndwr,0.006
varicose,0.001
nwbrux,0.008
templarinfidel,0.006
lefty,0.015
hmtreasury,0.016
oliverjamesuk,0.001
alexandra,0.008
profmcghee,0.008
toryshorty,0.007
exploitiation,0.011
bigpoppatotoro,0.008
benches,0.002
citizens,0.008
o,0.011
despair,0.005
stoked,0.003
ukipdaily,0.011
slightly,0.009
bath,0.005
consulting,0.001
sod,0.018
1531879,0.014
sol,0.013
son,0.013
presenters,0.006
breadandcircuses,0.001
sov,0.006
blueliberal1,0.013
carlachamorros,0.001
poss,0.0
foothold,0.003
support,0.04
constantly,0.002
raped,0.015
joseph,0.007
wordpress,0.012
jeremylefroymp,0.015
thingsscotlandhas,0.007
celtic_scotland,0.011
_tomflan1888,0.008
journo,0.013
offer,0.01
jakearmistead,0.003
davidsigsworth,0.002
simon_ukip,0.008
congratulations,0.02
dontvotescumshovethevoteupukipsbum,0.005
michaelrosenblog,0.008
medway,0.004
inside,0.012
paulturner2012,0.014
vanguard,0.008
rerum,0.004
smashed,0.012
stopsharia,0.013
passenger,0.006
later,0.028
liberal,0.009
proven,0.007
hethers01,0.003
exist,0.01
marxists,0.009
marty_caine,0.015
flood,0.004
republic,0.007
jseymourukip,0.001
roll,0.008
ramadi,0.011
intend,0.01
geezer,0.008
transported,0.002
muslims,0.016
smelling,0.007
persecution,0.002
jimwaterson,0.008
gillian_mair80,0.01
anthony_g_ukip,0.001
mixtymuxty,0.009
codalmighty,0.007
mrjamesob,0.012
beamed,0.006
1156588,0.012
time,0.022
push,0.008
characterising,0.012
corps,0.008
whoever,0.007
eunats,0.006
disrepute,0.006
buddys,0.01
mcghee,0.009
chair,0.009
loons,0.003
quartered,0.005
pratap,0.006
reverting,0.005
vlad,0.005
obssessed,0.005
atavistic,0.002
trog,0.012
choice,0.019
fullest,0.014
exact,0.011
minute,0.01
rlemkin,0.006
tear,0.006
leave,0.032
settle,0.008
subway,0.008
team,0.009
loads,0.007
jamessreality,0.011
globalwarmingisamyth,0.005
prevent,0.016
hindered,0.002
marikanotions,0.011
prediction,0.016
anassarwar,0.008
chopping,0.012
5509085,0.007
saoralba,0.008
elton,0.006
deafitit,0.009
boggle,0.006
celebrated,0.011
current,0.011
ianssmart,0.013
freaks,0.003
boost,0.007
honour,0.01
funeral,0.005
walsallinfidel,0.009
understanding,0.003
contemplate,0.002
address,0.006
alone,0.011
along,0.014
redemption,0.003
trumpton_ukip,0.027
queue,0.01
haitch7,0.01
bp,0.008
funder,0.001
jameeyy,0.008
studies,0.004
reclaim,0.013
prettyh,0.01
demonisation,0.004
somerandomhash,0.003
love,0.017
bloods,0.008
canio,0.006
prefer,0.013
logical,0.006
bloody,0.023
ipp,0.009
fake,0.032
neildance,0.004
forefront,0.01
red,0.013
opposes,0.01
sturdyalex,0.004
working,0.025
positive,0.011
angry,0.012
l06jsl,0.004
druids,0.014
boycotthalal,0.011
opposed,0.009
clydessb,0.006
georgegalloway,0.025
loving,0.006
introducing,0.01
scovers123,0.006
1hi30x2,0.015
leeches,0.002
assimilation,0.002
odious,0.006
fastestfredy,0.013
ukip_rbwm,0.005
everywhere,0.009
eastchesterton,0.001
indiegogo,0.007
paxtonnorth,0.008
involve,0.013
scholey,0.01
trev_forrester,0.013
wanks,0.007
wingers,0.002
moansar,0.009
davies,0.005
believes,0.003
values,0.016
believed,0.01
1dq66zx,0.007
ollyneville,0.006
bertrandlapraye,0.004
twittersilence,0.008
vauxhall,0.005
luizap1,0.004
admires,0.012
allowed,0.009
litre,0.004
paulmasonnews,0.005
divided,0.009
waines,0.005
chaucer,0.004
34604358,0.015
edinburgh,0.01
spot,0.002
yeeeeesss,0.008
thanetwatch,0.003
primordial,0.003
outthink,0.024
uptonogood_,0.008
naomi_1,0.003
date,0.008
wikileaks,0.01
laboureoin,0.007
spouted,0.002
data,0.004
brainless,0.002
duncanbarkes,0.009
411478,0.008
natural,0.006
conscious,0.001
ss,0.008
sp,0.008
st,0.025
kittycatboyd,0.012
1sy10nm,0.01
sa,0.01
se,0.006
sd,0.004
webpage,0.012
pugwash1000,0.012
djmumin,0.003
unacceptable,0.003
years,0.034
course,0.018
leannewood,0.014
clinton,0.011
grassroots_out,0.003
tendency,0.01
strategyjhp,0.004
theecologist,0.007
jim,0.008
181lwff,0.012
cstross,0.009
councillor,0.013
tory,0.021
petition,0.009
oldfirmfacts1,0.007
recipients,0.015
matches,0.008
indigenous,0.029
drilling,0.003
cutleree,0.003
twilight,0.007
glinner,0.012
didn,0.015
revert,0.009
alexx_mcarthur,0.007
domac2000,0.013
ukipthey,0.001
bowling,0.011
veins,0.008
zeropregi,0.003
quarter,0.011
square,0.001
beloved,0.006
patrickoflynn,0.008
christia_allard,0.008
entering,0.018
regionally,0.015
ukip_for_tmward,0.005
troll,0.006
joker,0.002
canvas,0.007
container,0.007
805881485400174593,0.002
coastguard_sos,0.006
shaun_dunlop,0.007
abide,0.003
seriously,0.015
investigation,0.011
internet,0.003
suggesting,0.007
cultor,0.008
curbs,0.011
million,0.026
incentives,0.008
possibility,0.008
reshuffle,0.01
22one,0.012
besides,0.005
quits,0.008
training,0.002
themuslimissue,0.002
girfuy,0.006
crucifix,0.002
massive,0.015
u58pumlkgjm,0.008
henry,0.005
saving,0.016
spoken,0.009
one,0.036
andymuirhd,0.007
rickyjames94,0.011
p262zd,0.005
spanish,0.033
vote,0.035
open,0.01
flatearthers,0.005
city,0.028
uks,0.011
jackbuckby,0.012
juliusmandrake,0.009
2,0.04
ibtimes,0.01
typer,0.012
bits,0.001
vapours,0.007
timeforukip,0.009
psychopaths,0.004
proving,0.003
ridiculous,0.014
fooled,0.006
markbarry67,0.008
chump,0.007
eurosceptic,0.007
siding,0.005
future,0.009
alanroden,0.007
sophie,0.002
russia,0.012
prospect,0.002
schrodingers,0.007
addressing,0.006
jagtron1,0.016
sam,0.012
turned,0.011
argument,0.018
sad,0.014
woah,0.001
say,0.028
buried,0.003
allen,0.01
saw,0.013
sat,0.006
charlemagnevfarage,0.006
warriors,0.001
downwards,0.003
aside,0.011
note,0.016
intends,0.005
take,0.025
politcal,0.005
atos,0.009
destroy,0.006
bbcpm,0.011
relaxed,0.004
butterfly,0.006
ironically,0.015
axel_yachef,0.002
opposite,0.013
buffer,0.014
knew,0.016
invoked,0.005
faragevclegg,0.003
drive,0.009
federal,0.002
butchered,0.01
atlantic,0.014
review,0.027
laws,0.009
sansian1,0.003
walking,0.003
opportunist,0.011
hustings,0.005
doshtosh,0.009
mike_guillaume,0.005
ukipster,0.0
aggressive,0.014
pperrin,0.011
imagined,0.002
line,0.013
slow,0.009
