Term,Value
suicidal,0.001
hordes,0.002
child,0.004
crisisgrexit,0.002
skynews,0.005
holyrood,0.002
chaos,0.001
asian,0.001
hanging,0.005
john_holtke,0.023
erexit,0.001
saved,0.004
forget,0.001
votes,0.006
poorest,0.005
seriously,0.005
voted,0.004
whatsoever,0.003
bethrigby,0.005
sorry,0.003
765106024957214720,0.005
regrets,0.007
sinking,0.002
void,0.001
rise,0.001
jacob,0.004
bringing,0.004
school,0.002
ref,0.001
solution,0.004
296,0.001
unifying,0.002
heading,0.006
kevinpbreslin,0.002
voteleave,0.003
744109418904584192,0.002
leaders,0.003
warns,0.002
goth,0.002
271,0.002
second,0.001
street,0.004
chris_meloni,0.005
cymroalba,0.005
even,0.004
brexit,0.011
oldest,0.001
326577,0.002
incompatible,0.002
1vnxyl0,0.001
victoriapeckham,0.002
nyt,0.001
new,0.006
net,0.001
ever,0.002
mogg,0.005
told,0.005
centric,0.003
meb,0.004
never,0.009
reported,0.001
whatthehellareyoutalkingabout,0.002
path,0.002
olsson,0.026
vikings,0.001
k,0.004
changed,0.001
military,0.001
heatherwheeler,0.002
punishment,0.006
shithappens,0.026
golden,0.002
divide,0.005
campaign,0.001
brought,0.004
pdsutherlandun,0.002
opportunities,0.002
embarrass,0.004
total,0.006
forums,0.002
spoke,0.002
theordinaryman2,0.001
army,0.002
achieve,0.005
chooses,0.002
kneepads,0.002
call,0.002
telegraph,0.006
spike,0.004
rationalism,0.005
tell,0.004
expat,0.002
supporters,0.002
successful,0.002
brings,0.005
wars,0.001
warn,0.002
mansplains,0.002
teaching,0.002
must,0.005
join,0.002
room,0.004
rights,0.006
plunged,0.001
movies,0.001
era,0.001
transparency,0.002
example,0.002
give,0.006
550,0.002
dragons,0.001
want,0.014
christianvoice,0.001
times,0.003
oppressing,0.002
end,0.003
turn,0.005
egyptian,0.001
trsresearch,0.001
machine,0.005
s030544031300023x,0.002
stupidity,0.004
neveragain,0.003
interview,0.001
place,0.004
ancestor,0.002
michelledewbs,0.002
mess,0.005
assimilated,0.001
earlier,0.002
wrong,0.016
sturdywendy,0.001
lay,0.002
president,0.004
pdf,0.002
disagree,0.002
types,0.005
thesun,0.004
attempt,0.001
third,0.002
revolt,0.004
descends,0.002
1lv7wv,0.001
greek,0.001
berlusconi,0.006
sucessor,0.002
bodgit_bendit,0.012
archaeology,0.002
grassrootsout,0.005
wine,0.001
danhannanmep,0.001
tricked,0.003
london,0.003
keyboard,0.004
meteors,0.002
andrea,0.006
belonged,0.002
nyti,0.001
globalpulsemag,0.002
brits,0.004
intelligentsia,0.006
writing,0.001
better,0.005
wales,0.005
weeks,0.005
overcome,0.002
eventually,0.002
lambert,0.007
safe,0.002
jenit,0.003
break,0.001
heaven,0.001
sixteen,0.002
bank,0.006
bread,0.002
germanic,0.002
swancom74,0.001
hadrains,0.001
victory,0.001
mantheaume,0.006
went,0.002
side,0.001
luck,0.005
suzanneevans1,0.003
financial,0.003
skydata,0.001
_thegman,0.004
milan,0.002
jouster,0.005
maniacs,0.013
message,0.005
richardlander,0.002
rt,0.001
large,0.002
goo,0.001
god,0.001
monitor,0.001
revolting,0.005
re,0.005
daniel,0.002
got,0.008
foxbusiness,0.005
gov,0.003
independence,0.003
abbott,0.002
turning,0.004
written,0.002
veto,0.002
rustyrockets,0.002
little,0.022
free,0.005
boosting,0.002
wanted,0.004
r4,0.001
refugee,0.005
days,0.005
ati,0.005
isn,0.002
garlic,0.002
onto,0.005
enjoy,0.004
duplicitous,0.004
appeals,0.001
nigel,0.004
leaveeuofficial,0.002
matteorenzi,0.005
nhs,0.001
wasn,0.005
ditch,0.001
ten,0.001
revival,0.001
top,0.017
historian,0.001
bitcoin,0.004
tot,0.003
hist100b1,0.002
needed,0.001
confirming,0.002
ton,0.005
thoughts,0.005
hollywood,0.002
john,0.001
bitter,0.001
grexit,0.005
calexit,0.005
owensmith_mp,0.002
collapse,0.002
villages,0.021
took,0.004
tabloids,0.005
western,0.001
symptom,0.002
distance,0.002
bloated,0.002
immigrants,0.002
scenes,0.006
nations,0.002
project,0.015
matter,0.011
brexit0rremain,0.005
hadrian,0.001
iron,0.015
thewerelizard,0.003
boudica,0.002
feeling,0.001
spoiler,0.002
bridge,0.005
interestingthe,0.002
palace,0.002
modern,0.003
mind,0.005
nicolasturgeon,0.005
migrantcrisis,0.001
raw,0.004
lbc,0.001
seen,0.001
telegraphnews,0.004
tells,0.001
forced,0.002
responsible,0.001
1960,0.005
isolated,0.005
merichio,0.001
fitting,0.001
rome,0.001
tintagel,0.002
decadence,0.001
