Number,Tweet
1754,"*A morte do Caesar foi a coisa mais triste que já vi até hoje nos animes brother pqp... Tipo: Eu sei que tem coisa pior, mas pra mim..."""
1753,*O CAESAR-CHANNNNN
1752,*A CARA DO CAESAR QUANDO ACONTECE QQR COISA COM O JOSEPH CONDENA ELE DEMAIS EU FICO PUTA DA VIDA
1751,*eu juro que se acontecer alguma coisa com o caesar nesse filme eu mato todo mundo
1750,*Se tem uma coisa que eu odeio agora mais que a minha vida é a risada do Caesar Clown
618,*já aconteceram? vão acontecer? eu sou caesar ou brutus
619,*認知症なら、運転免許は即返納ですか - 当事者団体「議論深め、現実的な方策を」（医療介護CBニュース） - Yahoo!ニュース http://headlines.yahoo.co.jp/hl?a=20170314-21000000-cbn-soci … #Yahooニュース
612,"*Shakespeare had Caesar say """"Eu tu Brute"""" before he died, but that's only because """"You're a real C"
613,*eu amo demais as piadas com brutus e caesar
610,"*eu acho que vai dar certo, o Caesar vai fazer de tudo pra sobreviver"""
611,*Quando o Joseph diz que nunca vai trabalhar com o Caesar mas eu já sei tudo o que acontece e choro
616,"*BREAKING: Statue of Julius Caesar emerges from slumber, promises conquest of """"pathetic rabble of EU"""", intel source says. #idesOfMarch #EU """
617,*gente eu vim aqui pra pedir que vcs parem oq estão fazendo pra ouvir o evangelho de Daniel Caesar
614,"*eu vejo todo mundo odiando o caesar e falando coisas do tipo """"ninguém gosta dele"""" """"ninguém quer ele no bando"""" mas EU gosto e EU quero..."""
615,"*por isso que eu digo: o caesar vai ter que voltar com os mugiwaras, ele não tem pra onde ir, e ele vai acabar entrando pro bando khkjds"""
4668,*Graças ao Sungjin estou ouvindo sem parar. #NowPlaying Impossible by James Arthur ♫ http://spoti.fi/170up2q 
4669,*(yup) (spour ça)
948,*qd y'a eu caesar dans ma tête ca a fait bip gihane mdkrnekrk
946,"*ah eu sabia! O Caesar é a melhor pessoa daqui na categoria masculina, eu, na feminina of course kkkkkkkkkkkkkk"""
947,"*Achei sensa. A mink vai entrar pro bando. Jimbe eu já não sei, por causa do bando dele. Capone + Luffy + Caesar, a Mama não aguenta"""
4666,*essa musica é total julius caesar e o spotify fez ela brotar pra mim no timing certinho 
4667,*eu mesma com os artistas que Jae indicou
942,*meu corretor não deixa eu escrever o que eu quero é molho CAESAR
943,*Hello Friday!! 
940,"*@Yooo_Mama_  J'ai déjà eu des partenaires sexuelles qui étaient jusque Bouddhistes. (Navré de cette anecdote, je me retire)."""
941,*Eu não aguento mais sofrer pelo Daniel Caesar
2659,*Eu quero mesmo é a voz do Daniel Caesar
2658,"*Ainda bem que eu odeio JoJo e não ligo pro Caesar Zeppeli, porque vi fanart dele aqui e já ia chorar."""
35181,"*As vezes eu acho que esta mulher do lula é a chefe de tudo, olha a cara dela."""
2653,*KKKKKKKKKKKK a sua cara estava muito engraçada no sonho e a salada Caesar foi a cereja do bolo p eu acordar rindo hahahaha
2652,*Se eu continuar ouvindo Daniel Caesar eu vou chora
2651,"*Eu não me envergonho, eu sigo na minha quest contra defensores do Caesar Mugiwara."""
2650,*#JoCox How did Batley vote again in the EU Ref?  Leave was it. The opposite of what Jo wanted. At least Julius Caesar looked his assailants-
2657,"*Retweeted UI,Eu Amo A Gazela (@fehstyles94):"
2656,*se eu fosse rapper eu ia querer ser o daniel caesar
2655,"*DSHAUDSAHUDAS UM DIA VAI TER QUE JUNTAR EU MEU TIO E KASS PRA TIRAR FOTO CADA UM COM SEU PERSONAGEM,OBVIAMENTE SOU O CAESAR <3"""
2654,*se eu puder te dar um conselho: nunca peça caesar drink  
7957,*eu chutei e caiu no Joseph e Caesar kkkkkk
7956,*Mano como eu nunca tinha ouvido uma música do daniel caesar manoo que voz gostosa moh tesão
7955,*quem vai no mc donald's comer salada caesar? só eu mesmo
7954,"*Caesar eu concordo em gênero, número e grau com você!"""
7953,*Hoje eu superei meu trauma de comer salada caesar
7952,*HAHAHAHAHAHAHA MIGO EU TAVA DESEJANDO UMA SALADA CAESAR E SÓ LEMBREI DO MARIETTA :( 
7951,"*School books tell US, EU, RU, CN... children Caesar, Chin, Genghis, Atilla... are great for killing, destroying...."""
7950,*hey caesar does reyes ship out of the eu? I checked their site and tweeted but they havent responded
7959,*Crlh Caesar tem tudo cara eu amo essa mulher
7958,*Eu disse Caesar em vez de César
6479,"*Meu, eu AMO Caesar, sério! Já fui no outback só pra comer a deles (minha preferida de todos os lugares) """
6478,*eu amo caesar
20,"*Alexander, Caesar, Hannibal, Charlemagne, Lepanto, etc - keep the EU sweet :-)"""
6473,*Eu quero falar que tô bem triste porque ontem sai da balada e fui no Mc comprar uma Caesar salad mas não tinha e eu morrendo de fome 
6472,*chega de piada com o caesar gente eu fico troste
6471,*meu eu amo as musicas do daniel caesar demais
6470,*As vezes eu fico imaginando se mais alguém imagina o Gavril igual o Caesar dos filmes de THG
6477,"*'Ai, meu Deus, não acredito', reagiu Temer ao saber de morte de Teori http://uol.com/bmj2RN  """
6476,*eu quando caesar morreu 
6475,*Oq você pensa do Caesar Zeppeli ? — SAUDADES
6474,*deixa eu te beijar ouvindo essa Daniel Caesar - Won... — Prefiro japanese denim https://curiouscat.me/elamesma/post/84316434?t=1484951775 …
35188,*And we are still suffering from that.
939,*todo mundo gosta da caesar de lá mas eu não como salada pra saber
938,*eu so quero baixar o album do daniel caesar
28219,*EU QUERO O CAESAR NA TRIPULAÇÃO
933,*vou confessar uma coisa aqui pro fandom de one piece me odiar
932,*Essa sou eu desejando uma salada caesar
931,"*Before Hitler actually, but the concept is the same; the EU is the phoenix ed 3rd REICH https://twitter.com/SmallCapOTC/status/841444402740510721 …"""
930,*Yes indeed Cal. The #EU is an imperial Roman concept with a Caesar at it's appex the modern day equivalent would be a Pontifex Maximus..! 
937,*esse cantor q eu mandei agr daniel caesar me lembrou a voz do john legend
936,*2017 e eu ainda me emociono quando assisto o episódio da morte do Caesar
935,"*@JakubKrupa Torn between Caesar assassination & St Patrick's, the latter meaning we can drown sorrows each year in EU stout"""
934,*eu sofrendo pra instalar caesar III e o boy sofrendo pra instalar oblivion. no momento aceitando dicas
35202,*Hoje eu tô na boa
35201,"*EU COMI A SALADA CAESAR,  TO FELIZONA AF"""
35200,*eu não sei ainda o que sentir sobre o caesar
10288,"*Naturalmente con guerra de insurgencia y una flota incomparable a la anglofrancesa twac. China defendió su soberanía frente a lo que EU, UK"""
10286,*Pensa numa pessoa cansada e com sono... Sou Eu! @ Caesar Park Ipanema managed by Sofitel https://www.instagram.com/p/BOQTOljACOG/ 
10287,"*Jon, just another political sawdust caesar who reside in the EU sensory deprivation tank while the real world spins around them."""
10284,"*@dpd_de Seid ihr sicher, dass ihr eure Weihnachtswerbung beim rassistischen Breitbart machen wollt? http://www.spiegel.de/netzwelt/web/breitbart-kritik-an-deutscher-werbung-auf-hetz-seite-a-1124526.html … @slpng_giants_eu """
10285,*Dankzij de EU hebben wij sinds Julius Caesar nog nooit zo lang vrede gehad in Europa tussen de grote landen. 
10282,"*Nein, ganz gewiss nicht. Vielen Dank für den Hinweis. Wir werden das umgehend prüfen."""
10283,*.@Alesquic particularmente eu acho o Julius Caesar mais bonito mano
10280,"*É MUITO MASSA, mas parece difícil de achar. Depois que eu conheci o Caesar resolvi me dedicar a usar cropped com sobretudo."""
10281,*.@DeutschePostDHL Great! Please confirm with us if you decide to take the ads down. Much appreciated! @AG_Caesar
31999,*podia viver de salada caesar e macarrão/risoto quatro queijos pelo resto da minha vida e eu tava feliz demais
31998,*aí eu não sei mas vai ficar marcada.
31993,"*Pessoal, olha só que legal!!"
31992,*vi o tweet da nyn e eu tô tipo
31991,*Eu já falei que eu adoro o Caesar Clown?
31990,*#news #gossip #tmz The Woman Behind the #unameitchallenge | TMZ TV: Shirley Caesar is… 
31997,"*Jogando Fallout: NV, andando na Highway 95, eu me deparo com um mercador e seus 2 seguranças sendo atacado por um Caesar Legion Squad."""
31996,*this frm our European 'Friends' bcos of democratic decision showing how floored EU is-while unelected Juncker struts lke Caesar
31995,*a vdd é que existe uma relação poliamor entre eu joseph e o caesar entendeu
31994,*eu viveria de boa almoçando Caesar salad todos os dias da minha vida
29459,"*Assad's Grand Mufti threatened & Assad followed through, Europe ignored it to their own peril. https://twitter.com/lynne_alnahhas/status/756575704129630213 …"""
29458,*#Syria #BabyAssad is not a 'Sawdust Caesar' by any means - too much blood on the sawdust.  The #ParisAttacks  will not move the toothless EU
29456,"*O husbandão Caesar merece estar ali, mas não achei uma fotinha dele que eu ame muito muito. q"""
33793,*eu queria muito um com caesar
33792,"*Tem isso também, mas eu tava pensando mais na salada e no Caesar de Jojo."""
33791,*achei que só eu colocava Caesar em nome dos grass!
33790,*Eu não condeno quem faz mas nunca praticaria essa violência com meu corpo
33794,*@Caesar_Viaosnus eu pensei que era só no Brasil
29448,*não importa quantas vezes eu assista em chamas eu sempre vou amar as entrevistas dos vitoriosos pro caesar
29449,"*Si on avait eu le temps, on aurait écouté ce 3ème morceau : Caesar d'I Blame Coco feat. Robyn : """
29440,*eu: eu falo muito do caesar e do joseph eu tenho que parar
29441,*lembro que joseph e caesar existem
29442,*ET TU BEPPE? As in Shakespeare's 'Julius Caesar' it falls to Italians to deliver the final death blows to the corrupt and failed EU. Poetic. 
29443,"*Eu já doei e você ? Borá ajudar aí uma instituição séria e responsável ! Compartilhe á solidariedade , todos juntos somos uma só voz  """
29444,"*E daqui a pouquinho eu estarei no evento exclusivo para noivos Madly in Love Groom, no Hotel Caesar Park Ipanema... http://fb.me/1njaYSZIT """
29445,*EU SOU O CAESAR
