Term,Value
uglyhonest,4.464
2etw8rf,17.7
core,14.868
fvdemocratie,4.851
byzantium,0.154
post,81.442
poss,10.35
reviddiver,0.231
barbarians,2.079
costs,19.647
timfarron,18.315
plus,2.184
obv,4.473
coins,2.843
civil,30.227
www,50.538
son,1.809
lies,0.93
ussr,1.617
electorate,13.109
dean,1.431
time2go,10.956
support,2.449
stuck,0.213
fought,15.939
way,75.432
war,45.991
head,0.616
form,12.939
offer,0.84
forming,27.996
becoming,7.2
scotlandrepublic,8.985
jwils60,17.472
feminina,34.569
solar,11.922
eurocrat,5.751
true,7.851
congratulations,49.5
isis,0.359
inside,3.861
mafia,5.023
adore,6.237
vatican,27.611
stages,7.47
promises,2.472
liberal,37.802
covers,1.239
evidence,10.35
fhgops,12.948
proves,24.103
erode,6.552
trip,23.872
shit,18.586
regime,2.7
dying,3.207
vitalstatistix,3.003
interested,6.369
role,4.824
ambitious,15.165
2500,1.044
picture,2.079
openeurope,0.57
welcome,2.325
diet,16.091
muslims,9.372
291e3gg,7.638
died,10.834
nxt,8.733
younger,1.026
longer,6.526
denazification,1.942
time,103.982
restored,1.253
anglican,6.237
managed,9.471
0,9.941
global,6.903
mild,12.213
irelandindependent,9.009
battle,14.196
bremain,18.54
remarkably,12.627
bygp,18.315
21st,42.346
flash,0.616
mache,0.693
finally,22.125
weakening,0.928
sovereignty,17.334
division,20.238
federation,0.536
billionaire,7.68
anonymous,7.47
join,1.047
kata_basis,6.6
die,9.009
dig,0.539
leave,56.214
p,2.24
team,13.671
hoiy,7.623
spiritual,35.4
says,28.082
camelot,1.803
bigknightywhu,5.751
ere,3.237
ww2,0.067
havoc,0.804
reminiscent,11.952
reunite,5.751
goes,7.623
falling,8.316
filled,2.769
supporting,15.81
transparency,0.448
bloke,1.875
guardian,10.164
slaying,3.237
muslim,2.079
french,12.567
alone,6.372
change,21.122
crumbles,1.273
ambroseep,0.307
shift,0.213
dailym,0.291
studied,7.68
2gjtd44,1.617
renzi,22.125
descended,12.567
useful,19.11
extra,19.2
erudite,0.784
merely,15.939
prefer,1.282
logical,0.949
bloody,0.332
italians,11.711
1st,9.0
isles,9.9
market,1.092
working,0.154
dude,12.012
france,17.399
territories,12.567
wood,1.005
wonderfully,0.452
opposed,7.707
https,54.972
memory,2.184
satan,4.824
today,44.435
wicked,4.235
club,12.705
offing,11.083
olive,4.52
prophecy,247.944
britishness,1.381
effort,5.751
migrants,17.7
believes,1.742
can,123.706
cam,2.559
believed,10.086
making,43.356
arrive,9.711
boris,14.242
crazy,22.47
trump,21.119
downfall,18.024
novaroma,5.593
po_st,24.991
council,2.184
allowed,1.321
48percentplus,15.936
referendum,52.832
reliving,4.824
divided,5.879
means,59.104
nyt,10.647
1,65.981
sunday,0.675
vital,8.817
fourth,7.029
endorsement,12.6
speaks,8.316
dominance,7.2
economy,5.751
map,48.225
may,36.347
sacrifice,0.359
islamic,9.462
4th,8.652
date,0.213
man,17.472
natural,74.4
remember,61.555
geemo88,13.5
nationalistic,0.938
maybe,11.088
st,74.08
4a74g,0.15
sciencedirect,10.35
indeed,0.3
years,115.513
course,12.3
still,2.153
cola,29.013
thank,1.452
interesting,1.197
policy,45.764
deviantart,10.989
happened,13.189
within,0.186
views,1.594
nog,15.939
nation,47.231
conquer,6.696
eu_brexit,8.316
now,167.831
2gps7sf,22.125
didn,7.665
debating,16.185
revised,2.818
yeah,7.717
xxok2,13.695
entering,22.449
year,2.832
eu,527.917
historicmistake,0.385
hysteria,18.837
ultimately,6.237
3rd,35.498
coincidentally,0.213
seriously,44.361
dutch,1.112
correct,3.213
unifying,1.042
makinghistory,12.012
goth,2.079
martinbelam,19.2
romani,18.837
isotope,3.55
quite,1.806
romans,24.972
org,20.299
care,1.232
homily,1.5
couldn,3.983
yup,4.455
collapsing,5.427
impose,0.616
fb,16.515
british,74.397
worrying,1.005
thing,20.519
lindsey,5.841
place,10.164
tillywrites,19.2
think,88.396
1000,5.815
623,10.956
one,75.005
fast,17.778
directly,17.316
vote,27.764
sounds,5.01
continent,3.05
george,3.9
iam,1.5
given,5.794
ian,5.978
anyone,31.185
2,77.3
uli_speck,0.372
white,9.6
hadrian,25.942
eyes,12.567
floppy,10.209
hun,3.375
cornwall,4.522
reclaims,10.989
copy,46.74
11,0.525
10,31.71
12,7.68
meteors,13.104
14,1.288
19,6.372
future,22.414
russia,5.577
globalwarming,1.055
remained,1.282
pro,8.179
turned,7.668
argument,4.8
sad,20.368
say,38.289
eu_commission,2.184
brexiter,3.087
potential,3.003
take,11.256
destroy,15.237
europeans,0.616
ironically,10.374
sure,3.252
thersc,0.335
falls,1.273
america,6.79
pages,1.026
cc,0.84
washpost,1.572
failure,1.674
later,17.163
implications,19.965
archaeology,2.037
slaves,20.7
madison,0.268
megiddo,2.16
show,4.58
german,38.283
o4a,8.844
disunity,1.433
merit,0.885
enough,21.306
expositional,11.076
going,62.758
believing,11.777
treasury,17.472
get,7.284
merkel,0.357
protestant,7.668
state,5.295
