Number,Tweet
627,*#RomanEmpire fell 2 #barbarians in the end. As will the #EuropeanUNION because we afraid 2 stand up 
626,*RT #paulturner2012: http://j.mp/1zAfMow  Medieval Barbarians
625,"*@UKIP Not if we all vote UKIP to keep these barbarians from our shores, and deport the homicidal maniacs that r living here thanks 2 Lab/Con"""
624,*The #NHS is one of the main reasons Britain is civilized.
629,"*@johnmcternan @Trumpton_UKIP Wise not to fall for that @UKIP parody. I tell you now, you will be opening the gates to the barbarians."""
628,"*@ShneurOdzeUKIP As a patriot, you should believe in the right of other peoples to be recognised too! Israel act like barbarians. #UKIP"""
977,*@BreakingNews @AlexMurraySmith #ukip #BBCNewsday @David_Cameron   Have we sent these barbarians any financial aid this year?
976,"*UKIP demand """"our borders back"""". On missions around the British coastline making giant sandcastles and dykes to keep the Barbarians off beach"""
975,*@eastfieldJP @JohnPeach195 @PTmarkedwards PCC need to stop landlords from letting HIMO to antisocial barbarians. Landlords s/be fined. #UKIP
974,*@Trev_Forrester @David_Cameron @JeremyLefroyMP @UKIP Mentally deranged barbarians all of which need to be eliminated!
973,*@angelneptustar @MayorofLondon Are you seriously comparing UKIP to those barbarians?!!!
972,*This is what #barbarians of #Islam are preached & believe @england @GREATBritain @UKIP IslamicState smells your blood 
971,*@Charlton_UKIP 
970,*@EnglishSceptic @Drealmie @ranty_man Absolute disgrace sit back do nothing while VILE extremist barbarians parade hate in OUR Country#UKIP
979,*@y_alibhai We showed we cared by voting UKIP and not for the unapologetic warmongering barbarians New Labour
978,"*#UKIP state """"The majority of crime perpetrated in the UK is by people with #BritishValues born in the UK""""....Not EU migrant 'barbarians'."""
2,*@Dannythefink @Arron_banks UKIP barbarians have succeeded in the U.K. They have no positive vision for UK. They are about destruction only.
6,*So WHY IS the Netherlands so pissed off at Turkey?
630,*@bbcqt are in Birmingham next week and have UKIP on the panel AGAIN. Hope the good folk of Birmingham show UKIP for being racist barbarians
631,"*@jimallthetime @steveno88 @IngrahamAngle Only UKIP, the British Tea Party, can save your country from the barbarians."""
632,"*Re. last retweet, while @david_cameron and his media put huge efforts into attacking @Ed_Miliband the UKIP barbarians are at their gates."""
633,*#UKIP are the epitome of the Barbarians at the Gates! Everything that #ukip stands for is the opposite of British decency and values
634,*@BeaumontBee @DavidBeeson2 @DebunkUKIPlies they are the epitome of the Barbarians at the Gates! Everything that #ukip stand for is not Brit
635,*@SimonGosden @DavidBeeson2 @DebunkUKIPlies #UKIP are ironically the very 
