Number,Tweet
100,*They also support the barbaric slaughter of animals ( halal) - so does UKIP.
101,*The LibLabCon all support mass immigration https://twitter.com/Teenie6619Tina/status/838457983524818944 …
106,*@votepurple2015  @gavthebrexit @RyanWatersUKIP @UKIP @OwaisRajput3 Big difference between becoming sectarian and opposing barbaric practice.
107,"*Me neither, British values should NEVER incorporate barbaric medieval practices, I too am out  @chiversfamily5 @RyanWatersUKIP @UKIP"""
104,"*Radical my arse, UKIP supports barbaric Halal slaughter, excruciatingly painful deaths of millions of animals, I'm not renewing membership. """
105,*UKIP won't be going soft on my watch. We will stay a truly radical party says UKIP Leader @paulnuttallukip http://www.telegraph.co.uk/news/2017/03/04/ukip-wont-going-soft-watch-will-stay-truly-radical-party/ …
5579,*Great news...UKIP to ban barbaric Kosher and Halal slaughter!  http://www.thejc.com/news/uk-news/129381/ukip-back-ban-shechita-policy-u-turn … -- Ukip back ban on shechita in policy u-turn
5578,*Halal meat.  UKIP has officially sided with the RSPCA and the British Veterinary Association and will ban Halal. Halal is barbaric
5577,*@UKIP_youth  Look up the meaning of barbaric.
5576,*Tories to bring back fox hunting if they get in again. Do u really want this barbaric act back? People decide? @Number10gov @UKIP @UKLabour
5575,*@SLATUKIP @YeovilHG I have no interest in what UKIP think. I don't think we need tolerate barbaric treatment of animals in C21 Britain.
5574,"*Tories want to bring back fox hunting, barbaric pleasure at the expense of a animal. I know where my vote isn't going! @Number10gov @UKIP"""
11948,*how can anyone take ukip seriously their views are barbaric
11946,*@SuzanneEvans1 What link are you trying to make here that relates to UKIP ?
11947,*@nicolenugent_ blame ukip no where did u see that it's barbaric
11944,*Seems halal barbaric slaughter as quickly been brushed under the carpet.  Whats #UKIP #ukip policies on the matter??
11945,*Lincoln think they can make up for their barbaric prejudice towards refugees by making a big show of some ale they are the Ukip of colleges.
11942,"*@adnaalishaa (Commited)   So you Condone Barbaric stoning to death of women, NOT in this Country will that ever happen. VOTE UKIP stop this."""
11943,*Even short stun a been proven useless as the animal comes round before death. So #ukip will enx this barbaric practice?
11940,"*@UKIP_Voter thank u, we should have CHOICE  not have cheap barbaric meat forced on us by the supermarkets"""
11941,*Cameron: Meriam Death Sentence Is 'Barbaric' Farage calling for aid to be stopped shows  UKIP are out of their depth  http://news.sky.com/story/1272505/cameron-meriam-death-sentence-is-barbaric …
6,"*No matter what, even pathetic converts to this barbaric ideology play the victim card. Suck it up Snowflake! #ukip #auspol #maga pic.twitter.com/d4POTpS0V2"""
9856,*So pleased to hear that part of my hard earned money goes to support the barbaric spectacle of #bullfighting  despite #ukip attempts to stop
6613,"*PM condemns 'barbaric' Paris attack We all know Islam is the problem, so why not say so #Conservative #UKIP http://www.bbc.co.uk/news/uk-politics-30709152 …"""
6612,"*#JeSuisCharlie we all are! what has happened is barbaric, will happen again. Be strong, hold hands, close ears to Far Right #UKIP"""
6611,*@HoistBlackFlag @UKIP_Voter @UKfromBIRTH I don't think that is possible. Their holy book is barbaric http://falseislam.org/ 
6610,*@Independent @UKIP_Voter Disgraceful and barbaric.
2245,*@rog_ukip Oh come on Roger one doesn't even have to be a Christian to know how barbaric halal slaughtered meat is.
11929,*@UKIP_2015 don't tarr all religions by one barbaric evil religion; by their fruits you shall know them; a good tree does not bear bad fruit.
1,*ukip please stop suporting halal and kosher meat slaughter it is barbaric
8603,*@rog_ukip @MarkTyrrellUKIP Does that include brutal & barbaric halal meat slaughter??? #SAVAGE
18026,*@Skip_Licker @RDC_UKIP how about testing eurovision entries on them ?..too barbaric.
18027,"*@jamesoxby @2tweetaboutit @UKIP @Nigel_Farage I witnessed union pecking order, a barbaric back room classic communist worker picking system."""
18024,*Anyone got a link to the propa video for this absolutely fucking barbaric incident that happened in london? #bringbackhanging #UKIP
18025,*@DagnamStyle81 I'm not justifying any of their actions. Barbaric and evil. But all this BNP/UKIP crap and we're at war nonsense? Not for me.
18022,*Come on @David_Cameron. Deal with #Woolwich & extreme Islam correctly before many of YOUR voters turn to @UKIP. #barbaric #beheading #allah
18023,*It is disgusting that some  young Muslim people in Woolwich are happy with the barbaric beheading of a British soldier on the street #UKIP
18020,"*Surely ppl will wake up after another barbaric attack on our country, time to regain state powers #UKIP #leerigby #voteukip #EUreferendum"""
18021,"*a truly barbaric act that has no basis in Islam and we condemn this unreservedly - Sums it up. Extremism is dangerous, in any form- hi UKIP!"""
18028,"*@OhBrokenBritain @OhGrasshopper @UKIP @Nigel_Farage sorry, but barbaric African mass murderers have human rights too you know."""
18029,*Scary thing is Ukip won 26% of the vote in the UK local elections in May #erickitson little Englanders showing their Barbaric side
2712,*@DrScottThinks @DavidCoburnUKip @ThatMichaelW it would be barbaric if the fox hunting ban was repealed. #ukip #FoxHunting
2713,*@UKIP Talk Radio Europe Fab Radio International Tonight ME on Richie Allen~Shocking Barbaric Shameful  http://goo.gl/yHCtna 
2710,*@UKIP_Voter Execution was banned in England in1965~ Stop this barbaric suffering in hospitals..  http://fb.me/7EkUqhw7B     Please sign RT
