Number,Tweet
701,*PM May Vows to Eliminate 'Barbaric Evil' of #Slavery
702,*@gibbonsb @iVoteLeave by blaming BREXIT the BBC and the remainians are giving excuses for this Barbaric behaviour
393,*Brexit  xenophobia enhanced?Rudd to announce £11 million fund to tackle 'barbaric' crime of modern slavery 
392,*Major Political Leader In France Warns US: ‘France Is About To Enter A Holy War Against Islam
391,*We must ban THE barbaric death cult of Islam from our lands. It is not a religion. It is incompatible to the core!
390,*@ukipmeps @BrexitWatch @Brexit_News@
397,*@TheSun after Brexit we should become a republic the monarchy r the last blot on our image as once barbaric Empire #freshstart4Britain
396,*Do we see a transition in #Europe from Barbaric ignorance to Educated Barbarism #Brexit
395,*Taiji: 30-40 Striped Dolphins were brutally slaughtered at the cove today.  16.10.26
394,"*Idea: no trade deal with @japan until it stops this barbaric """"tradition"""" #Brexit @TheresaMay_MP @JoannaLumley #Japan"""
399,*@UKIP a group of #narcissistic #barbaric closet #racists who aided in messing up the infrastructure of the UK. #Pathetic #Brexit.
398,"*Really shocking and disturbing to  rhetoric about the cuts as """"barbaric"""" (Visigoths at the gates of Rome). Esp in light of what drove Brexit"""
2384,*Wonder whether Brexit politics is more civilized than moronic and barbaric Taiwan.
2385,"*#Brexit Turkey is joining the EU! All those dark skinned, kebab eating, barbaric muslims with bloody moustaches. Let's just leave mate!"""
3435,*The EU is supporting commercial whaling by forcing us to allow ships carrying whale meat to dock at our ports! #VoteLeave #Brexit #barbaric
1256,*Something to think about Spain (and TOURISTS to Spain)  - #BanBullFighting! @RickyGervais 
1257,"*We live in a world of barbaric walls:#kashmir LOC, #palestine & #apartheid, #brexit & #refugees, #mexico & #migrants, #belfast & #Twelfth..."""
3,*Dep Speaker needs 2get a grip - want 2blow a gasket do it over 3000 lone refugee children refused by this barbaric UK Govt #brexit 
1255,*@Protect_Wldlife @rickygervais 
1252,*Indeed. Reason number 438 #brexit was a very smart idea. Let the EU have them. #barbaric https://twitter.com/nsqamerican/status/754172978435198976 …
1253,*#Turkey is the second Euro country to #Brexit from the threat of an ever so backward & barbaric Islam.
7,*London attack is a barbaric act committed by a lunatic. Terrorism has no religion. Please don't bring Islam into it.
1251,"*#TurkeyCoup failed because military didn't want to hurt civilians, now they are decapitated to """"Allahu akbaaars!"""" """
2389,"*Congratulations #Brexit voters! The first step to making England what it once was: a miserable, forgotten island run by barbaric tribes."""
2388,*Be ready. The globalists are hard at work looking to turn Brexit into some kind of barbaric assault on reason. Wrong. Follow the money
1258,*@Jonteinspain I think EU is going backwards from Federal to Feudal and next step = Barbaric Lets get #Brexit sorted so UK can move forwards
1259,"*@cameronpenny @toryboypierce Nothing to do with Brexit, it is a barbaric cruel sport that should be banned, everyone should have their say."""
5656,*@smileygirl19681 yes BARBARIC MONSTERS >>we MUST HAVE >>#BREXIT
1832,"*Here's another scary aspect of #Brexit - UK to use barbaric cruelty as part of asserting its """"independence""""?  """
2878,*#Jo cox  I hope this barbaric act has nothing to do with Brexit
1833,*FFS RT @PatrickStrud: Horror.
1830,*@Holbornlolz @IndyVoices Indy have been absolutely barbaric post Brexit.
1831,"*@am640 Always on the wrong side; honour killings not barbaric, Isis not committing genocide, Brexit. In other news, comics r no longer cool."""
4249,*Pls VOTE UKIP PLS VOTE BREXIT
4257,*Barbaric low life scum. #brexit @LeaveEUOfficial
696,"*It's not """"high cost"""" it is unacceptable."
4256,*How can we possibly tolerate the idea that #Turkey and #Albania be included in the #EU? It's a #joke! Those countries are #barbaric. #Brexit
4252,"*Promised at birth or other barbaric ancient excuses men, not just Turkish men buy, barter, &steal child brides daily https://twitter.com/markinnorthwest/status/727860757291995136 …"""
697,*.@TrishIntel: New report finds sexual assaults in Germany committed by migrants have 'reached epidemic proportions.' 
694,*@Brexit_Voice @bbcthree forcing women to strip at gunpoint in public is barbaric
1843,"*To tweet self-promoting links after Brexit is barbaric. (But yeah, here’s a thing about the artificiality of Dubai http://bit.ly/28TPcls )"""
1842,*@janimine @idawhannadoyou That's why they don't hesitate to strap a bomb on their children to kill others. How sickening & barbaric.#Brexit
1841,*#Brexit trying to protect the naive young people from 
695,*We need a Great Wall of Europe to keep the barbaric enemy out.
1844,"*Immigrants or not, they are people! They have rights. I cant believe people can still be barbaric and from Britain no less! #brexit"""
1243,"*@DavidKHopps And one isn't entirely sure of your barbaric link to men, women and children being brutally murdered to Brexit. Shame."""
1245,*Government awaits first legal opposition to Brexit in high court http://a.msn.com/01/en-gb/BBuuiRH?ocid=st … So we'll challenge your barbaric bullfighting!
1244,*@DavidJo52951945 This barbaric act has to STOP now we are #Brexit from the EU our government must put more judicial pressure where needed
1247,*#BREAKING Turkey reinstating death penalty would end EU accession talks: Germany
1246,*The likes of Priti Patel and the barbaric pro-hanging lobby must be thinking they’ve found another Brexit trigger. 
