Number,Tweet
2758,*I'm European and was educated about Charlemagne. Perhaps that's why I get upset about #Brexit barbarism. #StrongerIn
511,*Charlemagne: Advice for our heads of state on Brexit. http://econ.st/2a2clBL  via @TheEconomist
510,*The Economist | Charlemagne: Correspondence club
513,*Charlemagne: Advice for the British and German leaders on navigating the Brexit mess http://econ.st/2a2clBL  via @TheEconomist
512,*Our Charlemagne columnist has advice for British and German leaders on navigating Brexit http://econ.st/2aMR9wP 
515,"*After #Brexit, the EU will have to change how it thinks about itself. Less Charlemagne; more Kant, says @carlbildt http://bit.ly/29XFoF4 """
514,*#EU needs to come out of narrow old Aachen paradigm/Charlemagne vision and shift to Bratislava as its HQ
517,*Charlemagne Capital : Confident On Post-Brexit Future For Emerging Markets //channels.feeddigest.com/news?id=4352587709
516,"*@UKinHolySee When Pope Francis was given a Charlemagne award the  results of the polls, ie Brexit was not yet.  Is there a way to be united?"""
3801,*On Brexit. The Economist | Charlemagne:
3800,*Charlemagne: Battling with Britain http://econ.st/1RGk3Pv  #Brexit
3803,"*Today Prez Poroshenko's in Aachen, where the EuroParl prez rec'd the Charlemagne Prize for fostering EU unity. (No Grexit or Brexit... yet.)"""
3802,"*Brexit will positively impact UK: Jim Mellon http://ift.tt/1MVG8ps  Jim Mellon, founder of Charlemagne Capital, predicts a euro zone impl…"""
60,*Charlemagne: The EU’s Brexit negotiators prepare for disaster http://econ.st/2gOXjRs  via @TheEconomist
61,*Charlemagne: The sexiest job in Brussels
62,*Charlemagne: EU’s #Brexit negotiators prepare for disaster http://www.economist.com/news/europe/21711886-still-its-sexiest-job-brussels-eus-brexit-negotiators-prepare-disaster … via @TheEconomist by far best outcome is to #stopbrexit
63,"*A reminder, kids, to always think before you act..| Charlemagne: """"The EU’s #Brexit negotiators prepare for disaster"""" http://econ.st/2gOXjRs """
3168,*Bedwetters can't handle the truth.
3169,"*Charlemagne, HRE, Napoleon, Hitler....the same virus, and Hitler most recent. So legit. England and Liberty! #brexit """
3166,*@MichaelWhite @BorisJohnson forgot Charlemagne and Ceasar. Giscard didn't. Haha!  #eureferendum #Brexit #liberty
