Number,Tweet
290,*such fallacious prejudiced thoughts by @kreppant  keeps the barbaric flood of islam rushing& destroyin EU+ !
291,*EU made Turkey to stop them going to west. This is so barbaric that EU wanted from Turkey
22654,*And so say all of us! Allowing barbaric behaviour into Europe..the EU policy will destroy all countries. Behaviourism-Not Racism. 
776127,*We eat turkeys don't need a barbaric country named turkey in the EU. We need to leave
529338,*NATO needs to kick out barbaric Turkey and the EU needs to stop funding this autocratic regime. #TurkeyCoupAttempt
22655,*Fuck all PC bollocks..I am not a racists..have friends all over world of all colours...I just despise+hate Islam utterly..a force for EVIL https://twitter.com/brudgethemidget/status/793737112822702080 …
4321,"*Please, please sign and share this. When we leave the EU we must live barbaric live exports. Thank you """
4320,*Israeli raid on Bedouin village leaves two dead and 15 homes destroyed http://bit.ly/2jIVwjr 
529334,*Why does the EU allow this barbaric abomination let alone fund it? And @theresa_may why is UK contributing?
4322,"*The EU also happy to allow 8/10 Romanian children witness the barbaric poisoning, beating of dogs in streets. EU response? $8 billion grant. """
4325,*@P_VanDamme_EU every sane ambassador wld b concerned in protecting citizens frm a kleptocratic repressive n barbaric regime
4324,*Is this some 3rd world barbaric country under tribal attack?
529330,*#Erdogan can't propose the barbaric execution of those involved in the coup and still expect to join the #EU.
4326,*So why keep banging on about the 'uman rights' the benevolent & bountiful #EU have bestowed on this pre entry barbaric land? https://twitter.com/buddy_hell/status/821327237819547648 …
26689,*#hc1310 #Montaigne argues that his age was the exploration age and EU was barbaric for breaking into new nations and basically destroying it
26688,"*The EU is a good try for the liberalism, but in confrontation with barbaric religion, the bureaucracy becomes a group of clowns. #Brexit"""
533060,*5) Turkey i.e. EU & USA based on many reasons including the fact that the whole region is struggling with the serious threat of a barbaric
26683,*Barbaric bullfighting in 4x4s - a sick new twist in Spain's animal cruelty: http://www.mirror.co.uk/news/world-news/barbaric-bullfighting-4x4s-sick-new-9034029 …
26682,*YOU @WhiteHouse @Number10Gov @GermanyDiplo @Eu_eeas @JustinTrudeau @TurnbullMalcolm @FHollande ARE NO BETTER THAN THE BARBARIC REGIME...
26681,*They won't stop whilst they get EU Funding.
26680,*.@EU_Commission @EUCouncil All Europeans support this BARBARIC BULL- TORTURE through the Common Agricultural Policy. Undemocratic & Immoral 
26686,*#news #sport #world Josh Norman calls out NFL for trying to make 'barbaric sport' PG-rated - Sports Illustrat... 
26684,*Barbaric bullfighting in 4x4s - a sick new twist in Spain's animal #spanje ook een mooi #EU land. Not! Mirror Online
776126,*@cristinalaila1 -Radical Islamists & Muslim Extremists Are Bringing Their Ultra-Conservative Culture & Barbaric Mindsets in EU.
794747,"*Kurdish civilian tortured, killed and hanged in his feets in a kurdish cemetery by terrorist turks. V @Sosyal_Devrim """
7639,*in my opinion has to do with ONLY sti barbaric lunatics who can integrate liquids are NOT to be thrown out of the EU without exception 
794741,"*EU or no EU I couldn't give a hoot, but when are we going to address the barbaric cruelty to dogs by Romanians? """
794740,*why would they let a muslim country join the EU? islam is not compatible with democracy.islam is an barbaric death cult
742316,*.@UNrightswireEur @EU_Commission RIGHTS OF THE CHILD - PROTECTION FROM VIOLENCE Emotional & Mental. CRUEL & BARBARIC 
794742,*Brutal Islamic terrorism all over the EU & elsewhere & u want 2 bring these barbaric savages here? WTF is wrong w/u 
809263,*EU must ban the advertisement of barbaric #torture equipment at trade fairs 
747344,*'Too #Muslim for #EU': EU doesn't want #Turkey because 'majority is Muslim' - #Erdogan http://on.rt.com/7ghd  
806094,*Definitely voting OUT of EU now I've found out we've been funding Spanish bull fighting  barbaric and disgusting.
747341,*...Britain is being invaded by ppl who refuse to assimilate & want to keep their barbaric culture w/ approval & help from EU.
747340,*Now we can stop the cruel barbaric slaughter of animals now out of the EU 
747343,*Perhaps EU does not want Turkey because it has a megalomaniac for a leader and is full of barbaric savage Turks LOL 
747342,*UK controls immigration from outside EU.British police failed to address barbaric cultural practices crimes in Uk
