Term,Value
suicidal,8.58
hordes,1.0
skynews,1.428
holyrood,6.916
protest,0.847
asian,11.8
erexit,5.062
saved,0.714
3m,0.91
votes,10.872
inlike,1.998
voted,20.645
recycle,6.308
teaching,23.0
sorry,12.211
sinking,1.846
void,0.355
rise,27.942
jacob,0.335
school,5.12
ref,12.913
296,15.025
shows,2.002
kevinpbreslin,0.817
voteleave,15.812
744109418904584192,5.4
leaders,4.98
warns,2.002
271,0.263
second,8.635
decadence,4.8
blue,6.622
brexit,1989.545
oldest,3.234
326577,0.77
incompatible,18.37
1vnxyl0,0.214
victoriapeckham,0.67
resilient,23.046
new,122.696
net,12.571
ever,16.717
consisting,2.126
reviving,8.916
viii,13.468
specialist,0.429
never,17.484
reported,11.544
china,3.618
whatthehellareyoutalkingabout,10.73
path,4.368
growing,4.2
leaves,16.209
changed,6.959
military,4.158
heatherwheeler,6.817
golden,1.984
campaign,4.668
29hdktr,1.206
pdsutherlandun,1.984
forums,14.49
spoke,2.982
theordinaryman2,24.0
army,4.545
29fbym8,1.439
century,56.743
reemergence,6.474
kneepads,4.464
call,12.57
telegraph,67.562
recommend,1.696
survive,5.953
tell,0.427
barbarous,1.428
holy,282.09
successful,14.186
adrianople,9.464
warn,3.408
746387871402176512,4.4
lord,2.144
must,32.925
word,0.881
rights,0.067
plunged,2.688
mk,3.569
movies,2.978
era,10.99
ms,15.632
henry,12.848
experts,12.558
give,5.519
dragons,0.167
malign,13.098
want,39.382
christianvoice,2.535
oppressing,1.8
end,61.205
trsresearch,7.906
far,1.449
stupidity,7.81
interview,0.2
turk,2.272
ancestor,10.626
michelledewbs,4.26
less,0.071
assimilated,3.486
insecure,0.268
earlier,1.007
lay,11.8
arch,5.952
thesun,0.286
attempt,2.582
third,6.16
descends,17.25
1lv7wv,1.133
greek,2.158
suggest,0.59
sucessor,6.448
first,44.804
order,7.038
wine,1.141
danhannanmep,3.234
tricked,1.206
whizzing,8.736
london,18.584
nyti,12.936
globalpulsemag,0.154
writing,0.346
destroyed,10.901
wales,6.9
gents,13.8
overcome,6.424
eventually,8.554
killerkai3,4.368
jenit,6.806
break,1.187
sixteen,15.698
bank,7.392
bread,1.743
germanic,5.042
swancom74,88.0
hadrains,10.4
victory,4.315
went,13.466
side,0.214
mean,50.203
financial,0.745
milan,7.392
forgot,6.916
richardlander,0.67
rt,12.202
reminding,0.142
goo,0.434
god,55.315
tried,0.819
monitor,0.2
re,39.995
daniel,14.397
ûªt,11.936
got,23.284
abbott,0.067
turning,4.2
veto,2.272
rustyrockets,0.285
free,22.0
boosting,4.16
wanted,2.464
1dn7azou3,0.941
r4,8.378
days,49.671
isn,23.399
ladyfohf,14.208
already,8.948
leaveeuofficial,9.022
nhs,6.817
wasn,4.462
ditch,7.722
service,5.28
top,0.216
historian,3.561
hist100b1,0.603
confirming,13.098
compromise,13.986
hollywood,2.978
john,3.408
bitter,12.21
owensmith_mp,52.003
collapse,22.966
took,5.269
western,10.784
symptom,11.801
spoiler,4.483
bloated,0.91
immigrants,37.191
nations,5.533
2ekpbqq,8.378
historical,10.626
thewerelizard,9.0
boudica,12.8
feeling,1.846
palace,1.228
modern,14.094
mind,10.626
migrantcrisis,3.2
lbc,0.71
sounding,6.006
telegraphnews,48.84
tells,1.609
forced,2.898
cloudfront,0.684
responsible,20.001
merichio,0.385
fitting,9.546
tintagel,1.255
empireand,1.998
even,23.035
nobody,1.594
cymbeline,1.988
though,0.154
pdpgb,10.624
regular,15.812
germany,6.82
don,16.435
classicist,12.88
professor,5.12
m,20.362
treaty,23.318
leaflet,5.994
diabetesuk,10.4
28j0gwc,3.348
definitely,8.378
dos,1.042
voting,13.967
came,9.534
saying,4.956
pope,19.517
rapture,4.2
queen,1.344
attempts,4.158
radio,3.894
dopey,1.206
tempted,0.469
enjoyed,0.67
make,12.622
lessons,2.352
explain,0.462
pursuing,1.206
folks,6.916
govuk,12.21
predecessor,8.2
ujgzgp,0.28
watch,2.445
rodneymarsh10,6.248
dr,5.244
dpca6kuqqn,3.348
rebirth,3.404
lurches,9.043
a7168761,3.015
countries,19.074
anxiously,6.959
whatnext,2.912
twice,0.335
the_globe,0.268
410,24.39
mogg,3.216
hasten,3.404
ruins,8.268
1fmwlbk,0.248
fascinating,1.846
sturgeon,6.916
resist,4.26
fail,5.767
ttj2tu,4.368
best,6.334
02,0.135
said,14.681
06,6.538
campaigners,0.503
04,0.135
05,1.181
08,1.886
globalism,7.5
betrayle,4.158
unable,3.216
olympics,11.0
hopefully,2.002
discipline,2.006
westeros,0.684
terms,7.968
parallels,6.776
ws,12.21
news,27.06
debt,7.97
climate,2.002
country,9.893
uncertainty,0.643
pitt,0.342
bbcradio4,0.356
liveeudebate,11.454
disappears,1.092
archaeology_uos,6.835
irresponsible,8.736
2nd,18.507
tony,3.542
globalists,8.736
stw,0.1
hitler,4.554
union,42.551
michaelpdeacon,5.994
much,14.919
destabilises,7.906
expected,0.143
topics,9.942
plateau,1.116
life,5.637
eastern,4.462
glomarresponder,5.976
lift,10.624
worked,8.016
hapsburgs,0.091
746024042361196544,4.26
n,14.238
aim,0.945
ain,3.349
suppose,11.8
teachers,3.894
appeals,1.63
thebhf,10.4
mistake,0.166
played,7.384
expat,1.234
mansplains,19.164
ii,1.68
im,4.26
ramifications,3.72
britscanbedumbtoo,7.97
steve_sedgwick,0.071
grown,0.67
fight4uk,2.6
things,23.149
intended,16.779
split,4.576
european,37.966
independent,12.264
welsh,2.468
quentin,0.67
hand,3.234
garlic,2.25
syrianrefugees,2.158
kept,3.967
homerhickam,0.853
1600,0.357
1975,1.05
failing,9.306
brexitenemies,6.4
rome,49.671
incapable,0.268
claims,1.678
paradigm,7.145
hotch,8.378
rio2016,11.0
left,46.004
unified,6.006
just,56.222
philmconstruct,11.648
quotes,9.0
reformation,13.15
facts,2.6
yes,7.392
yet,3.984
adding,0.536
ibpmdu,0.154
hal,0.767
brexitvote,4.422
save,1.8
theeconomist,3.006
gove,1.664
breaks,4.224
possible,2.6
arab,7.962
govt,6.4
vetting,12.558
apart,1.19
desire,6.959
50,0.469
beneficial,3.834
right,11.591
old,12.394
people,39.582
successfully,11.346
begin,0.154
usher,4.602
escape,2.898
1461057270,1.121
darkages,12.8
rhine,2.002
fascistic,1.8
stoptheeu,1.0
everything,41.66
cnn,4.422
uglyhonest,2.976
2etw8rf,11.8
core,9.912
fvdemocratie,3.234
post,54.043
poss,6.9
reviddiver,0.077
