Topic,Term,Value
11,area,0.006
15,fire,0.012
7,government,0.004
3,union,0.005
6,world,0.005
8,information,0.007
15,government,0.008
15,palestinian,0.012
4,man,0.007
11,year,0.007
0,road,0.005
14,staff,0.007
5,hour,0.005
11,australia,0.01
10,person,0.01
5,person,0.007
10,day,0.01
9,firefighter,0.008
10,service,0.007
9,fire,0.007
9,company,0.006
9,afghanistan,0.006
15,israel,0.015
8,hospital,0.006
11,day,0.006
6,report,0.006
11,fire,0.007
13,space,0.007
8,child,0.008
3,person,0.011
10,team,0.008
9,man,0.007
13,day,0.008
15,attack,0.007
3,israel,0.005
12,state,0.006
0,pakistan,0.006
4,year,0.006
2,united_state,0.008
3,group,0.005
11,person,0.011
15,storm,0.007
12,security,0.006
3,war,0.005
6,person,0.018
9,day,0.006
0,power,0.007
5,afghanistan,0.006
13,year,0.006
8,australia,0.006
5,australia,0.007
8,year,0.005
13,commander,0.006
8,group,0.006
5,city,0.006
10,wicket,0.007
10,time,0.006
4,car,0.006
1,set,0.006
8,today,0.006
2,world,0.01
2,economy,0.006
0,fire,0.006
7,member,0.005
7,company,0.005
9,australia,0.013
11,job,0.007
2,security,0.006
2,australia,0.01
0,company,0.008
1,rate,0.007
9,person,0.007
7,force,0.008
12,today,0.006
3,cancer,0.005
6,centre,0.006
8,time,0.005
5,attack,0.005
13,time,0.007
8,police,0.006
14,government,0.007
0,qanta,0.004
10,company,0.007
12,sydney,0.008
14,today,0.009
12,meeting,0.007
2,man,0.012
4,road,0.007
13,mountain,0.005
0,person,0.006
1,government,0.005
13,station,0.006
13,week,0.005
4,death,0.006
10,south_africa,0.007
6,metre,0.007
15,army,0.005
0,australia,0.007
7,year,0.005
14,union,0.019
14,pay,0.008
5,area,0.007
3,official,0.006
3,government,0.01
4,child,0.006
14,lording,0.006
1,australia,0.012
4,casino,0.005
6,attack,0.011
11,service,0.004
2,attack,0.005
3,afghanistan,0.005
1,fire,0.005
15,day,0.006
8,sultan,0.005
3,child,0.005
6,government,0.014
12,fire,0.01
12,authority,0.006
1,flight,0.008
1,airline,0.011
7,person,0.009
2,child,0.005
6,india,0.006
14,australia,0.014
10,test,0.013
14,bank,0.008
0,day,0.008
7,radio,0.01
14,claim,0.006
7,afghan,0.006
0,government,0.004
11,government,0.007
7,group,0.005
13,report,0.007
13,force,0.005
15,official,0.007
1,man,0.005
9,today,0.008
12,australia,0.007
11,afghanistan,0.005
9,india,0.007
1,yesterday,0.006
4,wale,0.005
4,day,0.006
5,security,0.005
12,force,0.006
6,pakistan,0.01
6,day,0.005
5,group,0.008
12,area,0.009
10,australia,0.008
15,gunman,0.007
14,meeting,0.007
1,person,0.005
2,afghanistan,0.005
5,day,0.01
4,person,0.005
7,afghanistan,0.007
2,day,0.005
