Topic,Term,Value
1,drug,0.009
14,job,0.007
5,india,0.007
13,island,0.006
2,commission,0.006
3,militant,0.006
0,economy,0.005
15,government,0.006
15,today,0.005
8,city,0.007
3,force,0.006
1,part,0.007
6,way,0.005
7,leader,0.005
11,australia,0.005
0,today,0.006
13,world,0.007
15,yesterday,0.005
11,sele,0.005
9,team,0.008
8,metre,0.008
9,year,0.006
7,month,0.005
9,government,0.011
10,death,0.006
15,person,0.009
12,attack,0.007
12,child,0.007
3,person,0.007
0,area,0.006
13,day,0.007
6,company,0.005
3,time,0.006
4,sydney,0.008
16,day,0.006
3,group,0.012
7,man,0.013
16,year,0.006
7,year_old,0.005
7,refugee,0.008
15,farmer,0.007
11,person,0.01
6,person,0.01
6,virus,0.005
8,official,0.007
12,office,0.006
9,day,0.007
14,per_cent,0.007
11,month,0.006
15,leader,0.005
8,peace,0.005
11,radio,0.007
5,australia,0.012
13,month,0.005
2,union,0.01
14,rate,0.007
15,south_africa,0.007
0,aircraft,0.006
16,australia,0.006
1,indonesia,0.006
6,family,0.006
8,fire,0.01
10,wicket,0.005
10,government,0.009
16,president,0.006
7,asylum_seeker,0.009
11,world,0.006
4,company,0.011
12,person,0.009
15,australia,0.009
1,person,0.007
5,product,0.005
9,australia,0.006
2,security,0.006
2,australia,0.017
16,fire,0.01
4,staff,0.009
13,woman,0.008
14,company,0.006
8,area,0.006
4,worker,0.007
14,person,0.007
9,person,0.011
10,australia,0.009
4,today,0.01
0,storm,0.005
2,force,0.007
14,musharraf,0.005
11,set,0.006
5,attack,0.007
8,world,0.006
4,yesterday,0.007
5,today,0.007
7,australia,0.015
0,airline,0.013
14,government,0.008
10,year,0.005
9,area,0.006
1,death,0.008
2,man,0.008
11,union,0.005
1,president,0.006
16,meeting,0.006
3,attack,0.011
3,area,0.006
10,staff,0.005
12,company,0.006
2,government,0.011
12,israel,0.011
4,fire,0.011
3,terrorism,0.006
5,fire,0.007
0,australia,0.005
13,person,0.007
0,war,0.007
1,lung,0.008
10,day,0.006
9,wind,0.005
10,attack,0.005
3,hour,0.005
1,cancer,0.013
2,member,0.006
4,area,0.008
1,year,0.008
1,australia,0.006
14,pakistan,0.011
9,world,0.006
3,afghanistan,0.008
6,power,0.005
15,day,0.01
0,afghanistan,0.006
15,test,0.013
5,detainee,0.005
5,centre,0.009
11,government,0.006
14,attack,0.008
6,day,0.006
16,hour,0.006
7,person,0.007
7,child,0.007
13,australia,0.009
16,afghanistan,0.008
13,company,0.007
9,space,0.006
12,sharon,0.006
5,bill,0.007
10,person,0.014
7,meeting,0.006
8,leader,0.006
16,government,0.01
11,afghanistan,0.005
12,government,0.006
6,time,0.005
13,report,0.007
4,union,0.008
0,sydney,0.006
8,israel,0.009
13,hospital,0.009
8,palestinian,0.015
12,area,0.005
16,security,0.006
12,town,0.006
4,firefighter,0.01
6,official,0.005
6,union,0.007
14,market,0.008
2,afghanistan,0.013
5,day,0.007
10,minister,0.005
2,day,0.006
