Term,Value
thanks,0.023
go,0.018
continent,0.021
revived,0.0
notoeu,0.001
actually,0.001
going,0.001
2016,0.001
loveofmoney,0.0
return,0.001
fall,0.0
poutine,0.023
migrant,0.001
earn,0.023
like,0.001
p,0.021
continue,0.013
t,0.001
archaeologist,0.011
works,0.013
england,0.001
people,0.001
back,0.009
connections,0.008
street,0.023
eu,0.001
empire,0.001
click,0.013
jesus,0.0
will,0.009
brexit,0.01
iron,0.019
merry,0.001
comeback,0.001
post,0.033
stone,0.009
bible,0.0
trump,0.001
joke,0.008
roman,0.021
com,0.001
think,0.001
ianjarmaine,0.0
major,0.0
appeals,0.0
radical,0.0
jrm,0.022
leaveeuofficial,0.0
uncontrolled,0.0
fearmongering,0.0
anti,0.001
duck,0.012
28sd7wu,0.001
stopfascists,0.001
politico,0.001
sp33d_storm,0.023
coins,0.013
damn,0.01
define,0.008
downtown,0.008
prophecy,0.0
davidjo52951945,0.008
prehistoric,0.008
word,0.007
heartland,0.023
britain,0.009
project,0.024
matter,0.008
flaminggail,0.023
uk,0.001
ironage,0.008
carausius,0.013
ann_leckie,0.0
ve,0.018
ages,0.001
mansplains,0.021
middle,0.001
awakening,0.008
bagati,0.023
clearly,0.023
built,0.03
s,0.009
http,0.001
welcome,0.001
america,0.001
land,0.012
kept,0.013
rapturewatch,0.013
age,0.019
holland_tom,0.021
