Term,Value
ve,0.018
people,0.001
ages,0.001
back,0.009
migrant,0.001
connections,0.008
middle,0.001
awakening,0.008
anti,0.001
duck,0.011
go,0.027
28sd7wu,0.001
stopfascists,0.001
empire,0.001
politico,0.001
project,0.008
brexit,0.01
built,0.034
eu,0.001
s,0.009
notoeu,0.001
actually,0.001
going,0.001
2016,0.001
define,0.008
return,0.001
uk,0.008
welcome,0.001
revived,0.0
downtown,0.008
bible,0.0
merry,0.001
fall,0.0
comeback,0.001
post,0.017
america,0.001
prophecy,0.0
davidjo52951945,0.008
stone,0.008
prehistoric,0.008
ironage,0.008
like,0.001
trump,0.001
joke,0.008
age,0.086
http,0.001
britain,0.009
will,0.009
matter,0.008
roman,0.011
t,0.001
iron,0.077
archaeologist,0.008
com,0.001
think,0.001
