Topic,Term,Value
0,force,0.006
15,bill,0.007
5,child,0.006
2,firefighter,0.007
13,afghanistan,0.012
17,company,0.006
3,fire,0.005
15,today,0.006
5,man,0.007
15,debate,0.007
14,river,0.005
10,person,0.007
5,person,0.007
10,station,0.008
18,government,0.007
2,fire,0.014
15,report,0.005
0,member,0.006
12,economy,0.008
4,hewitt,0.006
15,state,0.009
13,virus,0.006
7,day,0.008
1,peace,0.007
1,yasser_arafat,0.007
9,government,0.009
13,member,0.006
7,united_state,0.005
16,detainee,0.006
10,israel,0.007
3,person,0.009
12,farmer,0.006
13,per_cent,0.011
7,australia,0.006
10,government,0.007
8,south_africa,0.005
4,service,0.006
4,world,0.008
2,year,0.007
4,year,0.008
9,place,0.005
1,palestinian,0.006
8,person,0.008
7,area,0.005
3,east_timor,0.006
6,person,0.01
0,president,0.005
6,boy,0.005
12,project,0.005
5,afghanistan,0.011
10,official,0.007
8,australia,0.013
15,information,0.006
8,year,0.005
14,race,0.007
0,worker,0.008
1,attack,0.014
16,union,0.009
6,family,0.005
2,area,0.016
9,fire,0.005
18,man,0.007
11,helicopter,0.006
12,president,0.006
7,flight,0.005
11,palestinian,0.006
3,company,0.005
14,group,0.008
12,person,0.013
15,australia,0.006
1,group,0.006
16,party,0.007
7,company,0.006
3,militia,0.006
16,centre,0.006
0,company,0.007
6,claim,0.005
7,action,0.005
16,labor,0.007
3,man,0.005
18,war,0.008
11,leader,0.005
2,wale,0.008
17,child,0.006
3,product,0.007
9,person,0.009
0,government,0.013
11,man,0.005
12,day,0.006
16,person,0.011
5,test,0.006
18,person,0.009
10,security,0.008
18,attack,0.007
13,job,0.006
14,water,0.006
1,israel,0.017
9,president,0.007
14,event,0.011
14,government,0.01
4,attack,0.006
6,pakistan,0.01
2,man,0.009
5,power,0.006
18,india,0.013
11,union,0.011
12,australia,0.011
11,tank,0.005
2,sydney,0.009
3,hospital,0.014
18,pakistan,0.007
17,world,0.007
2,person,0.009
16,fire,0.009
4,wicket,0.006
18,report,0.006
6,afghanistan,0.006
1,team,0.006
9,city,0.005
8,morning,0.006
5,world,0.006
14,man,0.006
3,woman,0.007
4,number,0.007
8,wicket,0.009
18,afghanistan,0.007
0,australia,0.012
10,united_state,0.006
1,official,0.006
15,head,0.007
6,city,0.005
10,attack,0.006
0,refugee,0.006
9,time,0.005
3,government,0.007
15,year,0.007
0,power,0.006
4,child,0.007
5,united_state,0.006
9,leader,0.005
16,government,0.006
1,security,0.007
8,day,0.013
12,commission,0.005
6,year,0.005
0,union,0.007
17,time,0.006
12,fire,0.007
17,person,0.01
13,government,0.012
9,group,0.007
7,person,0.009
8,company,0.006
17,year,0.007
10,palestinian,0.007
13,law,0.006
7,mission,0.005
14,australia,0.005
13,company,0.006
16,agreement,0.006
1,role,0.005
17,today,0.006
17,australia,0.014
9,airline,0.008
2,today,0.008
17,test,0.006
13,group,0.007
14,metre,0.014
4,hour,0.009
8,centre,0.007
11,afghanistan,0.008
12,government,0.012
10,space,0.006
6,australia,0.009
2,wind,0.008
5,force,0.011
11,fire,0.009
16,child,0.006
6,year_old,0.006
17,pakistan,0.007
8,test,0.01
14,security,0.007
15,house,0.006
11,security,0.005
7,child,0.006
11,troop,0.005
13,club,0.006
18,australia,0.015
5,day,0.011
4,person,0.007
