Topic,Term,Value
5,child,0.01
14,bank,0.006
1,radio,0.006
0,war,0.006
3,fire,0.023
1,hamas,0.005
10,year,0.007
11,way,0.005
13,peace,0.005
11,australia,0.005
10,person,0.01
1,state,0.006
9,company,0.008
13,pakistan,0.011
7,yesterday,0.006
15,report,0.006
12,hour,0.008
6,boat,0.005
3,bowler,0.006
11,test,0.01
7,bichel,0.007
0,flight,0.006
6,report,0.007
12,pay,0.007
11,minister,0.008
15,person,0.014
2,storm,0.005
17,company,0.019
7,innings,0.006
5,today,0.008
13,day,0.006
16,company,0.007
2,home,0.005
15,area,0.006
4,sydney,0.007
8,peace,0.006
17,embryo,0.006
3,south_africa,0.006
0,attack,0.005
8,israel,0.009
16,year,0.006
9,director,0.006
8,person,0.006
1,sharon,0.007
6,person,0.01
7,ball,0.006
9,day,0.005
0,world,0.007
8,pakistan,0.005
3,sydney,0.009
14,office,0.006
5,company,0.006
5,australia,0.008
17,product,0.006
5,number,0.007
16,union,0.01
2,morning,0.005
5,power,0.01
11,side,0.008
9,fire,0.007
4,wind,0.006
10,government,0.006
7,lee,0.006
13,india,0.005
14,lung,0.007
6,member,0.006
12,person,0.006
15,australia,0.013
1,group,0.012
8,security,0.007
17,disease,0.007
9,commission,0.007
9,australia,0.005
3,test,0.009
4,government,0.008
11,team,0.005
3,australia,0.008
16,day,0.008
4,group,0.01
14,person,0.009
9,person,0.007
0,government,0.013
12,today,0.01
9,sydney,0.009
6,opposition,0.005
8,attack,0.009
4,afghan,0.006
0,director,0.005
5,job,0.006
5,time,0.006
2,metre,0.008
17,technology,0.006
2,event,0.005
10,hour,0.005
13,israel,0.007
0,team,0.005
9,area,0.008
6,area,0.006
13,wicket,0.005
10,centre,0.005
8,force,0.008
11,tailender,0.005
1,meeting,0.006
2,australia,0.006
4,israel,0.009
2,person,0.008
4,afghanistan,0.008
3,area,0.009
1,government,0.007
12,company,0.005
2,government,0.011
17,team,0.008
11,government,0.01
7,fire,0.008
1,afghanistan,0.009
8,meeting,0.007
0,australia,0.013
14,cancer,0.01
13,person,0.01
15,rate,0.005
7,day,0.007
13,attack,0.01
4,area,0.012
15,year,0.006
14,cut,0.005
0,united_state,0.006
3,wale,0.007
7,wicket,0.006
8,month,0.005
10,man,0.013
15,day,0.008
6,man,0.008
14,united_state,0.005
17,day,0.008
6,government,0.007
12,fire,0.007
17,person,0.006
14,child,0.006
6,day,0.005
16,job,0.006
16,united_state,0.007
7,person,0.007
17,child,0.009
8,australia,0.008
13,australia,0.007
4,firefighter,0.006
14,australia,0.008
0,hih,0.007
15,union,0.006
10,australia,0.009
3,line,0.008
17,australia,0.008
16,time,0.007
5,morning,0.005
15,family,0.006
1,man,0.006
9,today,0.007
16,government,0.017
12,airline,0.005
15,afghanistan,0.007
4,wale,0.006
10,today,0.006
12,union,0.01
7,tourist,0.005
14,group,0.005
12,qanta,0.011
6,force,0.005
16,afghanistan,0.011
11,day,0.009
12,worker,0.007
3,day,0.007
13,palestinian,0.008
10,hospital,0.01
2,power,0.006
1,person,0.005
16,person,0.008
5,day,0.006
10,world,0.009
11,economy,0.007
2,day,0.005
